L,Mode,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32
2,normal,1.2312829494476318,0.5876211524009705,0.5249993801116943,0.5242233872413635,1.6821683645248413,0.9798831343650818,0.9621802568435669,1.6776363849639893,2.182849407196045,6.614234447479248,18.60183334350586,127.63229370117188,388.6267395019531,1627.9796142578125,639.8237915039062,1532.7216796875,26408.6953125,36407.22265625,39539.3359375,1160034.25,10273804288.0,72272535552.0,5828951040.0,31115243520.0,1925023232.0,77067239424.0,13728559104.0,8323076096.0,63179202560.0,509688971264.0,2736815865856.0,945759046336512.0
2,uniform,2.4764041900634766,0.8261311650276184,0.5207121968269348,0.6263589859008789,0.6009029150009155,0.6069033145904541,1.0437111854553223,32.46479415893555,7.857159614562988,240.4203338623047,267.8821105957031,51620.21484375,45821.42578125,39595.5625,11399664.0,378850144.0,34291079168.0,11999655936.0,2745182191616.0,543725612695552.0,5382321481973760.0,8.287155203111649e+17,3.342329256096039e+18,9.411085094354944e+16,4.48567415186391e+16,6.18257532346119e+18,1.4406168309126922e+18,1.3182509620867891e+17,2.1830524368416932e+18,2.4646633750370714e+17,3.767602349216891e+17,1.0964477699057254e+17
2,weight_sign_neg_front,7.654453754425049,2.873340606689453,2.649966239929199,2.303544044494629,2.305021286010742,10.346067428588867,52.008079528808594,76.41790771484375,5425.77099609375,7387.87255859375,13416.9677734375,803573.625,2761685.5,4004862.75,1547012352.0,223971360.0,6706374656.0,224352354304.0,4046932736.0,93741752320.0,1537784676352.0,39406052311040.0,10000159211520.0,17100400754688.0,52989322592256.0,1.3025849829752832e+17,31136854048768.0,7173052798337024.0,8.844049768041677e+16,5114743408820224.0,2.6435970383478784e+18,4640752428646400.0
2,weight_sign_pos_front,113.5989990234375,76.35724639892578,104.61824035644531,100.33452606201172,121.96161651611328,123.53050231933594,137.2104949951172,311.0394287109375,958.5103149414062,1147.3515625,5831.18603515625,272778.59375,11046119.0,23232884.0,10254400512.0,40666185728.0,4129232257024.0,66581484797952.0,30849508573184.0,3606011323613184.0,1.6557628066050867e+18,3.5545806299893596e+18,1.2538870185576104e+19,2.3554994282252206e+18,1.4181311309299057e+18,2.3485634339993027e+19,6.502277020934734e+18,5.2798926597803475e+19,6.229648657606559e+21,7.93393010199368e+21,5.5114169534233165e+23,1.2566203087627694e+24
4,normal,4.003098011016846,1.747937560081482,1.1153578758239746,1.1308784484863281,1.6383265256881714,1.555495262145996,8.037352561950684,2.339744806289673,3.9876902103424072,249.05812072753906,169.12330627441406,38.6389274597168,1080.8017578125,284.9125061035156,664234.125,1084802.875,5048792.0,3375696.5,49104012.0,50555972.0,1711739776.0,955100288.0,1593546624.0,1311550464.0,386128704.0,9642650370048.0,164564893171712.0,550839808.0,1.4564262018023424e+16,286034722816.0,411588494360576.0,2.776184224963625e+17
4,uniform,9.132118225097656,2.5294554233551025,1.2961053848266602,1.4620202779769897,1.7514957189559937,13.103721618652344,245.64820861816406,80.56214141845703,9.009288787841797,4070510.25,248870.484375,17454418.0,10739539.0,1555005.375,169082486784.0,5951451648.0,272232005632.0,2443314462720.0,2.1554875772541338e+17,1.359248847288664e+18,1.199103879191462e+18,3.2359682736610345e+18,2.500106043023111e+19,11984125820928.0,3722014900617216.0,7.408681146646528e+17,4.867300893969613e+17,1.344656805164472e+20,9.773619728264578e+20,3.9597257608864465e+19,9.765326569101257e+23,3.0474295107024186e+28
4,weight_sign_neg_front,4.829781532287598,2.156463384628296,2.4102261066436768,2.5661025047302246,7.6390509605407715,42.89800262451172,280.2191467285156,621.4791870117188,4780.76611328125,34246.17578125,310345.03125,805844.125,8956267.0,2750584.5,3191860736.0,2567264256.0,22310440.0,221066048.0,536997658624.0,2133474304.0,132770111488.0,61068873302016.0,2926194944.0,25204422656.0,227156640.0,1646694784.0,217273204736.0,539588284121088.0,313403703296.0,108386480.0,3059743719424.0,69310177280.0
4,weight_sign_pos_front,213.86578369140625,168.84518432617188,143.1065216064453,162.3755340576172,209.2207794189453,1582.82666015625,32527.740234375,188800.828125,1416627.875,2634372.5,80441608.0,2267358464.0,53548097536.0,353206304768.0,4876641239040.0,39951106310144.0,1358652237676544.0,2781320157593600.0,1.0703362585316557e+17,2.855151596747096e+18,4.5734199901238067e+18,5.2080892728307614e+20,6.159105961893288e+21,6.050073814914648e+21,1.1826770575608615e+23,2.491330209021614e+24,3.3406689194292542e+25,2.236888618697566e+25,2.196539040814217e+26,2.1044085307166313e+29,2.4267812186801144e+30,5.246840438032839e+29
8,normal,15.342443466186523,6.932918548583984,5.187246799468994,7.688922882080078,7.888340473175049,6.845156192779541,13.038909912109375,17.78759002685547,39.00528335571289,894.3886108398438,243.48707580566406,458.3885192871094,3866.97998046875,15493.978515625,220099.4375,5277454.5,2231339.25,23855006.0,239915984.0,417385408.0,792103104.0,335669264384.0,580724457472.0,2727755644928.0,4142797684736.0,64133609291776.0,155924727595008.0,847817484533760.0,1.8933366892003328e+17,9137911215685632.0,413868652232704.0,6.641381459644908e+17
8,uniform,10.812911033630371,6.667121887207031,5.844602584838867,6.440601825714111,10.580192565917969,7.772277355194092,11.412321090698242,16.43592071533203,66.60860443115234,81.5938720703125,150.29640197753906,367.3453674316406,929.3087768554688,1708.4281005859375,21962.666015625,26210.861328125,45607.59375,197523.453125,62149424.0,209606.171875,2924697.5,39957252.0,10144876544.0,93283016.0,4887866880.0,814553472.0,2871761305600.0,224443088896.0,125727637504.0,1281849766707200.0,19814777094144.0,31069113942016.0
