dataset,method,method_label,T,n_seeds,parameters,fp32_param_kib,ann_dense_macs_per_sample,accuracy_mean,accuracy_std,if_firing_density_mean,if_firing_density_std,event_synops_per_sample_mean,event_synops_per_sample_std,event_synops_per_ann_mac_mean,event_synops_per_ann_mac_std
fashion_mnist,l2,L2,4,5,2081,8.12890625,30184.0,76.26953125,5.568547422618328,0.09710344587053572,0.014252045031158693,13550.657421875,2652.7170962537703,0.4489351120419759,0.08788487596918138
fashion_mnist,l2,L2,8,5,2081,8.12890625,30184.0,83.59375,0.8343753657536651,0.09399336211535395,0.011174599362308236,27601.83828125,4811.417640029388,0.9144526332245562,0.1594029167780741
fashion_mnist,l2,L2,16,5,2081,8.12890625,30184.0,83.76953125,1.8157235780306447,0.09885698046003069,0.011399261335699264,59552.72109375,11553.58847362253,1.9729896996339122,0.3827719478406617
fashion_mnist,mne,MNE-L2,4,5,2081,8.12890625,30184.0,74.47265625,2.96415274185572,0.08230874197823661,0.013234948911564964,11603.934375,1738.9863068092516,0.3844399143586006,0.05761285140502425
fashion_mnist,mne,MNE-L2,8,5,2081,8.12890625,30184.0,80.99609375,2.0468246803213646,0.07454816857162787,0.011369868554753991,22108.110546875,3991.3764826981837,0.7324446907923072,0.13223484238994776
fashion_mnist,mne,MNE-L2,16,5,2081,8.12890625,30184.0,83.37890625,1.359142064273969,0.0779084925748864,0.011321582607842868,48157.003125,8350.273045764037,1.5954480229591836,0.27664567472051543
fashion_mnist,no_reg,No regularization,4,5,2081,8.12890625,30184.0,71.62109375,6.814139352639297,0.07743309176698024,0.014274686171280611,10989.0328125,2241.1703278581044,0.36406814247614633,0.07425027590306468
fashion_mnist,no_reg,No regularization,8,5,2081,8.12890625,30184.0,80.52734375,1.3185402075054797,0.07252406684719787,0.014393082884918168,21759.962890625,5734.056874117387,0.7209105118812947,0.18997007931743268
fashion_mnist,no_reg,No regularization,16,5,2081,8.12890625,30184.0,83.33984375,1.3907018061654608,0.07573084539296676,0.009991465325063599,47261.61015625,10582.861604091897,1.5657835328733767,0.35061163543903706
fashion_mnist,orthogonal,Orthogonal,4,5,2081,8.12890625,30184.0,72.75390625,6.340891828417159,0.07962753918706154,0.013039380426297086,11073.709765625,2120.59769013799,0.36687350137904184,0.07025568811747915
fashion_mnist,orthogonal,Orthogonal,8,5,2081,8.12890625,30184.0,81.19140625,2.1755655890651098,0.07536039547044404,0.010814490168446617,22046.093359375,3847.3182247949485,0.7303900529875099,0.12746217283312178
fashion_mnist,orthogonal,Orthogonal,16,5,2081,8.12890625,30184.0,84.12109375,0.8939681633863913,0.0758126044759945,0.00724820000566183,46577.597265625,7594.469130358492,1.543122093348297,0.25160578884039536
mnist,l2,L2,4,5,2081,8.12890625,30184.0,94.921875,2.2577398479876742,0.13174032094527263,0.05777595978107513,19380.1953125,5872.399913412549,0.6420684903425655,0.19455340290924164
mnist,l2,L2,8,5,2081,8.12890625,30184.0,96.46484375,0.42790824805091104,0.13863199195083306,0.06562306269878772,40735.77421875,13633.096910497019,1.3495817061605486,0.4516663434434474
mnist,l2,L2,16,5,2081,8.12890625,30184.0,95.68359375,0.9453003937757861,0.1403339502762775,0.06593725262344462,83606.1921875,27623.447809832458,2.769884448300424,0.9151685598274734
mnist,mne,MNE-L2,4,5,2081,8.12890625,30184.0,94.27734375,2.7077385665036515,0.12533499270069356,0.05707842237743933,18911.7265625,5778.125536265619,0.6265480573316989,0.1914300800512066
mnist,mne,MNE-L2,8,5,2081,8.12890625,30184.0,95.99609375,0.8429041260562533,0.14225062934719784,0.06899630370703326,41982.35,14040.754440436469,1.3908809302941956,0.46517209251379765
mnist,mne,MNE-L2,16,5,2081,8.12890625,30184.0,95.390625,1.8222771385622338,0.14432190875617826,0.07040277674088884,86463.745703125,28922.36448116112,2.8645555825313083,0.9582018447243945
mnist,no_reg,No regularization,4,5,2081,8.12890625,30184.0,95.17578125,1.8067725880858925,0.13411419926857462,0.07477151958613121,19692.01953125,7496.461576481633,0.6523992688593294,0.2483587853326806
mnist,no_reg,No regularization,8,5,2081,8.12890625,30184.0,95.390625,1.8991567246144898,0.13180436114875638,0.06721165794980404,39662.672265625,13675.999242630929,1.3140296934013054,0.453087703506193
mnist,no_reg,No regularization,16,5,2081,8.12890625,30184.0,94.6484375,1.7158066950405846,0.13360990407515544,0.07129182375408391,81686.862109375,29223.10671563679,2.70629678337447,0.9681654756041872
mnist,orthogonal,Orthogonal,4,5,2081,8.12890625,30184.0,96.07421875,0.6637752135924386,0.12586003517617986,0.05628705246644362,18979.477734375,5654.974730906807,0.6287926628139081,0.18735007722325758
mnist,orthogonal,Orthogonal,8,5,2081,8.12890625,30184.0,96.2109375,0.7288323498845817,0.1270370794802296,0.05670230454195265,38895.977734375,11599.901137084162,1.2886289999461635,0.38430629264127225
mnist,orthogonal,Orthogonal,16,5,2081,8.12890625,30184.0,95.3515625,1.2130620224105788,0.13282095461475607,0.06532609780909757,81787.08203125,27054.64679522553,2.7096170829330104,0.8963241053281714
