L,Mode,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32
2,normal,1.018979787826538,0.39574044942855835,0.35393571853637695,0.3275700509548187,0.4853813946247101,0.36006444692611694,0.6464177966117859,1.1331013441085815,1.8534787893295288,4.839773178100586,21.15403938293457,28.406471252441406,62.01307678222656,893.45166015625,1165.125,1896.7958984375,14226.5380859375,10710.5126953125,2859239.0,3121402.25,690443.5625,14393039.0,61589524.0,128463680.0,108078032.0,6067187613696.0,16290560000.0,4016763136.0,8502024192.0,11271403520.0,274378899456.0,922240548864.0
2,uniform,0.9904004335403442,0.4400588870048523,0.4131590723991394,0.3792802691459656,0.4811132550239563,0.447142630815506,0.9729797840118408,1.7888578176498413,5.029393672943115,14.699065208435059,29.734893798828125,57.32890701293945,2737.5478515625,10894.0078125,1838.33349609375,3496.82470703125,23936.931640625,4941.9755859375,107399.4609375,1210631.75,19734848.0,3256053.25,454249824.0,54093916.0,35929000.0,6940734464.0,114155069440.0,8575114240.0,5015770112.0,73527984128.0,392119975936.0,660786184192.0
2,weight_sign_neg_front,9.527959823608398,3.2673232555389404,1.011297345161438,0.547237753868103,0.5275282859802246,0.5106652975082397,1.10739266872406,3.0118401050567627,2.778296709060669,30.689552307128906,34.32967758178711,101.26641082763672,406.4064025878906,89.5266342163086,1638.5517578125,1010.2168579101562,8469.783203125,2857.99267578125,10000.7958984375,41136.421875,43902.8203125,68719.078125,111886.6796875,1823169.375,743506.875,1999451.0,57966996.0,6127947.0,13712142.0,356283616.0,45614168.0,17147676.0
2,weight_sign_pos_front,66.697998046875,43.619266510009766,41.817386627197266,36.352359771728516,30.018035888671875,40.645294189453125,2012.0093994140625,1644.9166259765625,1158.93115234375,3614.64453125,583125.25,698962.4375,568533.5,440358.875,993062.1875,2515589.75,67221256.0,125424712.0,133334816.0,23178647552.0,30740619264.0,210646745088.0,1930122231808.0,84225556480.0,123966005248.0,158610702336.0,611944497152.0,11916224233472.0,4014182198411264.0,13178961395712.0,50276866195456.0,1544209454596096.0
4,normal,4.423934459686279,1.230861783027649,0.8416602611541748,0.5339921712875366,0.7009775638580322,1.2033250331878662,1.1971814632415771,1.513131022453308,51.009437561035156,13.06341552734375,16.071537017822266,37.494903564453125,72.11331176757812,363.3208923339844,141178.453125,61247.546875,13770.7490234375,18885.876953125,6331.38427734375,62350.30078125,105622.734375,670558.75,698297728.0,5547083.0,545523520.0,29135308.0,89020392.0,1738364160.0,245441904.0,107365728.0,638873305088.0,901487552.0
4,uniform,5.051947593688965,1.322655439376831,0.7985174059867859,0.6361067295074463,1.1319098472595215,3.2942919731140137,1.202239751815796,2.2165591716766357,10.204633712768555,23.378643035888672,55.63877487182617,2440.68359375,1426.935546875,2536.079833984375,10130.4208984375,530096.4375,8779.578125,7696.712890625,1763743.0,840896.125,651874.25,298264330240.0,2237591.75,39773458432.0,450157150208.0,137549184.0,80069836800.0,27009438.0,83189800960.0,207590916096.0,419933856.0,210646040576.0
4,weight_sign_neg_front,5.308891773223877,3.5975401401519775,1.724576711654663,3.513798475265503,1.791672706604004,1.5163525342941284,1.830376148223877,3.1218068599700928,18.13665771484375,11.422188758850098,9.804760932922363,23.53693199157715,42.70677185058594,60.576663970947266,42.9462776184082,56.32487106323242,3225.1826171875,12706.259765625,508.8750305175781,727.1439819335938,1336.628662109375,4999.2255859375,598.0827026367188,2781.188720703125,48228.46875,4157.05908203125,749.0125122070312,521358144.0,6486.9501953125,49672056832.0,2857706192896.0,1379553792.0
4,weight_sign_pos_front,292.06280517578125,184.146728515625,168.64328002929688,118.84596252441406,108.2518081665039,104.0855484008789,118.95404815673828,395.0009460449219,3999.933349609375,10035.630859375,42147.62890625,916851.0,387117.0,20903788.0,7826084.0,144777728.0,684622912.0,2461291008.0,28861667328.0,13197854720.0,271856287744.0,1394006949888.0,6215048888320.0,8351963414528.0,200049292214272.0,3371803267301376.0,1.978966586052051e+18,1.6238891671067034e+17,1.286861279503319e+17,3.6072785730412216e+18,3.6295588017885676e+18,1.851210432252037e+20
8,normal,3.6646616458892822,2.7270517349243164,1.2975481748580933,1.2586092948913574,1.2469168901443481,1.3373488187789917,2.1719441413879395,7.515346050262451,2.885629415512085,7.04612922668457,885.16796875,23.065813064575195,65.93048095703125,33.5479736328125,287.5476379394531,292.410888671875,130.86717224121094,8216.435546875,1399.7489013671875,28950.587890625,7722.16259765625,496873.28125,59426.23828125,641374.4375,1550398.0,1145718.5,4095893.5,4588164.5,27350640.0,15528863.0,265740288.0,374342272.0
8,uniform,5.229673862457275,3.0427510738372803,1.583764910697937,1.2692279815673828,1.4090057611465454,1.480732798576355,1.4271761178970337,3.508648633956909,4.239835739135742,16.307188034057617,45.37922668457031,30.631277084350586,208.26651000976562,1424.792724609375,1325.61865234375,343.2518005371094,1839.6943359375,1758.470458984375,647.5982055664062,8909.8955078125,2074599.5,82085.859375,40129.734375,1640096.875,110541360.0,219941952.0,70808752.0,1880916.75,2003797.625,42089016.0,4064141115392.0,75586122809344.0
8,weight_sign_neg_front,6.114809036254883,4.034027576446533,1.5238648653030396,1.050230622291565,1.1660645008087158,1.1946996450424194,1.242893099784851,1.642665982246399,2.874995470046997,8.384784698486328,16.938589096069336,19.99065399169922,28.938501358032227,71.49191284179688,233.86557006835938,52.59334945678711,10654.826171875,6000.10205078125,3922.5126953125,29180.916015625,425416.9375,371217.0,52661.80078125,722350.375,1435424.5,475865.03125,23475248.0,57146336.0,2228231.25,4309716.5,15140644.0,466742176.0
8,weight_sign_pos_front,27.483043670654297,79.83583068847656,44.2176513671875,34.06718063354492,27.333599090576172,25.333051681518555,25.410877227783203,65.238525390625,115.78273010253906,285.7406311035156,2926.3330078125,5485.54345703125,28626.689453125,39516.07421875,2250.524169921875,4854028800.0,46581628.0,7291657.0,894792.375,17558680.0,3750273.5,1007068.125,4183985.5,274489632.0,539637888.0,546434816.0,11075195904.0,1198535936.0,258785888.0,60427472896.0,2865119488.0,6847392768.0
16,normal,12.722061157226562,556.4786987304688,102.0612564086914,27.256511688232422,13.336278915405273,10.870244026184082,10.755023002624512,11.537455558776855,12.246801376342773,20.15006446838379,22.704275131225586,36.26996612548828,44.479331970214844,177.8220977783203,373.9263000488281,187.98263549804688,1526.2481689453125,2281.79833984375,2206.65869140625,9405.8720703125,28388.91015625,150426.859375,158416.6875,188404.203125,361468.84375,1640213.875,1666558.125,8070522.5,338827584.0,81672280.0,51392208.0,1256411136.0
16,uniform,12.317048072814941,474.4981384277344,94.31013488769531,29.92067527770996,13.63858699798584,12.703697204589844,15.118810653686523,15.871383666992188,51.481727600097656,25.193309783935547,37.454933166503906,284.8673400878906,2406.855224609375,934.6923217773438,1243.3970947265625,1629.3463134765625,2170.745361328125,3143.514404296875,10435.779296875,30190.4765625,31264.94921875,56779.8125,403552800.0,113440784.0,2319465472.0,1136347520.0,5676194.0,4525290496.0,89499472.0,67572752.0,720378624.0,3129265152.0
16,weight_sign_neg_front,0.018451474606990814,4528.97314453125,1757.19140625,626.0159301757812,364.7191467285156,187.25277709960938,113.06214141845703,79.8712387084961,59.15707015991211,303.9741516113281,934.6167602539062,2285.382568359375,72040.6796875,16224.3203125,157320.859375,251895.140625,885518.125,15870673.0,72647280.0,75456608.0,3090397952.0,23972921344.0,53262352384.0,363847221248.0,2125822427136.0,42407223623680.0,1.698631648280576e+16,1195363486662656.0,5.632802027338308e+19,1906726303432704.0,8636917776121856.0,1697110692986880.0
16,weight_sign_pos_front,332.9569396972656,4109.890625,1312.708740234375,736.1137084960938,418.9391174316406,322.6531066894531,259.6337585449219,237.14781188964844,275.7417907714844,349.22491455078125,347.6129455566406,6113.97802734375,10986.134765625,1581685.875,45533.71875,868737.375,639347008.0,143673824.0,5942974464.0,58279305216.0,76968116224.0,2507010736128.0,544411779072.0,283000012800.0,873577119744.0,3484503769088.0,2.5327597379177677e+17,1.2136298021839176e+18,2.629008322933555e+16,1.5150663781371085e+17,2.5563975199280333e+17,3.8820152697068664e+20
32,normal,16.224660873413086,233.42601013183594,32.76706314086914,14.365857124328613,9.470602989196777,12.473944664001465,12.779302597045898,26.104127883911133,17.877120971679688,44.43141174316406,89.44221496582031,49.89303970336914,669.5462646484375,11875.8173828125,12531.3701171875,5934.26171875,82236.0390625,133138.984375,8636017.0,12384125.0,23843834.0,4889054.0,1113622528.0,3137504000.0,1614375040.0,17916266496.0,29877415936.0,402386550784.0,401939857408.0,1536759562240.0,45107059359744.0,31309040713728.0
32,uniform,15.285398483276367,245.45249938964844,35.52006912231445,17.70615577697754,12.01191520690918,18.532787322998047,20.76085090637207,36.335304260253906,92.57234191894531,59.597408294677734,99.36740112304688,130.0032196044922,516.4976196289062,5653.71533203125,11550.1787109375,14345.3828125,78602.4765625,205467.4375,680017.75,486660.375,473327.4375,14805400.0,3007254.75,1820169.375,4627012.5,5929885184.0,1979592867840.0,83100384.0,17806098432.0,708091584.0,6944401408.0,13396261888.0
32,weight_sign_neg_front,0.02929169498383999,622.7670288085938,330.34649658203125,189.90171813964844,111.6712875366211,54.258636474609375,42.79449462890625,34.480220794677734,27.194305419921875,24.513660430908203,26.836223602294922,30.682252883911133,49.6834602355957,61.528865814208984,88.49366760253906,130.79373168945312,159.62742614746094,235.11526489257812,326.2506103515625,556.6428833007812,819.3803100585938,1745.3626708984375,4508.51318359375,4657.3076171875,9919.716796875,11546.05078125,15856.236328125,109749.0234375,110283.3515625,296691.53125,23178164.0,491326.5
32,weight_sign_pos_front,2531.94482421875,2056.507080078125,1605.5855712890625,961.89111328125,688.3676147460938,581.6048583984375,483.2867736816406,598.1427612304688,644.38623046875,680.869873046875,830.4171752929688,3519.586181640625,1777.281494140625,81985.9453125,3225.3984375,820737.0,47073.5390625,2812175.75,5268399.0,10605159.0,23078701056.0,7548340224.0,15833479168.0,203610843512832.0,2389077437448192.0,1926323503104.0,18013782802432.0,684999442432.0,167839872843776.0,72495650570240.0,235233295204352.0,3950721640693760.0
