L,Mode,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32
2,back_load,0.8301907181739807,0.3823756277561188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,front_load,0.810908317565918,0.33680710196495056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,normal,1.012331247329712,0.26548096537590027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,uniform,0.9450038075447083,0.3669779896736145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,weight_sign_neg_front,0.9734936356544495,0.22241400182247162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,weight_sign_pos_front,3.9681856632232666,0.7291862368583679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,back_load,6.4129838943481445,1.2846416234970093,0.8832695484161377,0.634617030620575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,front_load,5.11631965637207,1.3340387344360352,0.912398636341095,0.6620123386383057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,normal,4.162003040313721,1.07945716381073,0.7523739337921143,0.6696617007255554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,uniform,4.138474941253662,0.925155758857727,0.6351764798164368,0.5977764129638672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,weight_sign_neg_front,4.008498668670654,1.258315920829773,0.42614874243736267,0.4715391993522644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,weight_sign_pos_front,92.36492919921875,22.431596755981445,6.4537177085876465,1.8120473623275757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,back_load,5.615124225616455,4.817155838012695,2.029433012008667,1.671878695487976,1.5117052793502808,1.451381802558899,2.5254433155059814,5.956553936004639,,,,,,,,,,,,,,,,,,,,,,,,
8,front_load,4.4091644287109375,6.4689435958862305,2.2462828159332275,1.5071665048599243,1.795196533203125,2.037036418914795,3.6036670207977295,16.002412796020508,,,,,,,,,,,,,,,,,,,,,,,,
8,normal,3.904294729232788,2.797489643096924,1.264957070350647,1.3035730123519897,1.2930854558944702,1.4115523099899292,3.9600865840911865,3.7532191276550293,,,,,,,,,,,,,,,,,,,,,,,,
8,uniform,3.679894208908081,3.273530960083008,1.745779037475586,1.667904257774353,1.1990605592727661,1.2917671203613281,1.9221850633621216,5.5914764404296875,,,,,,,,,,,,,,,,,,,,,,,,
