model_scale,sigma,weight_decay,no_regularization,wd_minus_none
c2_c4,0.00,94.770000,93.440000,1.330000
c4_c8,0.00,98.540000,98.440000,0.100000
c2_c4,0.10,76.000000,89.510000,-13.510000
c4_c8,0.10,98.030000,98.240000,-0.210000
c2_c4,0.20,66.570000,88.140000,-21.570000
c4_c8,0.20,96.960000,97.140000,-0.180000
c2_c4,0.30,61.320000,86.170000,-24.850000
c4_c8,0.30,96.160000,94.980000,1.180000
c2_c4,0.40,58.560000,82.330000,-23.770000
c4_c8,0.40,94.890000,91.440000,3.450000
c2_c4,0.50,57.160000,79.510000,-22.350000
c4_c8,0.50,93.130000,87.170000,5.960000
c2_c4,0.60,56.100000,77.090000,-20.990000
c4_c8,0.60,91.290000,83.330000,7.960000
c2_c4,0.70,55.680000,74.850000,-19.170000
c4_c8,0.70,89.650000,80.110000,9.540000
c2_c4,0.80,54.950000,71.820000,-16.870000
c4_c8,0.80,86.540000,77.280000,9.260000
c2_c4,0.90,54.300000,70.590000,-16.290000
c4_c8,0.90,83.460000,75.490000,7.970000
c2_c4,1.00,53.440000,68.530000,-15.090000
c4_c8,1.00,80.100000,73.090000,7.010000
