method,sigma,acc
conv_mne_l2,0.00,93.010000
conv_mne_l2,0.10,92.980000
conv_mne_l2,0.20,92.850000
conv_mne_l2,0.30,92.780000
conv_mne_l2,0.40,92.980000
conv_mne_l2,0.50,92.640000
conv_mne_l2,0.60,92.460000
conv_mne_l2,0.70,92.150000
conv_mne_l2,0.80,92.150000
conv_mne_l2,0.90,91.930000
conv_mne_l2,1.00,91.580000
mne_l2,0.00,95.740000
mne_l2,0.10,95.740000
mne_l2,0.20,94.820000
mne_l2,0.30,93.770000
mne_l2,0.40,93.390000
mne_l2,0.50,93.120000
mne_l2,0.60,92.120000
mne_l2,0.70,91.540000
mne_l2,0.80,91.140000
mne_l2,0.90,89.860000
mne_l2,1.00,88.210000
weight_decay,0.00,94.770000
weight_decay,0.10,76.000000
weight_decay,0.20,66.570000
weight_decay,0.30,61.320000
weight_decay,0.40,58.560000
weight_decay,0.50,57.160000
weight_decay,0.60,56.100000
weight_decay,0.70,55.680000
weight_decay,0.80,54.950000
weight_decay,0.90,54.300000
weight_decay,1.00,53.440000
no_regularization,0.00,93.440000
no_regularization,0.10,89.510000
no_regularization,0.20,88.140000
no_regularization,0.30,86.170000
no_regularization,0.40,82.330000
no_regularization,0.50,79.510000
no_regularization,0.60,77.090000
no_regularization,0.70,74.850000
no_regularization,0.80,71.820000
no_regularization,0.90,70.590000
no_regularization,1.00,68.530000
