sigma,conv_mne_l2,mne_l2,weight_decay,no_regularization
0.00,93.010000,95.740000,94.770000,93.440000
0.10,92.980000,95.740000,76.000000,89.510000
0.20,92.850000,94.820000,66.570000,88.140000
0.30,92.780000,93.770000,61.320000,86.170000
0.40,92.980000,93.390000,58.560000,82.330000
0.50,92.640000,93.120000,57.160000,79.510000
0.60,92.460000,92.120000,56.100000,77.090000
0.70,92.150000,91.540000,55.680000,74.850000
0.80,92.150000,91.140000,54.950000,71.820000
0.90,91.930000,89.860000,54.300000,70.590000
1.00,91.580000,88.210000,53.440000,68.530000
