method,sigma,acc
conv_mne_l2,0.00,97.810000
conv_mne_l2,0.10,97.740000
conv_mne_l2,0.20,97.740000
conv_mne_l2,0.30,97.760000
conv_mne_l2,0.40,97.690000
conv_mne_l2,0.50,97.760000
conv_mne_l2,0.60,97.660000
conv_mne_l2,0.70,97.640000
conv_mne_l2,0.80,97.340000
conv_mne_l2,0.90,97.340000
conv_mne_l2,1.00,96.960000
mne_l2,0.00,97.920000
mne_l2,0.10,97.950000
mne_l2,0.20,97.840000
mne_l2,0.30,97.760000
mne_l2,0.40,97.740000
mne_l2,0.50,97.590000
mne_l2,0.60,97.660000
mne_l2,0.70,97.490000
mne_l2,0.80,97.430000
mne_l2,0.90,97.310000
mne_l2,1.00,97.140000
weight_decay,0.00,98.540000
weight_decay,0.10,98.030000
weight_decay,0.20,96.960000
weight_decay,0.30,96.160000
weight_decay,0.40,94.890000
weight_decay,0.50,93.130000
weight_decay,0.60,91.290000
weight_decay,0.70,89.650000
weight_decay,0.80,86.540000
weight_decay,0.90,83.460000
weight_decay,1.00,80.100000
no_regularization,0.00,98.440000
no_regularization,0.10,98.240000
no_regularization,0.20,97.140000
no_regularization,0.30,94.980000
no_regularization,0.40,91.440000
no_regularization,0.50,87.170000
no_regularization,0.60,83.330000
no_regularization,0.70,80.110000
no_regularization,0.80,77.280000
no_regularization,0.90,75.490000
no_regularization,1.00,73.090000
