method,sigma,acc
weight_decay,0.0,91.23
weight_decay,0.02,90.33
weight_decay,0.04,83.87
weight_decay,0.06,81.54
weight_decay,0.08,80.84
weight_decay,0.1,80.51
weight_decay,0.12,79.6
weight_decay,0.14,78.27
weight_decay,0.16,76.54
weight_decay,0.18,73.47
weight_decay,0.2,71.03
weight_decay,0.22,68.92
weight_decay,0.24,66.56
weight_decay,0.26,65.22
weight_decay,0.28,63.38
weight_decay,0.3,62.21
weight_decay,0.32,61.17
weight_decay,0.34,59.72
weight_decay,0.36,58.82
weight_decay,0.38,58.18
weight_decay,0.4,57.73
weight_decay,0.42,56.49
weight_decay,0.44,56.0
weight_decay,0.46,55.54
weight_decay,0.48,55.1
weight_decay,0.5,54.4
weight_decay,0.52,53.3
weight_decay,0.54,53.94
weight_decay,0.56,52.62
weight_decay,0.58,52.6
weight_decay,0.6,52.01
weight_decay,0.62,51.8
weight_decay,0.64,51.6
weight_decay,0.66,51.01
weight_decay,0.68,50.22
weight_decay,0.7,50.24
weight_decay,0.72,50.4
weight_decay,0.74,49.21
weight_decay,0.76,49.18
weight_decay,0.78,49.3
weight_decay,0.8,48.88
weight_decay,0.82,48.41
weight_decay,0.84,48.16
weight_decay,0.86,47.86
weight_decay,0.88,47.71
weight_decay,0.9,46.91
weight_decay,0.92,47.12
weight_decay,0.94,46.81
weight_decay,0.96,46.09
weight_decay,0.98,46.24
weight_decay,1.0,46.0
mne_l2,0.0,87.57
mne_l2,0.02,87.51
mne_l2,0.04,87.31
mne_l2,0.06,86.89
mne_l2,0.08,87.1
mne_l2,0.1,86.74
mne_l2,0.12,86.62
mne_l2,0.14,86.65
mne_l2,0.16,86.88
mne_l2,0.18,86.71
mne_l2,0.2,86.76
mne_l2,0.22,86.47
mne_l2,0.24,86.71
mne_l2,0.26,86.22
mne_l2,0.28,86.53
mne_l2,0.3,86.18
mne_l2,0.32,86.25
mne_l2,0.34,85.82
mne_l2,0.36,85.76
mne_l2,0.38,85.71
mne_l2,0.4,85.8
mne_l2,0.42,85.52
mne_l2,0.44,84.92
mne_l2,0.46,84.88
mne_l2,0.48,84.54
mne_l2,0.5,84.48
mne_l2,0.52,84.28
mne_l2,0.54,84.08
mne_l2,0.56,84.13
mne_l2,0.58,83.67
mne_l2,0.6,83.3
mne_l2,0.62,82.87
mne_l2,0.64,83.12
mne_l2,0.66,82.62
mne_l2,0.68,82.35
mne_l2,0.7,82.24
mne_l2,0.72,81.58
mne_l2,0.74,82.05
mne_l2,0.76,81.37
mne_l2,0.78,80.78
mne_l2,0.8,80.73
mne_l2,0.82,80.57
mne_l2,0.84,80.17
mne_l2,0.86,79.72
mne_l2,0.88,79.54
mne_l2,0.9,79.21
mne_l2,0.92,78.47
mne_l2,0.94,78.54
mne_l2,0.96,77.77
mne_l2,0.98,77.14
mne_l2,1.0,77.21
no_regularization,0.0,90.9
no_regularization,0.02,90.61
no_regularization,0.04,77.02
no_regularization,0.06,68.06
no_regularization,0.08,64.49
no_regularization,0.1,62.23
no_regularization,0.12,58.5
no_regularization,0.14,54.29
no_regularization,0.16,50.48
no_regularization,0.18,46.64
no_regularization,0.2,44.38
no_regularization,0.22,42.07
no_regularization,0.24,40.75
no_regularization,0.26,39.55
no_regularization,0.28,38.76
no_regularization,0.3,38.32
no_regularization,0.32,37.2
no_regularization,0.34,36.74
no_regularization,0.36,36.02
no_regularization,0.38,35.85
no_regularization,0.4,36.11
no_regularization,0.42,35.06
no_regularization,0.44,34.96
no_regularization,0.46,34.56
no_regularization,0.48,34.2
no_regularization,0.5,33.52
no_regularization,0.52,33.64
no_regularization,0.54,33.52
no_regularization,0.56,33.18
no_regularization,0.58,32.99
no_regularization,0.6,32.71
no_regularization,0.62,32.74
no_regularization,0.64,32.25
no_regularization,0.66,31.95
no_regularization,0.68,31.7
no_regularization,0.7,32.13
no_regularization,0.72,31.87
no_regularization,0.74,31.41
no_regularization,0.76,31.2
no_regularization,0.78,31.35
no_regularization,0.8,30.99
no_regularization,0.82,31.06
no_regularization,0.84,30.66
no_regularization,0.86,29.84
no_regularization,0.88,30.12
no_regularization,0.9,30.17
no_regularization,0.92,30.05
no_regularization,0.94,29.76
no_regularization,0.96,29.5
no_regularization,0.98,29.67
no_regularization,1.0,29.21
