method,sigma,acc
mne_l2,0.0,87.57
mne_l2,0.02,87.47
mne_l2,0.04,87.26
mne_l2,0.06,87.01
mne_l2,0.08,87.05
mne_l2,0.1,86.83
mne_l2,0.12,86.8
mne_l2,0.14,86.76
mne_l2,0.16,86.55
mne_l2,0.18,86.62
mne_l2,0.2,86.7
mne_l2,0.22,86.4
mne_l2,0.24,86.09
mne_l2,0.26,86.27
mne_l2,0.28,86.24
mne_l2,0.3,86.18
mne_l2,0.32,85.97
mne_l2,0.34,85.88
mne_l2,0.36,85.9
mne_l2,0.38,85.73
mne_l2,0.4,85.62
mne_l2,0.42,85.47
mne_l2,0.44,85.56
mne_l2,0.46,84.9
mne_l2,0.48,84.8
mne_l2,0.5,84.7
mne_l2,0.52,84.18
mne_l2,0.54,83.96
mne_l2,0.56,83.52
mne_l2,0.58,83.66
mne_l2,0.6,83.51
mne_l2,0.62,83.07
mne_l2,0.64,82.77
mne_l2,0.66,82.67
mne_l2,0.68,82.39
mne_l2,0.7,81.86
mne_l2,0.72,81.91
mne_l2,0.74,81.82
mne_l2,0.76,81.25
mne_l2,0.78,81.22
mne_l2,0.8,80.98
mne_l2,0.82,80.37
mne_l2,0.84,79.8
mne_l2,0.86,79.75
mne_l2,0.88,79.23
mne_l2,0.9,79.24
mne_l2,0.92,78.56
mne_l2,0.94,78.47
mne_l2,0.96,77.74
mne_l2,0.98,77.38
mne_l2,1.0,77.42
weight_decay,0.0,91.23
weight_decay,0.02,90.49
weight_decay,0.04,84.06
weight_decay,0.06,81.49
weight_decay,0.08,80.84
weight_decay,0.1,80.09
weight_decay,0.12,79.57
weight_decay,0.14,78.57
weight_decay,0.16,75.77
weight_decay,0.18,73.62
weight_decay,0.2,71.07
weight_decay,0.22,68.8
weight_decay,0.24,66.93
weight_decay,0.26,64.91
weight_decay,0.28,63.59
weight_decay,0.3,62.5
weight_decay,0.32,60.78
weight_decay,0.34,60.34
weight_decay,0.36,58.94
weight_decay,0.38,58.39
weight_decay,0.4,57.33
weight_decay,0.42,56.87
weight_decay,0.44,56.19
weight_decay,0.46,55.73
weight_decay,0.48,55.03
weight_decay,0.5,54.03
weight_decay,0.52,54.0
weight_decay,0.54,52.95
weight_decay,0.56,52.56
weight_decay,0.58,52.56
weight_decay,0.6,52.26
weight_decay,0.62,52.0
weight_decay,0.64,51.35
weight_decay,0.66,50.92
weight_decay,0.68,50.58
weight_decay,0.7,49.97
weight_decay,0.72,49.92
weight_decay,0.74,49.49
weight_decay,0.76,49.07
weight_decay,0.78,48.93
weight_decay,0.8,48.62
weight_decay,0.82,48.09
weight_decay,0.84,47.57
weight_decay,0.86,47.85
weight_decay,0.88,47.82
weight_decay,0.9,47.2
weight_decay,0.92,47.37
weight_decay,0.94,46.57
weight_decay,0.96,46.81
weight_decay,0.98,46.37
weight_decay,1.0,46.22
no_regularization,0.0,90.9
no_regularization,0.02,90.63
no_regularization,0.04,76.99
no_regularization,0.06,67.75
no_regularization,0.08,65.02
no_regularization,0.1,61.9
no_regularization,0.12,59.53
no_regularization,0.14,54.0
no_regularization,0.16,50.39
no_regularization,0.18,47.04
no_regularization,0.2,44.26
no_regularization,0.22,42.8
no_regularization,0.24,40.57
no_regularization,0.26,39.87
no_regularization,0.28,38.78
no_regularization,0.3,38.04
no_regularization,0.32,37.69
no_regularization,0.34,36.7
no_regularization,0.36,36.13
no_regularization,0.38,35.87
no_regularization,0.4,35.57
no_regularization,0.42,35.23
no_regularization,0.44,34.64
no_regularization,0.46,34.14
no_regularization,0.48,33.87
no_regularization,0.5,33.68
no_regularization,0.52,33.43
no_regularization,0.54,33.81
no_regularization,0.56,32.43
no_regularization,0.58,32.69
no_regularization,0.6,33.18
no_regularization,0.62,32.82
no_regularization,0.64,31.97
no_regularization,0.66,31.9
no_regularization,0.68,32.25
no_regularization,0.7,31.69
no_regularization,0.72,31.24
no_regularization,0.74,31.45
no_regularization,0.76,31.46
no_regularization,0.78,31.5
no_regularization,0.8,31.03
no_regularization,0.82,30.83
no_regularization,0.84,30.96
no_regularization,0.86,30.45
no_regularization,0.88,30.39
no_regularization,0.9,29.51
no_regularization,0.92,29.78
no_regularization,0.94,29.87
no_regularization,0.96,30.13
no_regularization,0.98,29.38
no_regularization,1.0,29.65
