method,sigma,acc
weight_decay,0.00,91.230000
weight_decay,0.02,90.490000
weight_decay,0.04,84.060000
weight_decay,0.06,81.490000
weight_decay,0.08,80.840000
weight_decay,0.10,80.090000
weight_decay,0.12,79.570000
weight_decay,0.14,78.570000
weight_decay,0.16,75.770000
weight_decay,0.18,73.620000
weight_decay,0.20,71.070000
weight_decay,0.22,68.800000
weight_decay,0.24,66.930000
weight_decay,0.26,64.910000
weight_decay,0.28,63.590000
weight_decay,0.30,62.500000
weight_decay,0.32,60.780000
weight_decay,0.34,60.340000
weight_decay,0.36,58.940000
weight_decay,0.38,58.390000
weight_decay,0.40,57.330000
weight_decay,0.42,56.870000
weight_decay,0.44,56.190000
weight_decay,0.46,55.730000
weight_decay,0.48,55.030000
weight_decay,0.50,54.030000
weight_decay,0.52,54.000000
weight_decay,0.54,52.950000
weight_decay,0.56,52.560000
weight_decay,0.58,52.560000
weight_decay,0.60,52.260000
weight_decay,0.62,52.000000
weight_decay,0.64,51.350000
weight_decay,0.66,50.920000
weight_decay,0.68,50.580000
weight_decay,0.70,49.970000
weight_decay,0.72,49.920000
weight_decay,0.74,49.490000
weight_decay,0.76,49.070000
weight_decay,0.78,48.930000
weight_decay,0.80,48.620000
weight_decay,0.82,48.090000
weight_decay,0.84,47.570000
weight_decay,0.86,47.850000
weight_decay,0.88,47.820000
weight_decay,0.90,47.200000
weight_decay,0.92,47.370000
weight_decay,0.94,46.570000
weight_decay,0.96,46.810000
weight_decay,0.98,46.370000
weight_decay,1.00,46.220000
mne_l2,0.00,87.570000
mne_l2,0.02,87.470000
mne_l2,0.04,87.260000
mne_l2,0.06,87.010000
mne_l2,0.08,87.050000
mne_l2,0.10,86.830000
mne_l2,0.12,86.800000
mne_l2,0.14,86.760000
mne_l2,0.16,86.550000
mne_l2,0.18,86.620000
mne_l2,0.20,86.700000
mne_l2,0.22,86.400000
mne_l2,0.24,86.090000
mne_l2,0.26,86.270000
mne_l2,0.28,86.240000
mne_l2,0.30,86.180000
mne_l2,0.32,85.970000
mne_l2,0.34,85.880000
mne_l2,0.36,85.900000
mne_l2,0.38,85.730000
mne_l2,0.40,85.620000
mne_l2,0.42,85.470000
mne_l2,0.44,85.560000
mne_l2,0.46,84.900000
mne_l2,0.48,84.800000
mne_l2,0.50,84.700000
mne_l2,0.52,84.180000
mne_l2,0.54,83.960000
mne_l2,0.56,83.520000
mne_l2,0.58,83.660000
mne_l2,0.60,83.510000
mne_l2,0.62,83.070000
mne_l2,0.64,82.770000
mne_l2,0.66,82.670000
mne_l2,0.68,82.390000
mne_l2,0.70,81.860000
mne_l2,0.72,81.910000
mne_l2,0.74,81.820000
mne_l2,0.76,81.250000
mne_l2,0.78,81.220000
mne_l2,0.80,80.980000
mne_l2,0.82,80.370000
mne_l2,0.84,79.800000
mne_l2,0.86,79.750000
mne_l2,0.88,79.230000
mne_l2,0.90,79.240000
mne_l2,0.92,78.560000
mne_l2,0.94,78.470000
mne_l2,0.96,77.740000
mne_l2,0.98,77.380000
mne_l2,1.00,77.420000
no_regularization,0.00,90.900000
no_regularization,0.02,90.630000
no_regularization,0.04,76.990000
no_regularization,0.06,67.750000
no_regularization,0.08,65.020000
no_regularization,0.10,61.900000
no_regularization,0.12,59.530000
no_regularization,0.14,54.000000
no_regularization,0.16,50.390000
no_regularization,0.18,47.040000
no_regularization,0.20,44.260000
no_regularization,0.22,42.800000
no_regularization,0.24,40.570000
no_regularization,0.26,39.870000
