sigma,weight_decay,mne_l2,no_regularization,conv_mne_l2_no_detach
0.00,91.230000,87.570000,90.900000,86.140000
0.02,90.490000,87.470000,90.630000,86.090000
0.04,84.060000,87.260000,76.990000,85.790000
0.06,81.490000,87.010000,67.750000,85.790000
0.08,80.840000,87.050000,65.020000,85.690000
0.10,80.090000,86.830000,61.900000,85.490000
0.12,79.570000,86.800000,59.530000,85.690000
0.14,78.570000,86.760000,54.000000,85.690000
0.16,75.770000,86.550000,50.390000,85.340000
0.18,73.620000,86.620000,47.040000,85.400000
0.20,71.070000,86.700000,44.260000,85.330000
0.22,68.800000,86.400000,42.800000,85.300000
0.24,66.930000,86.090000,40.570000,85.040000
0.26,64.910000,86.270000,39.870000,85.030000
0.28,63.590000,86.240000,38.780000,84.580000
0.30,62.500000,86.180000,38.040000,84.720000
0.32,60.780000,85.970000,37.690000,84.900000
0.34,60.340000,85.880000,36.700000,84.370000
0.36,58.940000,85.900000,36.130000,84.670000
0.38,58.390000,85.730000,35.870000,84.320000
0.40,57.330000,85.620000,35.570000,84.490000
0.42,56.870000,85.470000,35.230000,84.170000
0.44,56.190000,85.560000,34.640000,84.310000
0.46,55.730000,84.900000,34.140000,84.060000
0.48,55.030000,84.800000,33.870000,84.180000
0.50,54.030000,84.700000,33.680000,84.050000
0.52,54.000000,84.180000,33.430000,83.900000
0.54,52.950000,83.960000,33.810000,83.460000
0.56,52.560000,83.520000,32.430000,83.560000
0.58,52.560000,83.660000,32.690000,83.640000
0.60,52.260000,83.510000,33.180000,83.320000
0.62,52.000000,83.070000,32.820000,83.180000
0.64,51.350000,82.770000,31.970000,83.130000
0.66,50.920000,82.670000,31.900000,83.000000
0.68,50.580000,82.390000,32.250000,82.800000
0.70,49.970000,81.860000,31.690000,82.940000
0.72,49.920000,81.910000,31.240000,83.080000
0.74,49.490000,81.820000,31.450000,82.510000
0.76,49.070000,81.250000,31.460000,82.580000
0.78,48.930000,81.220000,31.500000,82.820000
0.80,48.620000,80.980000,31.030000,82.440000
0.82,48.090000,80.370000,30.830000,82.450000
0.84,47.570000,79.800000,30.960000,82.290000
0.86,47.850000,79.750000,30.450000,81.520000
0.88,47.820000,79.230000,30.390000,81.960000
0.90,47.200000,79.240000,29.510000,81.700000
0.92,47.370000,78.560000,29.780000,81.570000
0.94,46.570000,78.470000,29.870000,81.560000
0.96,46.810000,77.740000,30.130000,81.390000
0.98,46.370000,77.380000,29.380000,81.040000
1.00,46.220000,77.420000,29.650000,81.170000
