method,sigma,acc
weight_decay,0.00,99.000000
weight_decay,0.02,99.030000
weight_decay,0.04,99.030000
weight_decay,0.06,99.080000
weight_decay,0.08,99.010000
weight_decay,0.10,99.030000
weight_decay,0.12,99.000000
weight_decay,0.14,99.010000
weight_decay,0.16,99.020000
weight_decay,0.18,98.950000
weight_decay,0.20,99.000000
weight_decay,0.22,98.940000
weight_decay,0.24,98.850000
weight_decay,0.26,98.920000
weight_decay,0.28,98.880000
weight_decay,0.30,98.830000
weight_decay,0.32,98.760000
weight_decay,0.34,98.660000
weight_decay,0.36,98.570000
weight_decay,0.38,98.440000
weight_decay,0.40,98.310000
weight_decay,0.42,98.220000
weight_decay,0.44,98.130000
weight_decay,0.46,98.030000
weight_decay,0.48,97.820000
weight_decay,0.50,97.720000
weight_decay,0.52,97.580000
weight_decay,0.54,97.340000
weight_decay,0.56,97.140000
weight_decay,0.58,96.820000
weight_decay,0.60,96.640000
weight_decay,0.62,96.370000
weight_decay,0.64,96.130000
weight_decay,0.66,95.940000
weight_decay,0.68,95.480000
weight_decay,0.70,94.960000
weight_decay,0.72,94.700000
weight_decay,0.74,94.330000
weight_decay,0.76,93.890000
weight_decay,0.78,93.160000
weight_decay,0.80,93.150000
weight_decay,0.82,92.560000
weight_decay,0.84,92.120000
weight_decay,0.86,91.740000
weight_decay,0.88,91.250000
weight_decay,0.90,90.850000
weight_decay,0.92,90.120000
weight_decay,0.94,89.890000
weight_decay,0.96,88.960000
weight_decay,0.98,88.610000
weight_decay,1.00,88.160000
mne_l2,0.00,99.070000
mne_l2,0.02,99.050000
mne_l2,0.04,99.020000
mne_l2,0.06,99.050000
mne_l2,0.08,99.100000
mne_l2,0.10,99.090000
mne_l2,0.12,99.070000
mne_l2,0.14,99.010000
mne_l2,0.16,99.060000
mne_l2,0.18,99.100000
mne_l2,0.20,98.970000
mne_l2,0.22,99.020000
mne_l2,0.24,99.000000
mne_l2,0.26,99.000000
mne_l2,0.28,99.070000
mne_l2,0.30,99.010000
mne_l2,0.32,98.990000
mne_l2,0.34,99.000000
mne_l2,0.36,98.970000
mne_l2,0.38,98.930000
mne_l2,0.40,98.850000
mne_l2,0.42,98.910000
mne_l2,0.44,98.980000
mne_l2,0.46,98.870000
mne_l2,0.48,98.780000
mne_l2,0.50,98.870000
mne_l2,0.52,98.910000
mne_l2,0.54,98.670000
mne_l2,0.56,98.800000
mne_l2,0.58,98.730000
mne_l2,0.60,98.630000
mne_l2,0.62,98.690000
mne_l2,0.64,98.570000
mne_l2,0.66,98.620000
mne_l2,0.68,98.480000
mne_l2,0.70,98.480000
mne_l2,0.72,98.420000
mne_l2,0.74,98.510000
mne_l2,0.76,98.130000
mne_l2,0.78,98.120000
mne_l2,0.80,98.060000
mne_l2,0.82,98.020000
mne_l2,0.84,97.830000
mne_l2,0.86,97.910000
mne_l2,0.88,97.910000
mne_l2,0.90,97.540000
mne_l2,0.92,97.550000
mne_l2,0.94,97.500000
mne_l2,0.96,97.410000
mne_l2,0.98,97.170000
mne_l2,1.00,97.120000
no_regularization,0.00,99.090000
no_regularization,0.02,99.090000
no_regularization,0.04,99.080000
no_regularization,0.06,99.070000
no_regularization,0.08,99.040000
no_regularization,0.10,98.980000
no_regularization,0.12,98.960000
no_regularization,0.14,98.880000
no_regularization,0.16,98.770000
no_regularization,0.18,98.640000
no_regularization,0.20,98.640000
no_regularization,0.22,98.530000
no_regularization,0.24,98.530000
no_regularization,0.26,98.450000
no_regularization,0.28,98.340000
no_regularization,0.30,98.330000
no_regularization,0.32,98.240000
no_regularization,0.34,98.290000
no_regularization,0.36,98.120000
no_regularization,0.38,98.010000
no_regularization,0.40,97.940000
no_regularization,0.42,97.740000
no_regularization,0.44,97.730000
