sigma,weight_decay,mne_l2,no_regularization,conv_mne_l2_no_detach
0.00,99.000000,99.070000,99.090000,98.970000
0.02,99.030000,99.050000,99.090000,98.910000
0.04,99.030000,99.020000,99.080000,98.980000
0.06,99.080000,99.050000,99.070000,98.940000
0.08,99.010000,99.100000,99.040000,98.860000
0.10,99.030000,99.090000,98.980000,98.940000
0.12,99.000000,99.070000,98.960000,98.940000
0.14,99.010000,99.010000,98.880000,98.930000
0.16,99.020000,99.060000,98.770000,98.880000
0.18,98.950000,99.100000,98.640000,98.930000
0.20,99.000000,98.970000,98.640000,98.850000
0.22,98.940000,99.020000,98.530000,98.880000
0.24,98.850000,99.000000,98.530000,98.950000
0.26,98.920000,99.000000,98.450000,98.880000
0.28,98.880000,99.070000,98.340000,98.770000
0.30,98.830000,99.010000,98.330000,98.820000
0.32,98.760000,98.990000,98.240000,98.830000
0.34,98.660000,99.000000,98.290000,98.840000
0.36,98.570000,98.970000,98.120000,98.830000
0.38,98.440000,98.930000,98.010000,98.880000
0.40,98.310000,98.850000,97.940000,98.850000
0.42,98.220000,98.910000,97.740000,98.840000
0.44,98.130000,98.980000,97.730000,98.860000
0.46,98.030000,98.870000,97.720000,98.930000
0.48,97.820000,98.780000,97.750000,98.810000
0.50,97.720000,98.870000,97.540000,98.740000
0.52,97.580000,98.910000,97.430000,98.820000
0.54,97.340000,98.670000,97.310000,98.710000
0.56,97.140000,98.800000,97.250000,98.710000
0.58,96.820000,98.730000,97.060000,98.820000
0.60,96.640000,98.630000,96.900000,98.780000
0.62,96.370000,98.690000,96.800000,98.880000
0.64,96.130000,98.570000,96.700000,98.740000
0.66,95.940000,98.620000,96.470000,98.760000
0.68,95.480000,98.480000,96.370000,98.780000
0.70,94.960000,98.480000,96.420000,98.790000
0.72,94.700000,98.420000,96.060000,98.710000
0.74,94.330000,98.510000,95.840000,98.740000
0.76,93.890000,98.130000,95.750000,98.810000
0.78,93.160000,98.120000,95.510000,98.820000
0.80,93.150000,98.060000,95.320000,98.850000
0.82,92.560000,98.020000,95.120000,98.710000
0.84,92.120000,97.830000,95.200000,98.670000
0.86,91.740000,97.910000,94.480000,98.770000
0.88,91.250000,97.910000,94.440000,98.660000
0.90,90.850000,97.540000,94.180000,98.780000
0.92,90.120000,97.550000,94.120000,98.750000
0.94,89.890000,97.500000,93.840000,98.600000
0.96,88.960000,97.410000,93.900000,98.680000
0.98,88.610000,97.170000,93.070000,98.470000
1.00,88.160000,97.120000,92.840000,98.570000
