method,sigma,acc
mne_l2,0.0,97.78
mne_l2,0.02,97.81
mne_l2,0.04,97.89
mne_l2,0.06,97.91
mne_l2,0.08,97.83
mne_l2,0.1,97.84
mne_l2,0.12,97.96
mne_l2,0.14,97.86
mne_l2,0.16,97.81
mne_l2,0.18,97.83
mne_l2,0.2,97.89
mne_l2,0.22,97.98
mne_l2,0.24,97.85
mne_l2,0.26,97.75
mne_l2,0.28,97.94
mne_l2,0.3,97.88
mne_l2,0.32,97.69
mne_l2,0.34,97.67
mne_l2,0.36,97.73
mne_l2,0.38,97.66
mne_l2,0.4,97.86
mne_l2,0.42,97.81
mne_l2,0.44,97.8
mne_l2,0.46,97.74
mne_l2,0.48,97.57
mne_l2,0.5,97.72
mne_l2,0.52,97.69
mne_l2,0.54,97.6
mne_l2,0.56,97.47
mne_l2,0.58,97.59
mne_l2,0.6,97.55
mne_l2,0.62,97.46
mne_l2,0.64,97.7
mne_l2,0.66,97.51
mne_l2,0.68,97.6
mne_l2,0.7,97.51
mne_l2,0.72,97.63
mne_l2,0.74,97.49
mne_l2,0.76,97.24
mne_l2,0.78,97.29
mne_l2,0.8,97.29
mne_l2,0.82,97.11
mne_l2,0.84,97.13
mne_l2,0.86,97.37
mne_l2,0.88,97.2
mne_l2,0.9,97.08
mne_l2,0.92,97.14
mne_l2,0.94,97.12
mne_l2,0.96,96.94
mne_l2,0.98,97.19
mne_l2,1.0,97.0
no_regularization,0.0,98.21
no_regularization,0.02,98.22
no_regularization,0.04,96.82
no_regularization,0.06,94.76
no_regularization,0.08,92.94
no_regularization,0.1,92.07
no_regularization,0.12,91.51
no_regularization,0.14,91.16
no_regularization,0.16,90.55
no_regularization,0.18,90.58
no_regularization,0.2,89.89
no_regularization,0.22,88.67
no_regularization,0.24,87.01
no_regularization,0.26,85.87
no_regularization,0.28,84.45
no_regularization,0.3,83.44
no_regularization,0.32,81.88
no_regularization,0.34,80.77
no_regularization,0.36,79.39
no_regularization,0.38,78.44
no_regularization,0.4,77.18
no_regularization,0.42,76.74
no_regularization,0.44,75.79
no_regularization,0.46,74.95
no_regularization,0.48,73.95
no_regularization,0.5,73.61
no_regularization,0.52,72.73
no_regularization,0.54,72.72
no_regularization,0.56,72.07
no_regularization,0.58,72.08
no_regularization,0.6,71.9
no_regularization,0.62,70.77
no_regularization,0.64,70.75
no_regularization,0.66,70.58
no_regularization,0.68,70.85
no_regularization,0.7,69.79
no_regularization,0.72,69.81
no_regularization,0.74,69.39
no_regularization,0.76,69.75
no_regularization,0.78,69.24
no_regularization,0.8,68.98
no_regularization,0.82,68.61
no_regularization,0.84,69.24
no_regularization,0.86,68.91
no_regularization,0.88,68.14
no_regularization,0.9,68.52
no_regularization,0.92,68.44
no_regularization,0.94,67.98
no_regularization,0.96,67.35
no_regularization,0.98,67.5
no_regularization,1.0,67.59
weight_decay,0.0,98.35
weight_decay,0.02,97.57
weight_decay,0.04,97.84
weight_decay,0.06,97.73
weight_decay,0.08,97.68
weight_decay,0.1,97.74
weight_decay,0.12,97.43
weight_decay,0.14,97.47
weight_decay,0.16,97.23
weight_decay,0.18,97.01
weight_decay,0.2,96.69
weight_decay,0.22,96.1
weight_decay,0.24,95.87
weight_decay,0.26,95.43
weight_decay,0.28,94.78
weight_decay,0.3,94.36
weight_decay,0.32,93.88
weight_decay,0.34,93.32
weight_decay,0.36,92.73
weight_decay,0.38,92.41
weight_decay,0.4,91.87
weight_decay,0.42,91.07
weight_decay,0.44,90.65
weight_decay,0.46,89.89
weight_decay,0.48,89.38
weight_decay,0.5,88.77
weight_decay,0.52,88.07
weight_decay,0.54,87.53
weight_decay,0.56,86.96
weight_decay,0.58,86.45
weight_decay,0.6,86.06
weight_decay,0.62,85.48
weight_decay,0.64,84.93
weight_decay,0.66,84.17
weight_decay,0.68,83.34
weight_decay,0.7,82.76
weight_decay,0.72,82.18
weight_decay,0.74,81.98
weight_decay,0.76,81.27
weight_decay,0.78,80.56
weight_decay,0.8,79.85
weight_decay,0.82,79.46
weight_decay,0.84,78.68
weight_decay,0.86,77.87
weight_decay,0.88,77.24
weight_decay,0.9,77.03
weight_decay,0.92,76.22
weight_decay,0.94,75.72
weight_decay,0.96,75.06
weight_decay,0.98,74.56
weight_decay,1.0,73.71
