method,sigma,acc
mne_l2,0.0,97.78
mne_l2,0.02,97.84
mne_l2,0.04,97.92
mne_l2,0.06,97.94
mne_l2,0.08,97.92
mne_l2,0.1,97.8
mne_l2,0.12,97.94
mne_l2,0.14,97.87
mne_l2,0.16,97.87
mne_l2,0.18,97.97
mne_l2,0.2,97.91
mne_l2,0.22,97.97
mne_l2,0.24,97.93
mne_l2,0.26,97.66
mne_l2,0.28,97.79
mne_l2,0.3,97.87
mne_l2,0.32,97.75
mne_l2,0.34,97.76
mne_l2,0.36,97.79
mne_l2,0.38,97.82
mne_l2,0.4,97.8
mne_l2,0.42,97.81
mne_l2,0.44,97.72
mne_l2,0.46,97.85
mne_l2,0.48,97.79
mne_l2,0.5,97.71
mne_l2,0.52,97.64
mne_l2,0.54,97.64
mne_l2,0.56,97.57
mne_l2,0.58,97.5
mne_l2,0.6,97.75
mne_l2,0.62,97.62
mne_l2,0.64,97.44
mne_l2,0.66,97.6
mne_l2,0.68,97.42
mne_l2,0.7,97.65
mne_l2,0.72,97.58
mne_l2,0.74,97.4
mne_l2,0.76,97.54
mne_l2,0.78,97.45
mne_l2,0.8,97.41
mne_l2,0.82,97.26
mne_l2,0.84,97.37
mne_l2,0.86,97.15
mne_l2,0.88,97.02
mne_l2,0.9,97.21
mne_l2,0.92,97.19
mne_l2,0.94,97.05
mne_l2,0.96,97.17
mne_l2,0.98,97.12
mne_l2,1.0,96.93
weight_decay,0.0,98.35
weight_decay,0.02,97.7
weight_decay,0.04,97.68
weight_decay,0.06,97.76
weight_decay,0.08,97.81
weight_decay,0.1,97.66
weight_decay,0.12,97.74
weight_decay,0.14,97.42
weight_decay,0.16,97.05
weight_decay,0.18,96.92
weight_decay,0.2,96.48
weight_decay,0.22,96.24
weight_decay,0.24,95.7
weight_decay,0.26,95.35
weight_decay,0.28,94.96
weight_decay,0.3,94.42
weight_decay,0.32,93.91
weight_decay,0.34,93.47
weight_decay,0.36,92.8
weight_decay,0.38,92.25
weight_decay,0.4,91.91
weight_decay,0.42,91.03
weight_decay,0.44,90.92
weight_decay,0.46,90.06
weight_decay,0.48,89.67
weight_decay,0.5,88.74
weight_decay,0.52,88.23
weight_decay,0.54,87.54
weight_decay,0.56,87.06
weight_decay,0.58,86.33
weight_decay,0.6,86.17
weight_decay,0.62,85.48
weight_decay,0.64,84.54
weight_decay,0.66,84.16
weight_decay,0.68,83.15
weight_decay,0.7,82.94
weight_decay,0.72,82.67
weight_decay,0.74,81.57
weight_decay,0.76,81.01
weight_decay,0.78,80.45
weight_decay,0.8,79.53
weight_decay,0.82,79.15
weight_decay,0.84,79.14
weight_decay,0.86,78.25
weight_decay,0.88,77.2
weight_decay,0.9,76.88
weight_decay,0.92,76.5
weight_decay,0.94,76.02
weight_decay,0.96,75.05
weight_decay,0.98,74.52
weight_decay,1.0,74.14
no_regularization,0.0,98.21
no_regularization,0.02,98.15
no_regularization,0.04,96.72
no_regularization,0.06,94.44
no_regularization,0.08,92.88
no_regularization,0.1,91.73
no_regularization,0.12,91.44
no_regularization,0.14,91.08
no_regularization,0.16,91.12
no_regularization,0.18,90.4
no_regularization,0.2,89.7
no_regularization,0.22,88.89
no_regularization,0.24,87.4
no_regularization,0.26,85.64
no_regularization,0.28,84.54
no_regularization,0.3,83.2
no_regularization,0.32,81.82
no_regularization,0.34,80.43
no_regularization,0.36,79.22
no_regularization,0.38,78.23
no_regularization,0.4,77.5
no_regularization,0.42,76.09
no_regularization,0.44,76.1
no_regularization,0.46,74.8
no_regularization,0.48,74.27
no_regularization,0.5,73.65
no_regularization,0.52,72.57
no_regularization,0.54,72.71
no_regularization,0.56,71.8
no_regularization,0.58,71.43
no_regularization,0.6,71.45
no_regularization,0.62,70.58
no_regularization,0.64,71.05
no_regularization,0.66,70.45
no_regularization,0.68,70.43
no_regularization,0.7,70.08
no_regularization,0.72,69.72
no_regularization,0.74,69.75
no_regularization,0.76,69.39
no_regularization,0.78,69.53
no_regularization,0.8,68.32
no_regularization,0.82,68.55
no_regularization,0.84,68.85
no_regularization,0.86,68.06
no_regularization,0.88,68.16
no_regularization,0.9,68.25
no_regularization,0.92,67.65
no_regularization,0.94,68.15
no_regularization,0.96,67.55
no_regularization,0.98,67.44
no_regularization,1.0,67.14
