method,sigma,acc
mne_l2,0.0,98.03
mne_l2,0.02,98.04
mne_l2,0.04,98.01
mne_l2,0.06,98.05
mne_l2,0.08,98.0
mne_l2,0.1,97.99
mne_l2,0.12,98.05
mne_l2,0.14,98.0
mne_l2,0.16,98.0
mne_l2,0.18,98.02
mne_l2,0.2,98.01
mne_l2,0.22,97.99
mne_l2,0.24,97.98
mne_l2,0.26,98.01
mne_l2,0.28,97.95
mne_l2,0.3,97.91
mne_l2,0.32,98.01
mne_l2,0.34,97.96
mne_l2,0.36,97.97
mne_l2,0.38,97.94
mne_l2,0.4,97.88
mne_l2,0.42,98.02
mne_l2,0.44,97.93
mne_l2,0.46,98.0
mne_l2,0.48,97.84
mne_l2,0.5,97.9
mne_l2,0.52,97.9
mne_l2,0.54,97.9
mne_l2,0.56,97.93
mne_l2,0.58,97.93
mne_l2,0.6,97.9
mne_l2,0.62,97.88
mne_l2,0.64,97.82
mne_l2,0.66,97.91
mne_l2,0.68,97.98
mne_l2,0.7,97.91
mne_l2,0.72,97.8
mne_l2,0.74,97.85
mne_l2,0.76,97.77
mne_l2,0.78,97.83
mne_l2,0.8,97.72
mne_l2,0.82,97.72
mne_l2,0.84,97.74
mne_l2,0.86,97.75
mne_l2,0.88,97.68
mne_l2,0.9,97.75
mne_l2,0.92,97.8
mne_l2,0.94,97.69
mne_l2,0.96,97.68
mne_l2,0.98,97.74
mne_l2,1.0,97.62
no_regularization,0.0,97.22
no_regularization,0.02,97.23
no_regularization,0.04,97.2
no_regularization,0.06,97.22
no_regularization,0.08,97.17
no_regularization,0.1,97.18
no_regularization,0.12,97.18
no_regularization,0.14,97.06
no_regularization,0.16,97.27
no_regularization,0.18,97.22
no_regularization,0.2,97.15
no_regularization,0.22,97.23
no_regularization,0.24,97.21
no_regularization,0.26,97.13
no_regularization,0.28,97.19
no_regularization,0.3,97.05
no_regularization,0.32,97.16
no_regularization,0.34,97.05
no_regularization,0.36,97.06
no_regularization,0.38,97.15
no_regularization,0.4,97.12
no_regularization,0.42,97.15
no_regularization,0.44,97.06
no_regularization,0.46,97.15
no_regularization,0.48,96.94
no_regularization,0.5,97.02
no_regularization,0.52,97.01
no_regularization,0.54,97.04
no_regularization,0.56,96.91
no_regularization,0.58,97.03
no_regularization,0.6,97.1
no_regularization,0.62,96.99
no_regularization,0.64,97.03
no_regularization,0.66,97.06
no_regularization,0.68,96.82
no_regularization,0.7,96.96
no_regularization,0.72,96.81
no_regularization,0.74,97.04
no_regularization,0.76,96.94
no_regularization,0.78,96.82
no_regularization,0.8,96.96
no_regularization,0.82,96.99
no_regularization,0.84,96.91
no_regularization,0.86,96.64
no_regularization,0.88,97.02
no_regularization,0.9,96.73
no_regularization,0.92,96.86
no_regularization,0.94,96.75
no_regularization,0.96,96.77
no_regularization,0.98,96.74
no_regularization,1.0,96.78
weight_decay,0.0,97.79
weight_decay,0.02,97.81
weight_decay,0.04,97.8
weight_decay,0.06,97.74
weight_decay,0.08,97.76
weight_decay,0.1,97.78
weight_decay,0.12,97.76
weight_decay,0.14,97.78
weight_decay,0.16,97.75
weight_decay,0.18,97.73
weight_decay,0.2,97.71
weight_decay,0.22,97.81
weight_decay,0.24,97.78
weight_decay,0.26,97.77
weight_decay,0.28,97.77
weight_decay,0.3,97.75
weight_decay,0.32,97.72
weight_decay,0.34,97.72
weight_decay,0.36,97.69
weight_decay,0.38,97.78
weight_decay,0.4,97.63
weight_decay,0.42,97.71
weight_decay,0.44,97.68
weight_decay,0.46,97.8
weight_decay,0.48,97.7
weight_decay,0.5,97.66
weight_decay,0.52,97.72
weight_decay,0.54,97.63
weight_decay,0.56,97.71
weight_decay,0.58,97.74
weight_decay,0.6,97.65
weight_decay,0.62,97.8
weight_decay,0.64,97.63
weight_decay,0.66,97.65
weight_decay,0.68,97.7
weight_decay,0.7,97.58
weight_decay,0.72,97.61
weight_decay,0.74,97.51
weight_decay,0.76,97.66
weight_decay,0.78,97.6
weight_decay,0.8,97.58
weight_decay,0.82,97.59
weight_decay,0.84,97.64
weight_decay,0.86,97.55
weight_decay,0.88,97.53
weight_decay,0.9,97.54
weight_decay,0.92,97.41
weight_decay,0.94,97.6
weight_decay,0.96,97.48
weight_decay,0.98,97.49
weight_decay,1.0,97.41
