method,sigma,acc
mne_l2,0.0,98.03
weight_decay,0.0,97.79
mne_l2,0.02,98.02
weight_decay,0.02,97.77
mne_l2,0.04,98.01
weight_decay,0.04,97.78
mne_l2,0.06,98.02
weight_decay,0.06,97.72
mne_l2,0.08,98.04
weight_decay,0.08,97.76
mne_l2,0.1,98.02
weight_decay,0.1,97.77
mne_l2,0.12,98.04
weight_decay,0.12,97.81
mne_l2,0.14,98.05
weight_decay,0.14,97.8
mne_l2,0.16,98.01
weight_decay,0.16,97.79
mne_l2,0.18,98.0
weight_decay,0.18,97.7
mne_l2,0.2,98.03
weight_decay,0.2,97.78
mne_l2,0.22,97.92
weight_decay,0.22,97.64
mne_l2,0.24,97.99
weight_decay,0.24,97.76
mne_l2,0.26,97.96
weight_decay,0.26,97.76
mne_l2,0.28,97.98
weight_decay,0.28,97.67
mne_l2,0.3,97.96
weight_decay,0.3,97.67
mne_l2,0.32,98.0
weight_decay,0.32,97.73
mne_l2,0.34,97.99
weight_decay,0.34,97.68
mne_l2,0.36,97.94
weight_decay,0.36,97.74
mne_l2,0.38,97.94
weight_decay,0.38,97.68
mne_l2,0.4,97.98
weight_decay,0.4,97.76
mne_l2,0.42,97.93
weight_decay,0.42,97.73
mne_l2,0.44,97.97
weight_decay,0.44,97.63
mne_l2,0.46,97.89
weight_decay,0.46,97.66
mne_l2,0.48,97.93
weight_decay,0.48,97.74
mne_l2,0.5,97.88
weight_decay,0.5,97.65
mne_l2,0.52,98.04
weight_decay,0.52,97.67
mne_l2,0.54,97.9
weight_decay,0.54,97.67
mne_l2,0.56,97.89
weight_decay,0.56,97.67
mne_l2,0.58,97.88
weight_decay,0.58,97.63
mne_l2,0.6,97.76
weight_decay,0.6,97.64
mne_l2,0.62,97.86
weight_decay,0.62,97.73
mne_l2,0.64,97.85
weight_decay,0.64,97.74
mne_l2,0.66,97.75
weight_decay,0.66,97.58
mne_l2,0.68,97.89
weight_decay,0.68,97.56
mne_l2,0.7,97.92
weight_decay,0.7,97.57
mne_l2,0.72,97.83
weight_decay,0.72,97.63
mne_l2,0.74,97.69
weight_decay,0.74,97.62
mne_l2,0.76,97.82
weight_decay,0.76,97.63
mne_l2,0.78,97.85
weight_decay,0.78,97.68
mne_l2,0.8,97.83
weight_decay,0.8,97.53
mne_l2,0.82,97.92
weight_decay,0.82,97.59
mne_l2,0.84,97.83
weight_decay,0.84,97.57
mne_l2,0.86,97.77
weight_decay,0.86,97.5
mne_l2,0.88,97.74
weight_decay,0.88,97.5
mne_l2,0.9,97.72
weight_decay,0.9,97.56
mne_l2,0.92,97.71
weight_decay,0.92,97.45
mne_l2,0.94,97.56
weight_decay,0.94,97.52
mne_l2,0.96,97.7
weight_decay,0.96,97.57
mne_l2,0.98,97.7
weight_decay,0.98,97.53
mne_l2,1.0,97.66
weight_decay,1.0,97.63
