arch,hidden_size,regularizer,L,T,if_mode,checkpoint_name,checkpoint,sigma_eff,var_eff,p_e,acc,equal_count,total_count,lambda_if1,h_tolerance,noise_variance,noise_sigma,repeats,max_batches
fc2_h16,16,weight_decay,2,16,normal,fc2_h16_L[2]_ablation_wd_l2_fc2_h16.pth,mnist-checkpoints/fc2_h16_L[2]_ablation_wd_l2_fc2_h16.pth,0.409268094047992,0.167500372805676,0.98162841796875,94.530000,48249,49152,4.42552089691162,1.10638022422791,0.5,0.7071067811865476,6,4
fc2_h16,16,weight_decay,4,16,normal,fc2_h16_L[4]_ablation_wd_l4_fc2_h16.pth,mnist-checkpoints/fc2_h16_L[4]_ablation_wd_l4_fc2_h16.pth,0.409901852501054,0.168019528683796,0.855082194010417,95.030000,42029,49152,4.90685844421387,0.613357305526733,0.5,0.7071067811865476,6,4
fc2_h16,16,weight_decay,8,16,normal,fc2_h16_L[8]_ablation_wd_l8_fc2_h16.pth,mnist-checkpoints/fc2_h16_L[8]_ablation_wd_l8_fc2_h16.pth,0.414139164163984,0.171511247294443,0.67010498046875,95.000000,32937,49152,5.59824132919312,0.34989008307457,0.5,0.7071067811865476,6,4
fc2_h16,16,weight_decay,16,16,normal,fc2_h16_L[16]_ablation_wd_l16_fc2_h16.pth,mnist-checkpoints/fc2_h16_L[16]_ablation_wd_l16_fc2_h16.pth,0.408199504054615,0.166626835110433,0.5745849609375,94.250000,28242,49152,5.3405556678772,0.166892364621162,0.5,0.7071067811865476,6,4
fc2_h16,16,weight_decay,32,16,normal,fc2_h16_L[32]_ablation_wd_l32_fc2_h16.pth,mnist-checkpoints/fc2_h16_L[32]_ablation_wd_l32_fc2_h16.pth,0.39245670531505,0.154022265546744,0.466532389322917,94.500000,22931,49152,5.91864442825317,0.0924788191914558,0.5,0.7071067811865476,6,4
fc2_h32,32,weight_decay,2,16,normal,fc2_h32_L[2]_ablation_wd_l2_fc2_h32.pth,mnist-checkpoints/fc2_h32_L[2]_ablation_wd_l2_fc2_h32.pth,0.35090773403014,0.123136237802167,0.99493408203125,96.860000,97806,98304,4.54111480712891,1.13527870178223,0.5,0.7071067811865476,6,4
fc2_h32,32,weight_decay,4,16,normal,fc2_h32_L[4]_ablation_wd_l4_fc2_h32.pth,mnist-checkpoints/fc2_h32_L[4]_ablation_wd_l4_fc2_h32.pth,0.306534174181402,0.0939631999410739,0.945200602213542,97.080000,92917,98304,5.02144432067871,0.627680540084839,0.5,0.7071067811865476,6,4
fc2_h32,32,weight_decay,8,16,normal,fc2_h32_L[8]_ablation_wd_l8_fc2_h32.pth,mnist-checkpoints/fc2_h32_L[8]_ablation_wd_l8_fc2_h32.pth,0.298445698262758,0.0890698348115455,0.765838623046875,97.050000,75285,98304,5.44176721572876,0.340110450983047,0.5,0.7071067811865476,6,4
fc2_h32,32,weight_decay,16,16,normal,fc2_h32_L[16]_ablation_wd_l16_fc2_h32.pth,mnist-checkpoints/fc2_h32_L[16]_ablation_wd_l16_fc2_h32.pth,0.305382306192028,0.0932583529351614,0.6153564453125,96.590000,60492,98304,5.70008230209351,0.178127571940422,0.5,0.7071067811865476,6,4
fc2_h32,32,weight_decay,32,16,normal,fc2_h32_L[32]_ablation_wd_l32_fc2_h32.pth,mnist-checkpoints/fc2_h32_L[32]_ablation_wd_l32_fc2_h32.pth,0.300297974863971,0.0901788737074019,0.488525390625,96.650000,48024,98304,5.56917905807495,0.0870184227824211,0.5,0.7071067811865476,6,4
