method,sigma,acc
mne_l2,0.0,98.08
mne_l2,0.02,98.06
mne_l2,0.04,98.08
mne_l2,0.06,98.06
mne_l2,0.08,98.05
mne_l2,0.1,98.09
mne_l2,0.12,98.02
mne_l2,0.14,98.01
mne_l2,0.16,98.12
mne_l2,0.18,98.07
mne_l2,0.2,98.02
mne_l2,0.22,98.05
mne_l2,0.24,98.04
mne_l2,0.26,98.05
mne_l2,0.28,98.07
mne_l2,0.3,98.06
mne_l2,0.32,98.04
mne_l2,0.34,98.03
mne_l2,0.36,98.02
mne_l2,0.38,97.97
mne_l2,0.4,98.03
mne_l2,0.42,98.04
mne_l2,0.44,98.01
mne_l2,0.46,98.0
mne_l2,0.48,98.09
mne_l2,0.5,98.02
mne_l2,0.52,98.15
mne_l2,0.54,97.96
mne_l2,0.56,98.02
mne_l2,0.58,97.97
mne_l2,0.6,98.01
mne_l2,0.62,98.0
mne_l2,0.64,97.95
mne_l2,0.66,97.86
mne_l2,0.68,98.04
mne_l2,0.7,97.94
mne_l2,0.72,97.98
mne_l2,0.74,97.91
mne_l2,0.76,97.89
mne_l2,0.78,98.02
mne_l2,0.8,98.01
mne_l2,0.82,98.01
mne_l2,0.84,97.93
mne_l2,0.86,98.01
mne_l2,0.88,97.93
mne_l2,0.9,97.86
mne_l2,0.92,97.84
mne_l2,0.94,97.79
mne_l2,0.96,97.82
mne_l2,0.98,97.84
mne_l2,1.0,97.93
no_regularization,0.0,97.2
no_regularization,0.02,97.18
no_regularization,0.04,97.16
no_regularization,0.06,97.21
no_regularization,0.08,97.24
no_regularization,0.1,97.21
no_regularization,0.12,97.21
no_regularization,0.14,97.18
no_regularization,0.16,97.06
no_regularization,0.18,97.06
no_regularization,0.2,97.14
no_regularization,0.22,97.15
no_regularization,0.24,97.06
no_regularization,0.26,97.08
no_regularization,0.28,97.22
no_regularization,0.3,97.22
no_regularization,0.32,97.1
no_regularization,0.34,97.14
no_regularization,0.36,96.95
no_regularization,0.38,96.98
no_regularization,0.4,97.12
no_regularization,0.42,96.98
no_regularization,0.44,96.9
no_regularization,0.46,97.15
no_regularization,0.48,97.01
no_regularization,0.5,96.97
no_regularization,0.52,97.06
no_regularization,0.54,96.93
no_regularization,0.56,97.03
no_regularization,0.58,97.02
no_regularization,0.6,97.06
no_regularization,0.62,96.99
no_regularization,0.64,97.1
no_regularization,0.66,96.89
no_regularization,0.68,96.67
no_regularization,0.7,96.96
no_regularization,0.72,97.0
no_regularization,0.74,96.99
no_regularization,0.76,96.88
no_regularization,0.78,96.87
no_regularization,0.8,96.9
no_regularization,0.82,96.84
no_regularization,0.84,96.89
no_regularization,0.86,97.08
no_regularization,0.88,96.79
no_regularization,0.9,96.81
no_regularization,0.92,96.85
no_regularization,0.94,96.68
no_regularization,0.96,96.68
no_regularization,0.98,96.65
no_regularization,1.0,96.85
weight_decay,0.0,97.94
weight_decay,0.02,97.93
weight_decay,0.04,97.91
weight_decay,0.06,97.94
weight_decay,0.08,97.94
weight_decay,0.1,97.89
weight_decay,0.12,97.94
weight_decay,0.14,97.97
weight_decay,0.16,97.92
weight_decay,0.18,97.89
weight_decay,0.2,97.86
weight_decay,0.22,97.94
weight_decay,0.24,97.93
weight_decay,0.26,97.96
weight_decay,0.28,97.9
weight_decay,0.3,97.86
weight_decay,0.32,97.99
weight_decay,0.34,97.9
weight_decay,0.36,97.83
weight_decay,0.38,97.96
weight_decay,0.4,97.94
weight_decay,0.42,97.85
weight_decay,0.44,97.82
weight_decay,0.46,97.9
weight_decay,0.48,97.94
weight_decay,0.5,97.9
weight_decay,0.52,97.83
weight_decay,0.54,97.8
weight_decay,0.56,97.9
weight_decay,0.58,97.89
weight_decay,0.6,97.79
weight_decay,0.62,97.73
weight_decay,0.64,97.86
weight_decay,0.66,97.81
weight_decay,0.68,97.81
weight_decay,0.7,97.8
weight_decay,0.72,97.81
weight_decay,0.74,97.84
weight_decay,0.76,97.86
weight_decay,0.78,97.85
weight_decay,0.8,97.77
weight_decay,0.82,97.8
weight_decay,0.84,97.74
weight_decay,0.86,97.8
weight_decay,0.88,97.81
weight_decay,0.9,97.76
weight_decay,0.92,97.79
weight_decay,0.94,97.7
weight_decay,0.96,97.74
weight_decay,0.98,97.65
weight_decay,1.0,97.55
