arch,regularizer,seed,L,T,sigma,acc,checkpoint,matrix_csv
fc2_h64,mne_l2,40,16,16,0.0,96.65,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.1,96.63,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.2,96.61,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.3,96.73,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.4,96.52,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.5,96.56,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.6,96.55,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.7,96.57,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.8,96.53,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h64,mne_l2,40,16,16,0.9,96.44,mnist-checkpoints/fc2_h64_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_40.csv
