model,regularizer,sigma,acc_mean,acc_std,n_seeds
fc2_h16,mne_l2,0.0,92.760000,0.000000,5
fc2_h16,mne_l2,0.1,92.736000,0.069857,5
fc2_h16,mne_l2,0.2,92.756000,0.105972,5
fc2_h16,mne_l2,0.3,92.696000,0.076354,5
fc2_h16,mne_l2,0.4,92.632000,0.038987,5
fc2_h16,mne_l2,0.5,92.680000,0.092195,5
fc2_h16,mne_l2,0.6,92.510000,0.088600,5
fc2_h16,mne_l2,0.7,92.480000,0.091924,5
fc2_h16,mne_l2,0.8,92.368000,0.114761,5
fc2_h16,mne_l2,0.9,92.396000,0.096073,5
fc2_h16,mne_l2,1.0,92.292000,0.091761,5
fc2_h16,no_regularization,0.0,93.650000,0.000000,5
fc2_h16,no_regularization,0.1,93.354000,0.077006,5
fc2_h16,no_regularization,0.2,92.752000,0.194859,5
fc2_h16,no_regularization,0.3,91.708000,0.320734,5
fc2_h16,no_regularization,0.4,90.040000,0.241661,5
fc2_h16,no_regularization,0.5,87.602000,0.166042,5
fc2_h16,no_regularization,0.6,84.704000,0.342972,5
fc2_h16,no_regularization,0.7,81.780000,0.393573,5
fc2_h16,no_regularization,0.8,78.424000,0.474479,5
fc2_h16,no_regularization,0.9,74.982000,0.429849,5
fc2_h16,no_regularization,1.0,71.826000,0.205499,5
fc2_h16,weight_decay,0.0,94.240000,0.000000,5
fc2_h16,weight_decay,0.1,94.158000,0.086429,5
fc2_h16,weight_decay,0.2,94.028000,0.049699,5
fc2_h16,weight_decay,0.3,93.998000,0.089833,5
fc2_h16,weight_decay,0.4,93.838000,0.109636,5
fc2_h16,weight_decay,0.5,93.762000,0.106160,5
fc2_h16,weight_decay,0.6,93.496000,0.147750,5
fc2_h16,weight_decay,0.7,93.314000,0.091269,5
fc2_h16,weight_decay,0.8,93.010000,0.128258,5
fc2_h16,weight_decay,0.9,92.624000,0.241826,5
fc2_h16,weight_decay,1.0,92.354000,0.142583,5
fc2_h8,mne_l2,0.0,80.190000,0.000000,5
fc2_h8,mne_l2,0.1,80.198000,0.097314,5
fc2_h8,mne_l2,0.2,80.148000,0.060166,5
fc2_h8,mne_l2,0.3,80.062000,0.108950,5
fc2_h8,mne_l2,0.4,80.006000,0.109909,5
fc2_h8,mne_l2,0.5,79.844000,0.127004,5
fc2_h8,mne_l2,0.6,79.864000,0.165015,5
fc2_h8,mne_l2,0.7,79.696000,0.139392,5
fc2_h8,mne_l2,0.8,79.642000,0.110770,5
fc2_h8,mne_l2,0.9,79.714000,0.193080,5
fc2_h8,mne_l2,1.0,79.378000,0.177398,5
fc2_h8,no_regularization,0.0,70.580000,0.000000,5
fc2_h8,no_regularization,0.1,68.788000,0.258592,5
fc2_h8,no_regularization,0.2,64.442000,0.283143,5
fc2_h8,no_regularization,0.3,58.886000,0.462418,5
fc2_h8,no_regularization,0.4,53.428000,0.192146,5
fc2_h8,no_regularization,0.5,48.172000,0.379763,5
fc2_h8,no_regularization,0.6,43.992000,0.244990,5
fc2_h8,no_regularization,0.7,40.522000,0.145327,5
fc2_h8,no_regularization,0.8,37.306000,0.383575,5
fc2_h8,no_regularization,0.9,34.346000,0.181604,5
fc2_h8,no_regularization,1.0,32.250000,0.358678,5
fc2_h8,weight_decay,0.0,82.010000,0.000000,5
fc2_h8,weight_decay,0.1,81.772000,0.118195,5
fc2_h8,weight_decay,0.2,81.402000,0.030332,5
fc2_h8,weight_decay,0.3,80.928000,0.103537,5
fc2_h8,weight_decay,0.4,80.092000,0.250839,5
fc2_h8,weight_decay,0.5,79.066000,0.284921,5
fc2_h8,weight_decay,0.6,77.588000,0.238579,5
fc2_h8,weight_decay,0.7,76.616000,0.348468,5
fc2_h8,weight_decay,0.8,75.002000,0.213939,5
fc2_h8,weight_decay,0.9,72.910000,0.414005,5
fc2_h8,weight_decay,1.0,71.264000,0.262450,5
