model,regularizer,seed,sigma,acc,matrix_csv
fc2_h8,mne_l2,40,0.0,80.19,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.1,80.23,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.2,80.06,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.3,79.97,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.4,79.98,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.5,79.93,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.6,79.92,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.7,79.67,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.8,79.59,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,0.9,79.47,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,1.0,79.61,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,41,0.0,80.19,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.1,80.08,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.2,80.19,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.3,80.15,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.4,79.88,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.5,79.64,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.6,79.81,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.7,79.64,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.8,79.54,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.9,79.7,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,1.0,79.3,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
