arch,regularizer,sigma,acc_mean,acc_std,n_seeds
fc2_h16,mne_l2,0.0,92.314000,1.337191,5
fc2_h16,mne_l2,0.1,92.288000,1.336682,5
fc2_h16,mne_l2,0.2,92.248000,1.374980,5
fc2_h16,mne_l2,0.3,92.206000,1.425703,5
fc2_h16,mne_l2,0.4,92.180000,1.364734,5
fc2_h16,mne_l2,0.5,92.140000,1.346830,5
fc2_h16,mne_l2,0.6,92.004000,1.453523,5
fc2_h16,mne_l2,0.7,92.088000,1.399614,5
fc2_h16,mne_l2,0.8,91.982000,1.398041,5
fc2_h16,mne_l2,0.9,91.968000,1.400703,5
fc2_h16,mne_l2,1.0,91.850000,1.396012,5
fc2_h16,no_regularization,0.0,93.254000,0.833745,5
fc2_h16,no_regularization,0.1,92.992000,1.015293,5
fc2_h16,no_regularization,0.2,92.226000,1.366686,5
fc2_h16,no_regularization,0.3,90.896000,2.303124,5
fc2_h16,no_regularization,0.4,89.050000,3.582722,5
fc2_h16,no_regularization,0.5,86.252000,5.428367,5
fc2_h16,no_regularization,0.6,83.464000,6.681450,5
fc2_h16,no_regularization,0.7,80.308000,8.241309,5
fc2_h16,no_regularization,0.8,76.932000,9.729479,5
fc2_h16,no_regularization,0.9,73.804000,10.449870,5
fc2_h16,no_regularization,1.0,70.600000,10.829975,5
fc2_h16,weight_decay,0.0,94.014000,1.116235,5
fc2_h16,weight_decay,0.1,93.978000,1.177994,5
fc2_h16,weight_decay,0.2,93.802000,1.185504,5
fc2_h16,weight_decay,0.3,93.708000,1.226772,5
fc2_h16,weight_decay,0.4,93.558000,1.187822,5
fc2_h16,weight_decay,0.5,93.320000,1.409344,5
fc2_h16,weight_decay,0.6,93.176000,1.554198,5
fc2_h16,weight_decay,0.7,92.964000,1.458520,5
fc2_h16,weight_decay,0.8,92.618000,1.637825,5
fc2_h16,weight_decay,0.9,92.188000,1.846421,5
fc2_h16,weight_decay,1.0,91.894000,2.025742,5
fc2_h8,mne_l2,0.0,81.602000,8.467507,5
fc2_h8,mne_l2,0.1,81.562000,8.502210,5
fc2_h8,mne_l2,0.2,81.574000,8.424846,5
fc2_h8,mne_l2,0.3,81.458000,8.511018,5
fc2_h8,mne_l2,0.4,81.480000,8.476541,5
fc2_h8,mne_l2,0.5,81.366000,8.573163,5
fc2_h8,mne_l2,0.6,81.278000,8.508224,5
fc2_h8,mne_l2,0.7,81.352000,8.556142,5
fc2_h8,mne_l2,0.8,81.184000,8.439848,5
fc2_h8,mne_l2,0.9,81.068000,8.582606,5
fc2_h8,mne_l2,1.0,80.962000,8.629459,5
fc2_h8,no_regularization,0.0,80.764000,9.615837,5
fc2_h8,no_regularization,0.1,79.702000,10.065179,5
fc2_h8,no_regularization,0.2,76.630000,11.266925,5
fc2_h8,no_regularization,0.3,72.226000,12.696926,5
fc2_h8,no_regularization,0.4,67.198000,13.059559,5
fc2_h8,no_regularization,0.5,62.066000,12.935344,5
fc2_h8,no_regularization,0.6,56.860000,12.639638,5
fc2_h8,no_regularization,0.7,52.658000,12.140254,5
fc2_h8,no_regularization,0.8,48.404000,11.440871,5
fc2_h8,no_regularization,0.9,45.136000,10.469371,5
fc2_h8,no_regularization,1.0,42.064000,9.621067,5
fc2_h8,weight_decay,0.0,84.878000,3.058156,5
fc2_h8,weight_decay,0.1,84.758000,3.088134,5
fc2_h8,weight_decay,0.2,84.438000,3.106665,5
fc2_h8,weight_decay,0.3,84.010000,3.387167,5
fc2_h8,weight_decay,0.4,83.432000,3.540871,5
fc2_h8,weight_decay,0.5,82.598000,3.693991,5
fc2_h8,weight_decay,0.6,81.514000,4.116440,5
fc2_h8,weight_decay,0.7,80.532000,4.587425,5
fc2_h8,weight_decay,0.8,78.794000,4.840013,5
fc2_h8,weight_decay,0.9,77.164000,5.216376,5
fc2_h8,weight_decay,1.0,75.670000,5.166628,5
