arch,regularizer,sigma,acc_mean,acc_std,n_seeds
fc2_h32,mne_l2,0.0,95.204000,0.255597,5
fc2_h32,mne_l2,0.1,95.182000,0.252527,5
fc2_h32,mne_l2,0.2,95.118000,0.279946,5
fc2_h32,mne_l2,0.3,95.132000,0.226870,5
fc2_h32,mne_l2,0.4,95.124000,0.244602,5
fc2_h32,mne_l2,0.5,95.058000,0.248234,5
fc2_h32,mne_l2,0.6,95.070000,0.261151,5
fc2_h32,mne_l2,0.7,95.052000,0.272342,5
fc2_h32,mne_l2,0.8,94.938000,0.295584,5
fc2_h32,mne_l2,0.9,94.894000,0.342023,5
fc2_h32,mne_l2,1.0,94.944000,0.341877,5
fc2_h32,no_regularization,0.0,95.152000,0.361345,5
fc2_h32,no_regularization,0.1,95.094000,0.308107,5
fc2_h32,no_regularization,0.2,94.950000,0.286793,5
fc2_h32,no_regularization,0.3,94.808000,0.206204,5
fc2_h32,no_regularization,0.4,94.504000,0.213495,5
fc2_h32,no_regularization,0.5,94.118000,0.268738,5
fc2_h32,no_regularization,0.6,93.540000,0.381379,5
fc2_h32,no_regularization,0.7,93.094000,0.550300,5
fc2_h32,no_regularization,0.8,92.338000,0.632076,5
fc2_h32,no_regularization,0.9,91.444000,1.024954,5
fc2_h32,no_regularization,1.0,90.568000,1.310275,5
fc2_h32,weight_decay,0.0,96.752000,0.165741,5
fc2_h32,weight_decay,0.1,96.746000,0.174585,5
fc2_h32,weight_decay,0.2,96.636000,0.170235,5
fc2_h32,weight_decay,0.3,96.602000,0.190971,5
fc2_h32,weight_decay,0.4,96.530000,0.181384,5
fc2_h32,weight_decay,0.5,96.448000,0.251734,5
fc2_h32,weight_decay,0.6,96.450000,0.226164,5
fc2_h32,weight_decay,0.7,96.384000,0.223226,5
fc2_h32,weight_decay,0.8,96.210000,0.238432,5
fc2_h32,weight_decay,0.9,96.074000,0.281833,5
fc2_h32,weight_decay,1.0,96.026000,0.290224,5
