arch,regularizer,seed,L,T,sigma,acc,checkpoint,matrix_csv
fc2_h32,mne_l2,40,16,16,0.0,95.12,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.1,95.11,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.2,95.05,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.3,95.06,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.4,94.97,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.5,94.92,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.6,95.0,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.7,94.94,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.8,94.87,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,0.9,94.71,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,40,16,16,1.0,94.87,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,mne_l2,41,16,16,0.0,95.13,mnist-checkpoints/fc2_h32_L[16]_strict_seed41_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h32,mne_l2,41,16,16,0.1,95.08,mnist-checkpoints/fc2_h32_L[16]_strict_seed41_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h32,mne_l2,41,16,16,0.2,95.06,mnist-checkpoints/fc2_h32_L[16]_strict_seed41_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h32,mne_l2,41,16,16,0.3,95.02,mnist-checkpoints/fc2_h32_L[16]_strict_seed41_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
