arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h4,4,mne_l2,0.0,66.514000,18.811561,5
fc3_h4,4,mne_l2,0.1,66.466000,18.857837,5
fc3_h4,4,mne_l2,0.2,66.368000,18.793397,5
fc3_h4,4,mne_l2,0.3,66.310000,18.789758,5
fc3_h4,4,mne_l2,0.4,66.322000,18.930147,5
fc3_h4,4,mne_l2,0.5,66.224000,18.963431,5
fc3_h4,4,mne_l2,0.6,65.912000,19.144949,5
fc3_h4,4,mne_l2,0.7,65.858000,19.251516,5
fc3_h4,4,mne_l2,0.8,65.538000,19.483400,5
fc3_h4,4,mne_l2,0.9,65.228000,19.323899,5
fc3_h4,4,mne_l2,1.0,65.192000,19.569211,5
fc3_h4,4,no_regularization,0.0,60.490000,19.228368,5
fc3_h4,4,no_regularization,0.1,55.718000,21.760188,5
fc3_h4,4,no_regularization,0.2,49.650000,22.227278,5
fc3_h4,4,no_regularization,0.3,44.650000,20.707152,5
fc3_h4,4,no_regularization,0.4,40.420000,18.780993,5
fc3_h4,4,no_regularization,0.5,36.784000,16.649887,5
fc3_h4,4,no_regularization,0.6,33.744000,14.364873,5
fc3_h4,4,no_regularization,0.7,31.488000,12.563054,5
fc3_h4,4,no_regularization,0.8,29.522000,11.122364,5
fc3_h4,4,no_regularization,0.9,27.828000,9.825074,5
fc3_h4,4,no_regularization,1.0,25.998000,8.342753,5
fc3_h4,4,weight_decay,0.0,66.798000,16.163480,5
fc3_h4,4,weight_decay,0.1,63.768000,18.876718,5
fc3_h4,4,weight_decay,0.2,58.560000,22.185597,5
fc3_h4,4,weight_decay,0.3,53.792000,23.757822,5
fc3_h4,4,weight_decay,0.4,49.816000,23.881749,5
fc3_h4,4,weight_decay,0.5,45.706000,23.215246,5
fc3_h4,4,weight_decay,0.6,42.578000,21.665156,5
fc3_h4,4,weight_decay,0.7,40.266000,20.889158,5
fc3_h4,4,weight_decay,0.8,37.420000,19.639892,5
fc3_h4,4,weight_decay,0.9,35.282000,18.062714,5
fc3_h4,4,weight_decay,1.0,33.102000,17.327864,5
fc3_h8,8,mne_l2,0.0,81.400000,11.279980,5
fc3_h8,8,mne_l2,0.1,81.456000,11.298992,5
fc3_h8,8,mne_l2,0.2,81.294000,11.388956,5
fc3_h8,8,mne_l2,0.3,81.374000,11.315237,5
fc3_h8,8,mne_l2,0.4,81.306000,11.486102,5
fc3_h8,8,mne_l2,0.5,81.224000,11.394169,5
fc3_h8,8,mne_l2,0.6,81.070000,11.514741,5
fc3_h8,8,mne_l2,0.7,80.738000,11.818205,5
fc3_h8,8,mne_l2,0.8,80.670000,11.730497,5
fc3_h8,8,mne_l2,0.9,80.484000,11.912801,5
fc3_h8,8,mne_l2,1.0,80.344000,12.121288,5
fc3_h8,8,no_regularization,0.0,63.382000,24.271386,5
fc3_h8,8,no_regularization,0.1,58.732000,24.086798,5
