arch,hidden_size,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
fc3_h4,4,mne_l2,40,16,16,normal,0.0,86.3,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.1,86.31,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.2,86.17,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.3,86.01,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.4,85.99,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.5,86.13,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.6,86.16,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.7,86.11,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.8,85.92,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,normal,0.9,85.54,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_40.csv
