arch,hidden_size,regularizer,sigma,deriv_mean,deriv_std,n_seeds
fc3_h4,4,mne_l2,0.0,-0.360000,0.923580,5
fc3_h4,4,mne_l2,0.1,-0.290000,0.350714,5
fc3_h4,4,mne_l2,0.2,-0.620000,0.476445,5
fc3_h4,4,mne_l2,0.3,-0.370000,0.850441,5
fc3_h4,4,mne_l2,0.4,-0.710000,0.763544,5
fc3_h4,4,mne_l2,0.5,-2.350000,0.518411,5
fc3_h4,4,mne_l2,0.6,-1.930000,1.718502,5
fc3_h4,4,mne_l2,0.7,-1.550000,1.275735,5
fc3_h4,4,mne_l2,0.8,-2.590000,0.782144,5
fc3_h4,4,mne_l2,0.9,-1.690000,1.493067,5
fc3_h4,4,mne_l2,1.0,-0.440000,1.353883,5
fc3_h4,4,weight_decay,0.0,-26.220000,26.290721,5
fc3_h4,4,weight_decay,0.1,-35.750000,27.549841,5
fc3_h4,4,weight_decay,0.2,-42.200000,25.681048,5
fc3_h4,4,weight_decay,0.3,-37.290000,15.706901,5
fc3_h4,4,weight_decay,0.4,-34.470000,12.562971,5
fc3_h4,4,weight_decay,0.5,-33.150000,10.032759,5
fc3_h4,4,weight_decay,0.6,-28.660000,9.199076,5
fc3_h4,4,weight_decay,0.7,-26.340000,10.939573,5
fc3_h4,4,weight_decay,0.8,-24.510000,13.559379,5
fc3_h4,4,weight_decay,0.9,-18.600000,9.637427,5
fc3_h4,4,weight_decay,1.0,-16.360000,8.526605,5
fc3_h4,4,no_regularization,0.0,-39.080000,25.306462,5
fc3_h4,4,no_regularization,0.1,-48.290000,23.609622,5
fc3_h4,4,no_regularization,0.2,-52.430000,9.893975,5
fc3_h4,4,no_regularization,0.3,-47.040000,12.644139,5
fc3_h4,4,no_regularization,0.4,-42.890000,19.299009,5
fc3_h4,4,no_regularization,0.5,-33.440000,18.745680,5
fc3_h4,4,no_regularization,0.6,-26.640000,16.451611,5
fc3_h4,4,no_regularization,0.7,-22.840000,13.610814,5
fc3_h4,4,no_regularization,0.8,-18.940000,14.862680,5
fc3_h4,4,no_regularization,0.9,-17.070000,13.749618,5
fc3_h4,4,no_regularization,1.0,-16.480000,10.967999,5
fc3_h8,8,mne_l2,0.0,-1.100000,1.083974,5
fc3_h8,8,mne_l2,0.1,-0.730000,0.325192,5
fc3_h8,8,mne_l2,0.2,-0.420000,0.910769,5
fc3_h8,8,mne_l2,0.3,-0.350000,0.811634,5
fc3_h8,8,mne_l2,0.4,-0.900000,0.507445,5
fc3_h8,8,mne_l2,0.5,-0.670000,0.929112,5
fc3_h8,8,mne_l2,0.6,-0.890000,1.381756,5
fc3_h8,8,mne_l2,0.7,-2.290000,0.980689,5
fc3_h8,8,mne_l2,0.8,-1.040000,0.896800,5
fc3_h8,8,mne_l2,0.9,-1.340000,1.458338,5
fc3_h8,8,mne_l2,1.0,-3.160000,4.121044,5
fc3_h8,8,weight_decay,0.0,-9.100000,15.675937,5
fc3_h8,8,weight_decay,0.1,-13.590000,20.112167,5
fc3_h8,8,weight_decay,0.2,-18.360000,21.037270,5
fc3_h8,8,weight_decay,0.3,-19.410000,13.954587,5
fc3_h8,8,weight_decay,0.4,-20.550000,9.060905,5
fc3_h8,8,weight_decay,0.5,-23.190000,10.252585,5
fc3_h8,8,weight_decay,0.6,-23.700000,10.407509,5
fc3_h8,8,weight_decay,0.7,-23.410000,8.390426,5
fc3_h8,8,weight_decay,0.8,-25.220000,12.172027,5
fc3_h8,8,weight_decay,0.9,-22.750000,10.394710,5
fc3_h8,8,weight_decay,1.0,-19.940000,4.344307,5
fc3_h8,8,no_regularization,0.0,-43.500000,33.227699,5
fc3_h8,8,no_regularization,0.1,-53.410000,30.964706,5
fc3_h8,8,no_regularization,0.2,-55.550000,26.413207,5
fc3_h8,8,no_regularization,0.3,-45.240000,21.358675,5
fc3_h8,8,no_regularization,0.4,-40.580000,18.003701,5
fc3_h8,8,no_regularization,0.5,-33.650000,15.967428,5
fc3_h8,8,no_regularization,0.6,-26.940000,13.526890,5
fc3_h8,8,no_regularization,0.7,-22.770000,14.255069,5
fc3_h8,8,no_regularization,0.8,-20.260000,14.578169,5
fc3_h8,8,no_regularization,0.9,-19.260000,12.182693,5
fc3_h8,8,no_regularization,1.0,-18.500000,11.140691,5
fc3_h16,16,mne_l2,0.0,-0.500000,0.781025,5
fc3_h16,16,mne_l2,0.1,-0.070000,0.261247,5
fc3_h16,16,mne_l2,0.2,-0.640000,0.686841,5
fc3_h16,16,mne_l2,0.3,-0.700000,0.419821,5
fc3_h16,16,mne_l2,0.4,-0.620000,0.590127,5
fc3_h16,16,mne_l2,0.5,-0.690000,0.350714,5
fc3_h16,16,mne_l2,0.6,-0.480000,0.488109,5
fc3_h16,16,mne_l2,0.7,-0.770000,0.577278,5
fc3_h16,16,mne_l2,0.8,-0.950000,0.889522,5
