arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h4,4,mne_l2,0.00,67.074000,18.154577,5
fc3_h4,4,mne_l2,0.05,67.070000,18.180282,5
fc3_h4,4,mne_l2,0.10,67.014000,18.188110,5
fc3_h4,4,mne_l2,0.15,67.052000,18.120775,5
fc3_h4,4,mne_l2,0.20,66.952000,18.348659,5
fc3_h4,4,mne_l2,0.25,66.886000,18.343170,5
fc3_h4,4,mne_l2,0.30,66.652000,18.430662,5
fc3_h4,4,mne_l2,0.35,66.464000,18.650612,5
fc3_h4,4,mne_l2,0.40,65.916000,18.956097,5
fc3_h4,4,mne_l2,0.45,65.440000,19.207570,5
fc3_h4,4,mne_l2,0.50,64.790000,19.968466,5
fc3_h4,4,mne_l2,0.55,63.908000,20.433156,5
fc3_h4,4,mne_l2,0.60,62.780000,20.902375,5
fc3_h4,4,mne_l2,0.65,61.518000,21.258569,5
fc3_h4,4,mne_l2,0.70,60.070000,21.462380,5
fc3_h4,4,mne_l2,0.75,58.450000,21.624619,5
fc3_h4,4,mne_l2,0.80,56.386000,21.449681,5
fc3_h4,4,mne_l2,0.85,54.556000,21.150294,5
fc3_h4,4,mne_l2,0.90,52.172000,20.689787,5
fc3_h4,4,mne_l2,0.95,49.876000,20.063400,5
fc3_h4,4,mne_l2,1.00,47.574000,19.353131,5
fc3_h4,4,weight_decay,0.00,67.164000,15.606838,5
fc3_h4,4,weight_decay,0.05,67.070000,15.645346,5
fc3_h4,4,weight_decay,0.10,67.182000,15.605322,5
fc3_h4,4,weight_decay,0.15,66.994000,15.656916,5
fc3_h4,4,weight_decay,0.20,66.336000,16.239893,5
fc3_h4,4,weight_decay,0.25,63.668000,18.291921,5
fc3_h4,4,weight_decay,0.30,58.252000,21.301892,5
fc3_h4,4,weight_decay,0.35,50.962000,23.034890,5
fc3_h4,4,weight_decay,0.40,43.078000,22.384403,5
fc3_h4,4,weight_decay,0.45,36.248000,19.880959,5
fc3_h4,4,weight_decay,0.50,30.044000,16.430871,5
fc3_h4,4,weight_decay,0.55,25.704000,13.731338,5
fc3_h4,4,weight_decay,0.60,22.346000,11.659375,5
fc3_h4,4,weight_decay,0.65,20.298000,10.605500,5
fc3_h4,4,weight_decay,0.70,18.860000,10.021452,5
fc3_h4,4,weight_decay,0.75,17.592000,9.194701,5
fc3_h4,4,weight_decay,0.80,16.584000,8.333602,5
fc3_h4,4,weight_decay,0.85,15.846000,7.866745,5
fc3_h4,4,weight_decay,0.90,15.346000,7.369744,5
fc3_h4,4,weight_decay,0.95,14.874000,7.029810,5
fc3_h4,4,weight_decay,1.00,14.340000,6.702854,5
fc3_h4,4,no_regularization,0.00,62.560000,17.409878,5
fc3_h4,4,no_regularization,0.05,62.418000,17.389013,5
fc3_h4,4,no_regularization,0.10,62.228000,17.284152,5
fc3_h4,4,no_regularization,0.15,62.244000,17.384945,5
fc3_h4,4,no_regularization,0.20,61.464000,17.709080,5
fc3_h4,4,no_regularization,0.25,58.212000,19.229761,5
fc3_h4,4,no_regularization,0.30,52.590000,20.153150,5
fc3_h4,4,no_regularization,0.35,45.766000,18.797928,5
fc3_h4,4,no_regularization,0.40,39.574000,16.911734,5
fc3_h4,4,no_regularization,0.45,34.516000,14.594193,5
fc3_h4,4,no_regularization,0.50,30.154000,12.283816,5
fc3_h4,4,no_regularization,0.55,26.964000,10.935160,5
fc3_h4,4,no_regularization,0.60,24.594000,9.430468,5
fc3_h4,4,no_regularization,0.65,22.464000,8.108556,5
fc3_h4,4,no_regularization,0.70,20.980000,7.499063,5
fc3_h4,4,no_regularization,0.75,19.684000,6.624080,5
fc3_h4,4,no_regularization,0.80,18.820000,5.892529,5
fc3_h4,4,no_regularization,0.85,18.252000,5.929188,5
fc3_h4,4,no_regularization,0.90,17.418000,5.363000,5
fc3_h4,4,no_regularization,0.95,16.564000,4.753065,5
fc3_h4,4,no_regularization,1.00,16.370000,4.514964,5
fc3_h8,8,mne_l2,0.00,81.394000,11.241551,5
fc3_h8,8,mne_l2,0.05,81.266000,11.245647,5
fc3_h8,8,mne_l2,0.10,81.320000,11.211742,5
fc3_h8,8,mne_l2,0.15,81.280000,11.226124,5
fc3_h8,8,mne_l2,0.20,81.248000,11.265643,5
fc3_h8,8,mne_l2,0.25,81.272000,11.200606,5
fc3_h8,8,mne_l2,0.30,81.156000,11.317017,5
fc3_h8,8,mne_l2,0.35,80.864000,11.269618,5
fc3_h8,8,mne_l2,0.40,80.756000,11.285902,5
fc3_h8,8,mne_l2,0.45,80.326000,11.634618,5
fc3_h8,8,mne_l2,0.50,79.616000,11.687279,5
fc3_h8,8,mne_l2,0.55,78.850000,11.965935,5
fc3_h8,8,mne_l2,0.60,77.582000,12.291321,5
fc3_h8,8,mne_l2,0.65,76.314000,12.534567,5
fc3_h8,8,mne_l2,0.70,74.168000,13.209236,5
fc3_h8,8,mne_l2,0.75,72.162000,13.499384,5
fc3_h8,8,mne_l2,0.80,69.486000,14.074661,5
fc3_h8,8,mne_l2,0.85,67.040000,14.354867,5
fc3_h8,8,mne_l2,0.90,64.034000,14.303142,5
fc3_h8,8,mne_l2,0.95,60.868000,14.089953,5
fc3_h8,8,mne_l2,1.00,57.558000,13.787381,5
fc3_h8,8,weight_decay,0.00,77.412000,18.445058,5
fc3_h8,8,weight_decay,0.05,77.342000,18.534630,5
fc3_h8,8,weight_decay,0.10,77.334000,18.552247,5
fc3_h8,8,weight_decay,0.15,77.328000,18.540927,5
fc3_h8,8,weight_decay,0.20,77.124000,18.771049,5
fc3_h8,8,weight_decay,0.25,76.094000,20.025543,5
fc3_h8,8,weight_decay,0.30,73.602000,20.970930,5
fc3_h8,8,weight_decay,0.35,68.380000,21.538207,5
fc3_h8,8,weight_decay,0.40,60.662000,21.394693,5
fc3_h8,8,weight_decay,0.45,52.570000,21.245357,5
fc3_h8,8,weight_decay,0.50,45.982000,21.304860,5
fc3_h8,8,weight_decay,0.55,40.074000,20.429289,5
fc3_h8,8,weight_decay,0.60,36.032000,18.581209,5
fc3_h8,8,weight_decay,0.65,32.726000,16.855326,5
fc3_h8,8,weight_decay,0.70,30.244000,15.800814,5
fc3_h8,8,weight_decay,0.75,28.378000,14.327733,5
fc3_h8,8,weight_decay,0.80,26.840000,13.781212,5
fc3_h8,8,weight_decay,0.85,25.528000,13.004952,5
fc3_h8,8,weight_decay,0.90,24.356000,12.355255,5
fc3_h8,8,weight_decay,0.95,23.378000,11.992232,5
fc3_h8,8,weight_decay,1.00,22.398000,11.310511,5
fc3_h8,8,no_regularization,0.00,68.308000,19.405178,5
fc3_h8,8,no_regularization,0.05,68.224000,19.365690,5
fc3_h8,8,no_regularization,0.10,68.074000,19.413394,5
fc3_h8,8,no_regularization,0.15,67.890000,19.535666,5
fc3_h8,8,no_regularization,0.20,67.164000,19.673098,5
fc3_h8,8,no_regularization,0.25,63.624000,21.154922,5
fc3_h8,8,no_regularization,0.30,56.710000,23.508046,5
fc3_h8,8,no_regularization,0.35,49.374000,25.187259,5
fc3_h8,8,no_regularization,0.40,42.524000,25.135083,5
fc3_h8,8,no_regularization,0.45,36.436000,23.125223,5
fc3_h8,8,no_regularization,0.50,31.408000,19.980804,5
fc3_h8,8,no_regularization,0.55,27.674000,17.542797,5
fc3_h8,8,no_regularization,0.60,24.434000,14.951476,5
fc3_h8,8,no_regularization,0.65,22.022000,12.697664,5
fc3_h8,8,no_regularization,0.70,20.202000,11.074919,5
fc3_h8,8,no_regularization,0.75,18.462000,9.483379,5
fc3_h8,8,no_regularization,0.80,17.454000,8.317742,5
fc3_h8,8,no_regularization,0.85,16.596000,7.424755,5
fc3_h8,8,no_regularization,0.90,15.858000,6.798880,5
fc3_h8,8,no_regularization,0.95,15.386000,6.185817,5
fc3_h8,8,no_regularization,1.00,14.764000,5.697270,5
fc3_h16,16,mne_l2,0.00,93.444000,1.224614,5
fc3_h16,16,mne_l2,0.05,93.354000,1.254245,5
fc3_h16,16,mne_l2,0.10,93.346000,1.277901,5
fc3_h16,16,mne_l2,0.15,93.272000,1.166178,5
fc3_h16,16,mne_l2,0.20,93.214000,1.250412,5
fc3_h16,16,mne_l2,0.25,93.214000,1.304159,5
fc3_h16,16,mne_l2,0.30,93.204000,1.233787,5
fc3_h16,16,mne_l2,0.35,93.116000,1.298780,5
fc3_h16,16,mne_l2,0.40,92.830000,1.321817,5
fc3_h16,16,mne_l2,0.45,92.598000,1.385792,5
fc3_h16,16,mne_l2,0.50,92.220000,1.307249,5
fc3_h16,16,mne_l2,0.55,91.856000,1.283561,5
fc3_h16,16,mne_l2,0.60,90.876000,1.375765,5
fc3_h16,16,mne_l2,0.65,89.980000,1.403745,5
fc3_h16,16,mne_l2,0.70,88.656000,1.611856,5
fc3_h16,16,mne_l2,0.75,86.762000,1.683945,5
fc3_h16,16,mne_l2,0.80,84.682000,1.650430,5
fc3_h16,16,mne_l2,0.85,82.158000,2.304207,5
fc3_h16,16,mne_l2,0.90,79.594000,2.211906,5
fc3_h16,16,mne_l2,0.95,76.762000,2.735904,5
fc3_h16,16,mne_l2,1.00,73.930000,2.807036,5
