arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h4,4,mne_l2,0.0,67.074000,18.154577,5
fc3_h4,4,mne_l2,0.1,67.038000,18.206417,5
fc3_h4,4,mne_l2,0.2,67.016000,18.178286,5
fc3_h4,4,mne_l2,0.3,66.914000,18.222384,5
fc3_h4,4,mne_l2,0.4,66.942000,18.331191,5
fc3_h4,4,mne_l2,0.5,66.772000,18.333389,5
fc3_h4,4,mne_l2,0.6,66.472000,18.313972,5
fc3_h4,4,mne_l2,0.7,66.386000,18.674948,5
fc3_h4,4,mne_l2,0.8,66.162000,18.556148,5
fc3_h4,4,mne_l2,0.9,65.868000,18.623227,5
fc3_h4,4,mne_l2,1.0,65.824000,18.718875,5
fc3_h4,4,weight_decay,0.0,67.164000,15.606838,5
fc3_h4,4,weight_decay,0.1,64.542000,17.783702,5
fc3_h4,4,weight_decay,0.2,60.014000,20.827432,5
fc3_h4,4,weight_decay,0.3,56.102000,22.696147,5
fc3_h4,4,weight_decay,0.4,52.556000,22.864896,5
fc3_h4,4,weight_decay,0.5,49.208000,22.568725,5
fc3_h4,4,weight_decay,0.6,45.926000,21.876334,5
fc3_h4,4,weight_decay,0.7,43.476000,21.441683,5
fc3_h4,4,weight_decay,0.8,40.658000,19.917618,5
fc3_h4,4,weight_decay,0.9,38.574000,18.801309,5
fc3_h4,4,weight_decay,1.0,36.938000,18.227884,5
fc3_h4,4,no_regularization,0.0,62.560000,17.409878,5
fc3_h4,4,no_regularization,0.1,58.652000,19.512434,5
fc3_h4,4,no_regularization,0.2,52.902000,21.365523,5
fc3_h4,4,no_regularization,0.3,48.166000,20.663437,5
fc3_h4,4,no_regularization,0.4,43.494000,19.121464,5
fc3_h4,4,no_regularization,0.5,39.588000,17.491723,5
fc3_h4,4,no_regularization,0.6,36.806000,15.603552,5
fc3_h4,4,no_regularization,0.7,34.260000,14.299112,5
fc3_h4,4,no_regularization,0.8,32.238000,12.995712,5
fc3_h4,4,no_regularization,0.9,30.472000,11.445948,5
fc3_h4,4,no_regularization,1.0,28.824000,10.377947,5
fc3_h8,8,mne_l2,0.0,81.394000,11.241551,5
fc3_h8,8,mne_l2,0.1,81.284000,11.264357,5
fc3_h8,8,mne_l2,0.2,81.248000,11.278274,5
fc3_h8,8,mne_l2,0.3,81.200000,11.316053,5
fc3_h8,8,mne_l2,0.4,81.178000,11.302038,5
fc3_h8,8,mne_l2,0.5,81.020000,11.377240,5
fc3_h8,8,mne_l2,0.6,81.044000,11.476948,5
fc3_h8,8,mne_l2,0.7,80.842000,11.623372,5
fc3_h8,8,mne_l2,0.8,80.586000,11.577296,5
fc3_h8,8,mne_l2,0.9,80.634000,11.504835,5
fc3_h8,8,mne_l2,1.0,80.318000,11.854357,5
fc3_h8,8,weight_decay,0.0,77.424000,18.498959,5
fc3_h8,8,weight_decay,0.1,76.514000,20.028127,5
fc3_h8,8,weight_decay,0.2,74.706000,22.485822,5
fc3_h8,8,weight_decay,0.3,72.842000,24.227017,5
fc3_h8,8,weight_decay,0.4,70.824000,25.175609,5
fc3_h8,8,weight_decay,0.5,68.732000,25.303871,5
fc3_h8,8,weight_decay,0.6,66.186000,25.440568,5
fc3_h8,8,weight_decay,0.7,63.992000,25.359177,5
