method,sigma,acc
weight_decay,0.00,94.770000
weight_decay,0.02,94.370000
weight_decay,0.04,85.890000
weight_decay,0.06,80.300000
weight_decay,0.08,77.610000
weight_decay,0.10,76.060000
weight_decay,0.12,74.390000
weight_decay,0.14,72.360000
weight_decay,0.16,70.260000
weight_decay,0.18,68.350000
weight_decay,0.20,66.770000
weight_decay,0.22,65.100000
weight_decay,0.24,64.410000
weight_decay,0.26,62.900000
weight_decay,0.28,61.880000
weight_decay,0.30,61.520000
weight_decay,0.32,60.480000
weight_decay,0.34,59.920000
weight_decay,0.36,59.350000
weight_decay,0.38,58.980000
weight_decay,0.40,58.650000
weight_decay,0.42,58.150000
weight_decay,0.44,57.660000
weight_decay,0.46,57.530000
weight_decay,0.48,57.500000
weight_decay,0.50,57.070000
weight_decay,0.52,56.630000
weight_decay,0.54,56.650000
weight_decay,0.56,56.510000
weight_decay,0.58,56.180000
weight_decay,0.60,56.140000
weight_decay,0.62,56.030000
weight_decay,0.64,55.670000
weight_decay,0.66,55.730000
weight_decay,0.68,55.650000
weight_decay,0.70,55.330000
weight_decay,0.72,55.450000
weight_decay,0.74,55.480000
weight_decay,0.76,55.440000
weight_decay,0.78,54.930000
weight_decay,0.80,54.760000
weight_decay,0.82,54.930000
weight_decay,0.84,54.640000
weight_decay,0.86,54.710000
weight_decay,0.88,54.380000
weight_decay,0.90,54.170000
weight_decay,0.92,54.280000
weight_decay,0.94,54.230000
weight_decay,0.96,53.860000
weight_decay,0.98,53.810000
weight_decay,1.00,53.810000
mne_l2,0.00,95.740000
mne_l2,0.02,95.690000
mne_l2,0.04,95.640000
mne_l2,0.06,95.800000
mne_l2,0.08,95.680000
mne_l2,0.10,95.770000
mne_l2,0.12,95.190000
mne_l2,0.14,95.360000
mne_l2,0.16,95.110000
mne_l2,0.18,94.900000
mne_l2,0.20,94.830000
mne_l2,0.22,94.320000
mne_l2,0.24,94.210000
mne_l2,0.26,94.270000
mne_l2,0.28,93.870000
mne_l2,0.30,93.890000
mne_l2,0.32,93.740000
mne_l2,0.34,93.680000
mne_l2,0.36,93.670000
mne_l2,0.38,93.650000
mne_l2,0.40,93.190000
mne_l2,0.42,93.320000
mne_l2,0.44,93.270000
mne_l2,0.46,93.110000
mne_l2,0.48,92.890000
mne_l2,0.50,92.770000
mne_l2,0.52,92.910000
mne_l2,0.54,92.730000
mne_l2,0.56,92.640000
