sigma,weight_decay,mne_l2,no_regularization,conv_mne_l2
0.00,94.770000,95.740000,93.440000,93.010000
0.02,94.370000,95.690000,93.420000,93.070000
0.04,85.890000,95.640000,93.320000,93.030000
0.06,80.300000,95.800000,92.520000,93.200000
0.08,77.610000,95.680000,91.030000,93.050000
0.10,76.060000,95.770000,89.730000,92.990000
0.12,74.390000,95.190000,88.670000,93.010000
0.14,72.360000,95.360000,88.460000,93.030000
0.16,70.260000,95.110000,87.680000,92.850000
0.18,68.350000,94.900000,88.040000,92.860000
0.20,66.770000,94.830000,87.550000,92.980000
0.22,65.100000,94.320000,87.800000,93.000000
0.24,64.410000,94.210000,87.350000,92.950000
0.26,62.900000,94.270000,86.630000,92.930000
0.28,61.880000,93.870000,86.280000,92.830000
0.30,61.520000,93.890000,86.320000,92.920000
0.32,60.480000,93.740000,85.390000,92.550000
0.34,59.920000,93.680000,84.250000,92.830000
0.36,59.350000,93.670000,83.900000,92.830000
0.38,58.980000,93.650000,83.160000,92.620000
0.40,58.650000,93.190000,82.720000,92.830000
0.42,58.150000,93.320000,81.570000,92.610000
0.44,57.660000,93.270000,80.970000,92.520000
0.46,57.530000,93.110000,80.660000,92.630000
0.48,57.500000,92.890000,79.820000,92.670000
0.50,57.070000,92.770000,79.270000,92.690000
0.52,56.630000,92.910000,78.910000,92.700000
0.54,56.650000,92.730000,78.140000,92.670000
0.56,56.510000,92.640000,77.390000,92.480000
0.58,56.180000,92.390000,76.790000,92.580000
0.60,56.140000,92.380000,77.010000,92.450000
0.62,56.030000,92.220000,76.050000,92.600000
0.64,55.670000,92.000000,75.580000,92.250000
0.66,55.730000,91.920000,75.400000,92.530000
0.68,55.650000,91.910000,75.230000,92.440000
0.70,55.330000,91.740000,74.590000,92.460000
0.72,55.450000,91.560000,74.070000,92.230000
0.74,55.480000,91.320000,73.840000,92.440000
0.76,55.440000,91.180000,73.010000,92.090000
0.78,54.930000,90.890000,72.630000,92.150000
0.80,54.760000,90.740000,72.650000,92.210000
0.82,54.930000,90.620000,71.740000,92.080000
0.84,54.640000,90.330000,71.250000,92.070000
0.86,54.710000,90.360000,71.240000,92.180000
0.88,54.380000,89.470000,70.800000,92.090000
0.90,54.170000,89.720000,70.770000,91.850000
0.92,54.280000,89.490000,70.210000,91.880000
0.94,54.230000,88.590000,69.260000,91.600000
0.96,53.860000,88.480000,68.990000,91.800000
0.98,53.810000,88.330000,68.720000,91.800000
1.00,53.810000,88.100000,68.760000,91.750000
