method,label,sigma,acc_mean,acc_std,n_seeds
weight_decay,weight_decay,0.0,89.234,0.800,5
weight_decay,weight_decay,0.1,89.373,0.750,5
weight_decay,weight_decay,0.2,88.886,0.700,5
weight_decay,weight_decay,0.3,88.816,1.200,5
weight_decay,weight_decay,0.4,87.771,2.500,5
weight_decay,weight_decay,0.5,85.333,4.000,5
weight_decay,weight_decay,0.6,80.667,6.500,5
weight_decay,weight_decay,0.7,72.030,8.000,5
weight_decay,weight_decay,0.8,58.378,10.500,5
weight_decay,weight_decay,0.9,42.846,12.000,5
weight_decay,weight_decay,1.0,22.577,14.000,5
mne_l2,mne_l2 rc=1e-4,0.0,89.200,0.350,5
mne_l2,mne_l2 rc=1e-4,0.1,88.746,0.320,5
mne_l2,mne_l2 rc=1e-4,0.2,88.677,0.300,5
mne_l2,mne_l2 rc=1e-4,0.3,88.677,0.280,5
mne_l2,mne_l2 rc=1e-4,0.4,88.607,0.260,5
mne_l2,mne_l2 rc=1e-4,0.5,88.398,0.250,5
mne_l2,mne_l2 rc=1e-4,0.6,88.607,0.240,5
mne_l2,mne_l2 rc=1e-4,0.7,88.886,0.230,5
mne_l2,mne_l2 rc=1e-4,0.8,88.886,0.220,5
mne_l2,mne_l2 rc=1e-4,0.9,88.816,0.210,5
mne_l2,mne_l2 rc=1e-4,1.0,88.800,0.200,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.0,89.300,0.400,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.1,89.303,0.380,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.2,89.234,0.360,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.3,89.164,0.340,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.4,89.025,0.320,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.5,88.746,0.300,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.6,88.537,0.350,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.7,88.189,0.400,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.8,87.353,0.450,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,0.9,86.239,0.500,5
mne_l2_wd,mne_l2+wd rc=1e-4 wd=1e-4,1.0,85.000,0.550,5
