arch,c1,c2,size_label,regularizer,sigma,acc_mean,acc_std,n_seeds
cnn2_c8_c16,8,16,c8c16,mne_l2,0.00,95.020000,1.436750,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.05,95.012000,1.451472,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.10,95.052000,1.400703,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.15,94.980000,1.438054,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.20,94.968000,1.422013,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.25,94.868000,1.391930,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.30,94.878000,1.420306,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.35,94.524000,1.527786,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.40,94.500000,1.639131,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.45,94.262000,1.778080,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.50,94.280000,1.831761,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.55,94.218000,2.028329,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.60,94.032000,2.054901,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.65,93.984000,2.177666,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.70,94.008000,2.099886,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.75,93.752000,2.049517,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.80,93.952000,2.074023,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.85,93.832000,2.136953,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.90,93.756000,2.150240,5
cnn2_c8_c16,8,16,c8c16,mne_l2,0.95,93.800000,2.137475,5
cnn2_c8_c16,8,16,c8c16,mne_l2,1.00,93.676000,2.220390,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.00,98.940000,0.106066,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.05,98.934000,0.088769,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.10,98.878000,0.082280,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.15,98.878000,0.086718,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.20,98.796000,0.042778,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.25,98.730000,0.050498,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.30,98.578000,0.158965,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.35,98.344000,0.207437,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.40,98.118000,0.272617,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.45,97.822000,0.480333,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.50,97.354000,0.715353,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.55,96.844000,0.916804,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.60,96.192000,1.229215,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.65,95.458000,1.702886,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.70,94.632000,2.130920,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.75,93.664000,2.571085,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.80,92.746000,3.125777,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.85,91.532000,3.641781,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.90,90.342000,4.169583,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.95,89.196000,4.573754,5
cnn2_c8_c16,8,16,c8c16,weight_decay,1.00,87.812000,5.327379,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.00,98.774000,0.122188,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.05,98.586000,0.385655,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.10,98.560000,0.315278,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.15,98.480000,0.434454,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.20,98.444000,0.574178,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.25,98.274000,0.815708,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.30,98.048000,1.205952,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.35,97.734000,1.588814,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.40,97.524000,2.037874,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.45,97.026000,2.749105,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.50,96.736000,3.340416,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.55,96.428000,3.797759,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.60,95.952000,4.408454,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.65,95.546000,4.936454,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.70,95.070000,5.572894,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.75,94.782000,5.896479,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.80,94.326000,6.225820,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.85,93.880000,6.812492,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.90,93.290000,7.078347,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.95,92.912000,7.102899,5
cnn2_c8_c16,8,16,c8c16,no_regularization,1.00,92.316000,7.332328,5
