folder,checkpoint_name,L,T,if_mode,noise_variance,noise_sigma,noise_type,repeats,max_batches,sigma_metric,sigma_time_reduce,sigma_eff,sigma_var_eff,p_metric,p_time_reduce,P_E,p_equal_count,p_total_count
mnist-checkpoints,cnn2_L[16].pth,16,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.47226908398374345,0.2230380876868441,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5218640801046981,2513765,4816896
mnist-checkpoints,cnn2_L[16].pth,16,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.3368703083554823,1.7872222213624822,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7866341727120536,3789135,4816896
mnist-checkpoints,cnn2_L[16].pth,16,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.33354058556011934,0.11124932221578729,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.4541437058221726,2187563,4816896
mnist-checkpoints,cnn2_L[16].pth,16,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.9451698744410441,0.893346091550899,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7043803727545705,3392927,4816896
mnist-checkpoints,cnn2_L[16].pth,16,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.6671318920158731,0.44506496134467854,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6047479538690477,2913008,4816896
mnist-checkpoints,cnn2_L[2].pth,2,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.461869051499675,0.2133230207332094,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7807837246226615,3760954,4816896
mnist-checkpoints,cnn2_L[2].pth,2,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.3051652196968548,1.7034562507063395,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8984756988732994,4327864,4816896
mnist-checkpoints,cnn2_L[2].pth,2,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.32622488332599936,0.10642267450106188,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7660235969387755,3689856,4816896
mnist-checkpoints,cnn2_L[2].pth,2,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.9222805084630104,0.8506013362907889,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8512072919988308,4100177,4816896
mnist-checkpoints,cnn2_L[2].pth,2,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.652692584484015,0.4260076098404231,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8101897985756803,3902600,4816896
mnist-checkpoints,cnn2_L[32].pth,32,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.488351125391559,0.2384868216712022,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5909448740433674,2846520,4816896
mnist-checkpoints,cnn2_L[32].pth,32,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.3814404179442328,1.9083776283299367,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7629338478555485,3674973,4816896
mnist-checkpoints,cnn2_L[32].pth,32,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.3455062826776397,0.11937459136972108,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5638236740008503,2715880,4816896
mnist-checkpoints,cnn2_L[32].pth,32,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.9756820100685918,0.9519553847714876,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7129778180803571,3434340,4816896
mnist-checkpoints,cnn2_L[32].pth,32,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.6915241358930283,0.47820563052259946,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.640269169191114,3084110,4816896
mnist-checkpoints,cnn2_L[4].pth,4,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.45920161615117766,0.21086612427585352,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.3894030512595663,1875714,4816896
mnist-checkpoints,cnn2_L[4].pth,4,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.2981246542056017,1.685127617856413,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7011156147029124,3377201,4816896
mnist-checkpoints,cnn2_L[4].pth,4,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.32433287756338003,0.10519181546854246,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.32105426399075254,1546485,4816896
mnist-checkpoints,cnn2_L[4].pth,4,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.9173708731151469,0.8415693188400468,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5430870834661989,2615994,4816896
mnist-checkpoints,cnn2_L[4].pth,4,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.6495252116963445,0.42188300062918116,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.4829516767644558,2326328,4816896
mnist-checkpoints,cnn2_L[8].pth,8,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.4499277756562603,0.2024350033069901,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.46362346208014454,2233226,4816896
mnist-checkpoints,cnn2_L[8].pth,8,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.273935310269627,1.6229111747517704,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8278152569621599,3987500,4816896
