folder,checkpoint,checkpoint_name,L,T,if_mode,metric_position,time_reduce,sigma_eff,var_eff,rms_delta,p_metric,p_rule,p_e,equal_count,total_count,lambda_if1,h_tolerance,noise_variance,noise_sigma,noise_type,repeats,max_batches,acc
mnist-checkpoints,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,16,2,normal,fc1_output_pre_if1,mean_over_time,8.20779270379268,67.3678610684323,8.20779743155677,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.740309397379557,582203,786432,144.811920166016,4.52537250518799,0.5,0.7071067811865476,gaussian,6,4,95.850000
mnist-checkpoints,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,16,4,normal,fc1_output_pre_if1,mean_over_time,5.79838918944804,33.6213171923079,5.79838941179471,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.777322133382161,611311,786432,144.811920166016,4.52537250518799,0.5,0.7071067811865476,gaussian,6,4,97.430000
mnist-checkpoints,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,16,8,normal,fc1_output_pre_if1,mean_over_time,4.10790434913323,16.8748781416277,4.10791465426214,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.824234008789062,648204,786432,144.811920166016,4.52537250518799,0.5,0.7071067811865476,gaussian,6,4,97.900000
mnist-checkpoints,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,16,16,normal,fc1_output_pre_if1,mean_over_time,2.89541072504391,8.38340326669929,2.89541243963793,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.880311330159505,692305,786432,144.811920166016,4.52537250518799,0.5,0.7071067811865476,gaussian,6,4,98.020000
mnist-checkpoints,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,16,32,normal,fc1_output_pre_if1,mean_over_time,2.05421564810588,4.21980192892305,2.05422060826673,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.935024261474609,735333,786432,144.811920166016,4.52537250518799,0.5,0.7071067811865476,gaussian,6,4,97.990000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,2,normal,fc1_output_pre_if1,mean_over_time,9.70762995272029,94.2380792989521,9.70764151688206,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.014031728108724,11035,786432,1.10887098312378,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.200000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,4,normal,fc1_output_pre_if1,mean_over_time,6.85617319245905,47.0071108449941,6.8561941547374,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.0202458699544271,15922,786432,1.10887098312378,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.340000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,8,normal,fc1_output_pre_if1,mean_over_time,4.85178738069283,23.5398407874502,4.85178738787964,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.0284881591796875,22404,786432,1.10887098312378,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.320000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,16,normal,fc1_output_pre_if1,mean_over_time,3.44503550142135,11.8682696060534,3.4450448898912,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.0401496887207031,31575,786432,1.10887098312378,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.340000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,32,normal,fc1_output_pre_if1,mean_over_time,2.43376744049148,5.92322395439643,2.43376789725159,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.0569725036621094,44805,786432,1.10887098312378,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.300000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth,fc2_L[16]_ablation_wd_l16_fc2.pth,16,2,normal,fc1_output_pre_if1,mean_over_time,0.288063235645992,0.0829804277308382,0.288063281725542,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.867151896158854,681956,786432,4.8781533241272,0.152442291378975,0.5,0.7071067811865476,gaussian,6,4,96.590000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth,fc2_L[16]_ablation_wd_l16_fc2.pth,16,4,normal,fc1_output_pre_if1,mean_over_time,0.202197832927681,0.0408839636406506,0.20219784323315,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.878743489583333,691072,786432,4.8781533241272,0.152442291378975,0.5,0.7071067811865476,gaussian,6,4,97.480000
