folder,checkpoint,checkpoint_name,L,T,if_mode,metric_position,time_reduce,sigma_eff,var_eff,rms_delta,p_metric,p_rule,p_e,equal_count,total_count,lambda_if1,h_tolerance,noise_variance,noise_sigma,noise_type,repeats,max_batches,acc
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_mne_l2_l16_fc2.pth,fc2_L[16]_ablation_mne_l2_l16_fc2.pth,16,2,rate_uniform,fc1_output_pre_if1,mean_over_time,7.431614561136194,55.228894985291504,7.43161637384549,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.7245089213053385,569777,786432,100.76914978027344,3.149035930633545,0.5,0.7071067811865476,gaussian,6,4,96.890000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_mne_l2_l16_fc2.pth,fc2_L[16]_ablation_mne_l2_l16_fc2.pth,16,4,rate_uniform,fc1_output_pre_if1,mean_over_time,5.285125075654351,27.93254706531041,5.285140311902347,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.7535438537597656,592611,786432,100.76914978027344,3.149035930633545,0.5,0.7071067811865476,gaussian,6,4,97.760000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_mne_l2_l16_fc2.pth,fc2_L[16]_ablation_mne_l2_l16_fc2.pth,16,8,rate_uniform,fc1_output_pre_if1,mean_over_time,3.7444556558728705,14.020948158798328,3.7444662052025404,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.7906074523925781,621759,786432,100.76914978027344,3.149035930633545,0.5,0.7071067811865476,gaussian,6,4,97.910000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_mne_l2_l16_fc2.pth,fc2_L[16]_ablation_mne_l2_l16_fc2.pth,16,16,rate_uniform,fc1_output_pre_if1,mean_over_time,2.6339067868360404,6.937464961740955,2.6339101862420633,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.8390769958496094,659877,786432,100.76914978027344,3.149035930633545,0.5,0.7071067811865476,gaussian,6,4,98.030000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_mne_l2_l16_fc2.pth,fc2_L[16]_ablation_mne_l2_l16_fc2.pth,16,32,rate_uniform,fc1_output_pre_if1,mean_over_time,1.8680712778842867,3.4896902992562318,1.8680750635014516,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.8929773966471354,702266,786432,100.76914978027344,3.149035930633545,0.5,0.7071067811865476,gaussian,6,4,97.980000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,2,rate_uniform,fc1_output_pre_if1,mean_over_time,9.714671824641215,94.37484866047787,9.714707456245256,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.014429728190104166,11348,786432,1.1088709831237793,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.000000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,4,rate_uniform,fc1_output_pre_if1,mean_over_time,6.8546387938860365,46.98607299464742,6.854672046939938,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.020373026529947918,16022,786432,1.1088709831237793,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.180000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,8,rate_uniform,fc1_output_pre_if1,mean_over_time,4.867178629413601,23.689427810620458,4.867195579784328,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.028601328531901043,22493,786432,1.1088709831237793,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.250000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,16,rate_uniform,fc1_output_pre_if1,mean_over_time,3.4436931830087447,11.8590227387009,3.4437094137803284,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.04019800821940104,31613,786432,1.1088709831237793,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.220000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_none_l16_fc2.pth,fc2_L[16]_ablation_none_l16_fc2.pth,16,32,rate_uniform,fc1_output_pre_if1,mean_over_time,2.4290786140104963,5.900422913043153,2.4290807865620856,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.05713780721028646,44935,786432,1.1088709831237793,0.0346522182226181,0.5,0.7071067811865476,gaussian,6,4,97.230000
