folder,checkpoint,checkpoint_name,L,T,if_mode,metric_position,time_reduce,sigma_eff,var_eff,rms_delta,p_metric,p_rule,p_e,equal_count,total_count,lambda_if1,h_tolerance,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.8425130417304807,3.394854308946908,1.8425132829473638,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.6068974709024235,2923362,4816896,5.905240535736084,1.476310133934021,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.8365181769389498,3.3727990142271635,1.836518271495922,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.32186702806122447,1550400,4816896,5.750455379486084,0.7188069224357605,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.7986127822663582,3.2350079405319305,1.7986129801710558,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.17459625451743196,841012,4816896,5.989377498626709,0.3743360936641693,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.8898079012712365,3.5713739037071957,1.8898079096864835,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.07150538438031463,344434,4816896,5.1410651206970215,0.16065828502178192,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.952817016707743,3.8134943007433297,1.9528170573955639,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.03052567462531888,147039,4816896,4.501989364624023,0.07034358382225037,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.325875427677679,1.7579456497194679,1.3258754485200779,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.5045128387658775,19441487,38535168,3.3756866455078125,0.8439216613769531,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.3394329545873984,1.7940806398347278,1.3394330071588476,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.28559984479631695,11005638,38535168,3.5966579914093018,0.4495822489261627,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.3152102321655517,1.7297779547929646,1.315210296613927,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.1848361994944462,7122694,38535168,4.414224624633789,0.2758890390396118,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.2390238872007633,1.5351801930540896,1.2390241278655534,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.09870482464225924,3803607,38535168,4.344083309173584,0.1357526034116745,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.2613283144435867,1.5909491168170995,1.2613283843080056,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.045669270210525616,1759873,38535168,4.162949562072754,0.06504608690738678,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.5952314762951274,2.544763462962732,1.5952316606254515,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.64537982551419,6217455,9633792,5.658936023712158,1.4147340059280396,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.6626316267157428,2.764343926155437,1.6626318024481495,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.3159837787654124,3044122,9633792,5.139473915100098,0.6424342393875122,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.4628626841724155,2.1399672327441244,1.4628627185447776,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.16886393229166666,1626800,9633792,4.751101493835449,0.2969438433647156,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,0,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.4567184001100952,2.1220284972193157,1.4567184687163497,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.08624921526227679,830907,9633792,4.706122398376465,0.14706632494926453,0.5,0.7071067811865476,gaussian,6,4
