folder,checkpoint,checkpoint_name,L,T,if_mode,metric_position,time_reduce,sigma_eff,var_eff,rms_delta,p_metric,p_rule,p_e,equal_count,total_count,lambda_if2,h_tolerance,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,conv2_output_pre_bn2,mean_over_time,2.9863100190206304,8.918047529702998,2.9870798595148873,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.23782576995642007,572791,2408448,2.434079647064209,0.6085199117660522,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,conv2_output_pre_bn2,mean_over_time,1.8078196431313136,3.2682118620914298,1.8086735505991185,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.31567341291985546,760283,2408448,2.434079647064209,0.6085199117660522,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,conv2_output_pre_bn2,mean_over_time,1.2183630978485835,1.4844086381991972,1.2189483401278776,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.4622034604857568,1113193,2408448,2.434079647064209,0.6085199117660522,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,conv2_output_pre_bn2,mean_over_time,0.8939411022531917,0.7991306942976514,0.8942558395563271,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.6161278964710885,1483912,2408448,2.434079647064209,0.6085199117660522,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,conv2_output_pre_bn2,mean_over_time,0.6836073994594621,0.4673190765957287,0.6837928800833025,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.7419030844759779,1786835,2408448,2.434079647064209,0.6085199117660522,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,conv2_output_pre_bn2,mean_over_time,4.322567202946217,18.684587223986288,4.324977729530565,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.07468170373618198,179867,2408448,2.809908628463745,0.35123857855796814,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,conv2_output_pre_bn2,mean_over_time,2.3603640570174527,5.571318481659888,2.373666551647371,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.1278528745482568,307927,2408448,2.809908628463745,0.35123857855796814,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,conv2_output_pre_bn2,mean_over_time,1.8136889829803826,3.2894677269844146,1.8138041114734964,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.16949379849596088,408217,2408448,2.809908628463745,0.35123857855796814,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,conv2_output_pre_bn2,mean_over_time,1.711263615669141,2.9284231623130217,1.7117091107237075,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.18358503069196427,442155,2408448,2.809908628463745,0.35123857855796814,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,conv2_output_pre_bn2,mean_over_time,1.6778919344653498,2.8153213437438733,1.6796380955504242,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.19249948514562074,463625,2408448,2.809908628463745,0.35123857855796814,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,conv2_output_pre_bn2,mean_over_time,3.625409230599428,13.143592089315534,3.6254270677188347,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.05674318067070578,136663,2408448,3.270169973373413,0.20438562333583832,0.5,0.7071067811865476,gaussian,6,4
