folder,checkpoint,checkpoint_name,L,T,if_mode,sigma_metric,sigma_time_reduce,sigma_eff,var_eff,rms_delta,p_metric,p_rule,p_rate_def,p_e,equal_count,total_count,lambda_if1,h_tolerance,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.3035758883092377,1.6993100965812178,1.3035763614231315,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8988230179767219,4329537,4816896,5.905240535736084,1.476310133934021,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.9226753600441768,0.8513298200326513,0.9226754785559776,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8624190765173256,4154183,4816896,5.905240535736084,1.476310133934021,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6523564236867588,0.4255689035253781,0.6523564431743915,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9801976210406037,4721510,4816896,5.905240535736084,1.476310133934021,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.46112938532453557,0.212640310009784,0.46112940728137247,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9982499103156888,4808466,4816896,5.905240535736084,1.476310133934021,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.32653395882594677,0.10662442626654509,0.32653399322813303,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9999406256643283,4816610,4816896,5.905240535736084,1.476310133934021,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.2975565592851537,1.6836530245439263,1.2975565657236652,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7005467836548682,3374461,4816896,5.750455379486084,0.7188069224357605,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.9175299219001766,0.8418611575821442,0.9175299873040175,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.5427891737749787,2614559,4816896,5.750455379486084,0.7188069224357605,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6493263758271209,0.42162474234478353,0.6493263887503903,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.5179302189625851,2494816,4816896,5.750455379486084,0.7188069224357605,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.4589380836558352,0.2106241646296904,0.45893808655788276,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8026648281382865,3866353,4816896,5.750455379486084,0.7188069224357605,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.3246594668092596,0.10540376938887273,0.3246594992856072,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9141455410289115,4403344,4816896,5.750455379486084,0.7188069224357605,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.2726802815009977,1.6197150989214586,1.2726807899831107,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8279854910714286,3988320,4816896,5.989377498626709,0.3743360936641693,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.8994635406048844,0.8090346608774747,0.8994636154245547,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.6889262296715561,3318486,4816896,5.989377498626709,0.3743360936641693,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6359333847492232,0.4044112698386036,0.6359335511791685,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.5156218859614158,2483697,4816896,5.989377498626709,0.3743360936641693,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.450087163119557,0.20257845440501068,0.450087257807772,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.5049714587983631,2432395,4816896,5.989377498626709,0.3743360936641693,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.31799733787338125,0.10112230689455738,0.31799747127271594,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7812616257440477,3763256,4816896,5.989377498626709,0.3743360936641693,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.3348705822140488,1.7818794712604733,1.3348705877305966,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7869080005048894,3790454,4816896,5.1410651206970215,0.16065828502178192,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.943389220523224,0.8899832213994162,0.9433892746780368,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7044565628985969,3393294,4816896,5.1410651206970215,0.16065828502178192,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6679012949514478,0.44609213979782086,0.6679017063427753,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.6043910850473002,2911289,4816896,5.1410651206970215,0.16065828502178192,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.4719138506258826,0.22270268241254781,0.47191394857139607,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.5219612381085247,2514233,4816896,5.1410651206970215,0.16065828502178192,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.333490826534132,0.1112161313824185,0.3334908645340913,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.534464725831739,2574461,4816896,5.1410651206970215,0.16065828502178192,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.3799813309677071,1.9043484738194048,1.3799814395229995,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7627399470530399,3674039,4816896,4.501989364624023,0.07034358382225037,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.9757621095993764,0.9521116945298254,0.9757621537304475,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7133865875451744,3436309,4816896,4.501989364624023,0.07034358382225037,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6905634889946993,0.4768779323325323,0.6905634928420946,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.640675655027636,3086068,4816896,4.501989364624023,0.07034358382225037,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.48755022579820706,0.2377052226758827,0.4875506018111819,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.5907169264190051,2845422,4816896,4.501989364624023,0.07034358382225037,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.345251113332673,0.11919833125745023,0.345251136104156,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.5642924406090561,2718138,4816896,4.501989364624023,0.07034358382225037,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.9370732221888338,0.8781062237433636,0.9370734247391563,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7855932274643256,30272967,38535168,3.3756866455078125,0.8439216613769531,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6637429683995,0.4405547280997796,0.6637431822100771,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7748377274493782,29858502,38535168,3.3756866455078125,0.8439216613769531,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.46895359413385224,0.2199174734510578,0.46895362799032875,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9049039568219867,34870626,38535168,3.3756866455078125,0.8439216613769531,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.33115060469026614,0.1096607229867289,0.3311506641972871,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9674577777888499,37281148,38535168,3.3756866455078125,0.8439216613769531,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.23446216453871002,0.05497250660017713,0.23446217426970536,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9917700371774686,38218025,38535168,3.3756866455078125,0.8439216613769531,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.9488974602559551,0.900406390080202,0.9488974613430182,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7914188670463302,30497459,38535168,3.5966579914093018,0.4495822489261627,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6711583315378299,0.45045350599264355,0.6711584131821456,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.734069383063284,28287487,38535168,3.5966579914093018,0.4495822489261627,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.47404345675468584,0.2247171988919317,0.4740434781745447,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7115477737115354,27419613,38535168,3.5966579914093018,0.4495822489261627,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.3353909538757071,0.11248709194165671,0.33539095468938873,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8471014321255846,32643196,38535168,3.5966579914093018,0.4495822489261627,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.23730946594076763,0.05631578262509235,0.23730949392814163,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9326248687951744,35938856,38535168,3.5966579914093018,0.4495822489261627,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.9292808116189235,0.8635628268431251,0.9292808551694935,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8204318455287388,31615479,38535168,4.414224624633789,0.2758890390396118,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6575101394240191,0.43231958344539306,0.6575101442119516,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7721381674007494,29754474,38535168,4.414224624633789,0.2758890390396118,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.4650762918765975,0.2162959572656861,0.4650762978771745,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7273356119791666,28028000,38535168,4.414224624633789,0.2758890390396118,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.32883110779170416,0.10812989745151935,0.3288311086169551,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.702628855802575,27075921,38535168,4.414224624633789,0.2758890390396118,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.2325230063342195,0.05406694847470348,0.23252301664312994,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.838167514930777,32298926,38535168,4.414224624633789,0.2758890390396118,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.8750839865828408,0.7657719835737176,0.8750843417124659,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8625609209748353,33238930,38535168,4.344083309173584,0.1357526034116745,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6199627704329782,0.38435383672293366,0.6199627723551804,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7992242826085513,30798242,38535168,4.344083309173584,0.1357526034116745,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.43770026572113385,0.1915815226123512,0.43770026830103725,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7553937483807,29109225,38535168,4.344083309173584,0.1357526034116745,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.31000136806837286,0.09610084820426279,0.31000136806837536,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7242415551425648,27908770,38535168,4.344083309173584,0.1357526034116745,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.21869025539199832,0.04782542780341745,0.21869027855903153,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.751671434259739,28965785,38535168,4.344083309173584,0.1357526034116745,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.8928375765716565,0.7971589381383486,0.8928375814714622,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8551688940346647,32954077,38535168,4.162949562072754,0.06504608690738678,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.6314963633540003,0.39878765692932755,0.6314963651901364,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7887408717148969,30394262,38535168,4.162949562072754,0.06504608690738678,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.4461981920185289,0.19909282656060398,0.4461981924654581,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7435248757706208,28651856,38535168,4.162949562072754,0.06504608690738678,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.3160708611567937,0.09990078927239718,0.3160708760796876,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7078579234428146,27277424,38535168,4.162949562072754,0.06504608690738678,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.22286246710214624,0.049667679242855214,0.22286246748142619,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.6858403990868809,26428975,38535168,4.162949562072754,0.06504608690738678,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.1273666830448734,1.2709556380395999,1.1273667185230556,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7869426701344601,7581242,9633792,5.658936023712158,1.4147340059280396,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.7982217612165615,0.6371579800796693,0.7982219327958969,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7425755092075893,7153818,9633792,5.658936023712158,1.4147340059280396,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.5635296364068818,0.3175656511088724,0.5635296386907139,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9228182422871493,8890239,9633792,5.658936023712158,1.4147340059280396,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.39904338873378425,0.15923562609214204,0.39904338885502694,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9857041754690158,9496069,9633792,5.658936023712158,1.4147340059280396,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.2821637284537153,0.07961636965490197,0.2821637295648007,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9989557590614371,9623732,9633792,5.658936023712158,1.4147340059280396,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,conv1_output_pre_bn1,mean_over_time,1.1770715373786758,1.3854974041069994,1.1770715552845636,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.7886360843165391,7597556,9633792,5.139473915100098,0.6424342393875122,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.8316674305970334,0.6916707151158713,0.8316674315900817,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.711071507460406,6850315,9633792,5.139473915100098,0.6424342393875122,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.5876310184115148,0.34531021379935406,0.5876310257348796,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.6796351841517857,6547464,9633792,5.139473915100098,0.6424342393875122,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.4150123793576752,0.17223527502011893,0.41501244202268606,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.8934806771829825,8607607,9633792,5.139473915100098,0.6424342393875122,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,conv1_output_pre_bn1,mean_over_time,0.2942835799541015,0.08660282543060203,0.2942835964838588,P_E_if1_rate_tolerant,|rate_noisy-rate_clean| < lambda/(2L),mean_t(if1_spike_raw),0.9587406495801446,9236308,9633792,5.139473915100098,0.6424342393875122,0.5,0.7071067811865476,gaussian,6,4
