folder,checkpoint,checkpoint_name,L,T,if_mode,metric,p_e_post_if1,equal_count,total_count,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,P_E_post_if1_equal,0.9487514366098002,9140074,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,P_E_post_if1_equal,0.9608841980395674,18513917,19267584,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,P_E_post_if1_equal,0.9636023385184151,37132578,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,P_E_post_if1_equal,0.9620671045212519,74146835,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,P_E_post_if1_equal,0.960587216072342,148065559,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,P_E_post_if1_equal,0.847294502517804,8162659,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,P_E_post_if1_equal,0.8759198350971248,16876859,19267584,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,P_E_post_if1_equal,0.9077421694385762,34979997,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,P_E_post_if1_equal,0.90130040434753,69463525,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,P_E_post_if1_equal,0.8758940858905818,135010903,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,P_E_post_if1_equal,0.9131481144703976,8797079,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,P_E_post_if1_equal,0.9180443692369525,17688497,19267584,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,P_E_post_if1_equal,0.9224692364128269,35547507,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,P_E_post_if1_equal,0.9311455188154363,71763698,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,P_E_post_if1_equal,0.9230085424825448,142273157,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,P_E_post_if1_equal,0.891889611069037,8592279,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,P_E_post_if1_equal,0.919782677475287,17721990,19267584,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,P_E_post_if1_equal,0.9253543412604299,35658685,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,P_E_post_if1_equal,0.9071509951636905,69914432,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,P_E_post_if1_equal,0.8867701770497017,136687351,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,P_E_post_if1_equal,0.8779632153154231,8458115,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,P_E_post_if1_equal,0.9185712645653965,17698649,19267584,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,P_E_post_if1_equal,0.9126188317123725,35167920,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,P_E_post_if1_equal,0.8880568523796237,68442840,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,P_E_post_if1_equal,0.8648859919333944,133314108,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,P_E_post_if1_equal,0.8852696451200109,68228029,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,P_E_post_if1_equal,0.9298500722768356,143327715,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,P_E_post_if1_equal,0.9362332155915345,288623234,308281344,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,P_E_post_if1_equal,0.9260424448519337,570963219,616562688,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,P_E_post_if1_equal,0.9150971855436053,1128429561,1233125376,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,P_E_post_if1_equal,0.8909811551879052,68668217,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,P_E_post_if1_equal,0.9218652361915225,142096927,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,P_E_post_if1_equal,0.9362043231522956,288614327,308281344,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,P_E_post_if1_equal,0.9354040995747054,576735266,616562688,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,P_E_post_if1_equal,0.928556345757984,1145026393,1233125376,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,P_E_post_if1_equal,0.9086279577138473,70028262,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,P_E_post_if1_equal,0.9372495729096082,144468279,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,P_E_post_if1_equal,0.9461091035077361,291667786,308281344,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,P_E_post_if1_equal,0.9368163939235973,577606034,616562688,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,P_E_post_if1_equal,0.9248130005233142,1140410379,1233125376,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,P_E_post_if1_equal,0.9300781431652251,71681435,77070336,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,P_E_post_if1_equal,0.9458331023754717,145791350,154140672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,P_E_post_if1_equal,0.9572952847902466,295116277,308281344,0.5,0.7071067811865476,gaussian,6,4
