arch,hidden_size,regularizer,if_mode,L,T,seed,acc,checkpoint
fc3_h8,8,weight_decay,normal,4,0,40,92.240000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,40,92.870000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,0,41,86.710000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,41,87.530000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,0,42,90.160000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,42,90.680000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,0,43,90.210000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,43,90.920000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,0,44,79.160000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,44,81.520000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,40,92.300000,mnist-checkpoints/fc3_h8_L[16]_strict_seed40_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,40,92.280000,mnist-checkpoints/fc3_h8_L[16]_strict_seed40_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,41,45.180000,mnist-checkpoints/fc3_h8_L[16]_strict_seed41_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,41,42.630000,mnist-checkpoints/fc3_h8_L[16]_strict_seed41_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,42,83.020000,mnist-checkpoints/fc3_h8_L[16]_strict_seed42_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,42,83.290000,mnist-checkpoints/fc3_h8_L[16]_strict_seed42_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,43,83.350000,mnist-checkpoints/fc3_h8_L[16]_strict_seed43_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,43,83.140000,mnist-checkpoints/fc3_h8_L[16]_strict_seed43_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,44,83.210000,mnist-checkpoints/fc3_h8_L[16]_strict_seed44_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,44,83.090000,mnist-checkpoints/fc3_h8_L[16]_strict_seed44_ablation_wd_l16_fc3_h8.pth
