arch,hidden_size,regularizer,if_mode,L,T,seed,acc,checkpoint
fc3_h8,8,weight_decay,normal,4,0,40,92.510000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,40,92.980000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,0,41,87.000000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,41,87.460000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,0,42,90.560000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,42,90.680000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,0,43,90.490000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,43,91.100000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,0,44,80.830000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,4,16,44,82.430000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,40,92.490000,mnist-checkpoints/fc3_h8_L[16]_strict_seed40_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,40,92.460000,mnist-checkpoints/fc3_h8_L[16]_strict_seed40_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,41,45.130000,mnist-checkpoints/fc3_h8_L[16]_strict_seed41_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,41,43.500000,mnist-checkpoints/fc3_h8_L[16]_strict_seed41_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,42,83.270000,mnist-checkpoints/fc3_h8_L[16]_strict_seed42_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,42,83.460000,mnist-checkpoints/fc3_h8_L[16]_strict_seed42_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,43,83.180000,mnist-checkpoints/fc3_h8_L[16]_strict_seed43_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,43,83.380000,mnist-checkpoints/fc3_h8_L[16]_strict_seed43_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,0,44,83.050000,mnist-checkpoints/fc3_h8_L[16]_strict_seed44_ablation_wd_l16_fc3_h8.pth
fc3_h8,8,weight_decay,normal,16,16,44,83.000000,mnist-checkpoints/fc3_h8_L[16]_strict_seed44_ablation_wd_l16_fc3_h8.pth
fc3_h16,16,weight_decay,normal,4,0,40,91.230000,mnist-checkpoints/fc3_h16_L[4]_strict_seed40_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,16,40,92.100000,mnist-checkpoints/fc3_h16_L[4]_strict_seed40_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,0,41,94.520000,mnist-checkpoints/fc3_h16_L[4]_strict_seed41_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,16,41,95.030000,mnist-checkpoints/fc3_h16_L[4]_strict_seed41_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,0,42,95.110000,mnist-checkpoints/fc3_h16_L[4]_strict_seed42_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,16,42,95.610000,mnist-checkpoints/fc3_h16_L[4]_strict_seed42_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,0,43,95.930000,mnist-checkpoints/fc3_h16_L[4]_strict_seed43_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,16,43,96.350000,mnist-checkpoints/fc3_h16_L[4]_strict_seed43_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,0,44,95.070000,mnist-checkpoints/fc3_h16_L[4]_strict_seed44_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,4,16,44,95.490000,mnist-checkpoints/fc3_h16_L[4]_strict_seed44_ablation_wd_l4_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,0,40,93.890000,mnist-checkpoints/fc3_h16_L[16]_strict_seed40_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,16,40,93.950000,mnist-checkpoints/fc3_h16_L[16]_strict_seed40_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,0,41,94.070000,mnist-checkpoints/fc3_h16_L[16]_strict_seed41_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,16,41,93.860000,mnist-checkpoints/fc3_h16_L[16]_strict_seed41_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,0,42,94.670000,mnist-checkpoints/fc3_h16_L[16]_strict_seed42_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,16,42,94.620000,mnist-checkpoints/fc3_h16_L[16]_strict_seed42_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,0,43,95.420000,mnist-checkpoints/fc3_h16_L[16]_strict_seed43_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,16,43,95.270000,mnist-checkpoints/fc3_h16_L[16]_strict_seed43_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,0,44,91.780000,mnist-checkpoints/fc3_h16_L[16]_strict_seed44_ablation_wd_l16_fc3_h16.pth
fc3_h16,16,weight_decay,normal,16,16,44,91.680000,mnist-checkpoints/fc3_h16_L[16]_strict_seed44_ablation_wd_l16_fc3_h16.pth
fc3_h32,32,weight_decay,normal,4,0,40,96.800000,mnist-checkpoints/fc3_h32_L[4]_strict_seed40_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,16,40,97.040000,mnist-checkpoints/fc3_h32_L[4]_strict_seed40_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,0,41,97.200000,mnist-checkpoints/fc3_h32_L[4]_strict_seed41_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,16,41,97.430000,mnist-checkpoints/fc3_h32_L[4]_strict_seed41_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,0,42,97.240000,mnist-checkpoints/fc3_h32_L[4]_strict_seed42_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,16,42,97.500000,mnist-checkpoints/fc3_h32_L[4]_strict_seed42_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,0,43,96.760000,mnist-checkpoints/fc3_h32_L[4]_strict_seed43_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,16,43,97.030000,mnist-checkpoints/fc3_h32_L[4]_strict_seed43_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,0,44,97.140000,mnist-checkpoints/fc3_h32_L[4]_strict_seed44_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,4,16,44,97.290000,mnist-checkpoints/fc3_h32_L[4]_strict_seed44_ablation_wd_l4_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,0,40,97.240000,mnist-checkpoints/fc3_h32_L[16]_strict_seed40_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,16,40,97.270000,mnist-checkpoints/fc3_h32_L[16]_strict_seed40_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,0,41,96.850000,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,16,41,96.880000,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,0,42,97.600000,mnist-checkpoints/fc3_h32_L[16]_strict_seed42_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,16,42,97.640000,mnist-checkpoints/fc3_h32_L[16]_strict_seed42_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,0,43,96.950000,mnist-checkpoints/fc3_h32_L[16]_strict_seed43_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,16,43,96.880000,mnist-checkpoints/fc3_h32_L[16]_strict_seed43_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,0,44,97.200000,mnist-checkpoints/fc3_h32_L[16]_strict_seed44_ablation_wd_l16_fc3_h32.pth
fc3_h32,32,weight_decay,normal,16,16,44,97.210000,mnist-checkpoints/fc3_h32_L[16]_strict_seed44_ablation_wd_l16_fc3_h32.pth
fc3_h64,64,weight_decay,normal,4,0,40,97.790000,mnist-checkpoints/fc3_h64_L[4]_strict_seed40_ablation_wd_l4_fc3_h64.pth
fc3_h64,64,weight_decay,normal,4,16,40,97.860000,mnist-checkpoints/fc3_h64_L[4]_strict_seed40_ablation_wd_l4_fc3_h64.pth
