checkpoint,layer,type,shape,m_layer_mean,m_layer_strict,numel
mnist-checkpoints/cnn2_L[16].pth,classifier.weight,fc,"(10, 196)",0.284220814704895,0.4028192162513733,1960
mnist-checkpoints/cnn2_L[16].pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4767724573612213,0.5546320676803589,18
mnist-checkpoints/cnn2_L[16].pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3816547393798828,0.5075414776802063,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed44.pth,classifier.weight,fc,"(10, 196)",0.30445799231529236,0.4213569164276123,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed44.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5219600796699524,0.6913392543792725,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed44.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.30948734283447266,0.35378706455230713,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed45.pth,classifier.weight,fc,"(10, 196)",0.2443125993013382,0.3148769736289978,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed45.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.502246081829071,0.508316159248352,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed45.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3311026990413666,0.39413392543792725,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed46.pth,classifier.weight,fc,"(10, 196)",0.29297101497650146,0.3885178565979004,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed46.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.42063090205192566,0.4714726209640503,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed46.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.37422826886177063,0.43982288241386414,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed47.pth,classifier.weight,fc,"(10, 196)",0.32631728053092957,0.44718217849731445,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed47.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.3820769488811493,0.41774284839630127,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed47.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3148964047431946,0.3856970965862274,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed48.pth,classifier.weight,fc,"(10, 196)",0.27609682083129883,0.3376044034957886,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed48.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.47614786028862,0.5325102210044861,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed48.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.362833172082901,0.4634736478328705,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed49.pth,classifier.weight,fc,"(10, 196)",0.32708197832107544,0.39453279972076416,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed49.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4353797137737274,0.4575241506099701,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed49.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.34858453273773193,0.3793196678161621,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed50.pth,classifier.weight,fc,"(10, 196)",0.2932232916355133,0.4245143532752991,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed50.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5038387775421143,0.5541783571243286,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed50.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3104584217071533,0.3585752248764038,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed51.pth,classifier.weight,fc,"(10, 196)",0.31377115845680237,0.44170746207237244,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed51.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4053623080253601,0.4464013874530792,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed51.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3437317907810211,0.3768243193626404,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed52.pth,classifier.weight,fc,"(10, 196)",0.36337926983833313,0.4840103089809418,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed52.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.38442105054855347,0.3885485529899597,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed52.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.36177343130111694,0.4096623957157135,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed53.pth,classifier.weight,fc,"(10, 196)",0.31398576498031616,0.396136075258255,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed53.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.44690343737602234,0.5188668966293335,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed53.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3777422308921814,0.4080577492713928,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed54.pth,classifier.weight,fc,"(10, 196)",0.3221225440502167,0.48980712890625,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed54.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4584379196166992,0.543507993221283,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed54.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.35325294733047485,0.3931918144226074,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed55.pth,classifier.weight,fc,"(10, 196)",0.3119003474712372,0.4625331461429596,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed55.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.3815276026725769,0.3936861753463745,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed55.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3793568015098572,0.5520641803741455,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed56.pth,classifier.weight,fc,"(10, 196)",0.27142733335494995,0.3867703378200531,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed56.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.35783860087394714,0.4269547760486603,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed56.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3403536081314087,0.4236195981502533,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed57.pth,classifier.weight,fc,"(10, 196)",0.29041290283203125,0.4011843800544739,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed57.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4431747794151306,0.4954156279563904,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed57.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.39685317873954773,0.5737574100494385,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed58.pth,classifier.weight,fc,"(10, 196)",0.29491347074508667,0.46054545044898987,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed58.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.41628336906433105,0.48346737027168274,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed58.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.36307913064956665,0.38987934589385986,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed59.pth,classifier.weight,fc,"(10, 196)",0.27210184931755066,0.34778064489364624,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed59.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.413435161113739,0.44615602493286133,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed59.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.42292383313179016,0.4968075156211853,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed60.pth,classifier.weight,fc,"(10, 196)",0.28299733996391296,0.36407944560050964,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed60.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.33758634328842163,0.348943293094635,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed60.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3721107244491577,0.4016052484512329,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed61.pth,classifier.weight,fc,"(10, 196)",0.28866857290267944,0.36995306611061096,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed61.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.48438602685928345,0.49206244945526123,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed61.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.35846084356307983,0.40542393922805786,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed62.pth,classifier.weight,fc,"(10, 196)",0.31345370411872864,0.4557034969329834,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed62.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4025493562221527,0.4345712959766388,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed62.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.36108648777008057,0.40810659527778625,72
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed63.pth,classifier.weight,fc,"(10, 196)",0.2862303555011749,0.37541213631629944,1960
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed63.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.41484805941581726,0.4196144640445709,18
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed63.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.37211138010025024,0.48156240582466125,72
mnist-checkpoints/cnn2_L[2].pth,classifier.weight,fc,"(10, 196)",0.26370638608932495,0.47998860478401184,1960
