size,L,T,p_e_rc5e-4,p_e_rc1e-3,delta_1e-3_minus_5e-4
128,2,8,0.7865066528,0.8595555623,0.0730489095
128,2,16,0.9004847209,0.9505437215,0.0500590007
128,4,8,0.7476323446,0.8030827840,0.0554504395
128,4,16,0.8679326375,0.9111073812,0.0431747437
128,8,8,0.7118581136,0.7825800578,0.0707219442
128,8,16,0.8201777140,0.8811645508,0.0609868368
128,16,8,0.6929753621,0.7460912069,0.0531158447
128,16,16,0.7877349854,0.8440297445,0.0562947591
128,32,8,0.6051152547,0.6416346232,0.0365193685
128,32,16,0.6842753092,0.7195714315,0.0352961222
256,2,8,0.8524894714,0.8921267192,0.0396372477
256,2,16,0.9325091044,0.9584897359,0.0259806315
256,4,8,0.8372599284,0.8735478719,0.0362879435
256,4,16,0.9111951192,0.9406890869,0.0294939677
256,8,8,0.8186225891,0.8434600830,0.0248374939
256,8,16,0.8763542175,0.9062334696,0.0298792521
256,16,8,0.7907485962,0.8242340088,0.0334854126
256,16,16,0.8381233215,0.8803113302,0.0421880086
256,32,8,0.7733294169,0.7848587036,0.0115292867
256,32,16,0.8102289836,0.8242314657,0.0140024821
512,2,8,0.8922023773,0.9131170909,0.0209147135
512,2,16,0.9491469065,0.9641647339,0.0150178274
512,4,8,0.8823782603,0.9187622070,0.0363839467
512,4,16,0.9329382579,0.9600035350,0.0270652771
512,8,8,0.8642120361,0.8925393422,0.0283273061
512,8,16,0.9029324849,0.9296665192,0.0267340342
512,16,8,0.8633460999,0.8839098612,0.0205637614
512,16,16,0.8901456197,0.9145952861,0.0244496663
512,32,8,0.8565464020,0.8670921326,0.0105457306
512,32,16,0.8774814606,0.8881657918,0.0106843313
