family,arch,size_label,hidden_size,c1,c2,regularizer,L,T,seed,if_mode,acc,checkpoint
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,2,0,40,normal,98.890000,mnist-checkpoints/cnn2_c16_c32_L[2]_strict_seed40_ablation_wd_l2_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,2,0,41,normal,98.910000,mnist-checkpoints/cnn2_c16_c32_L[2]_strict_seed41_ablation_wd_l2_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,2,0,42,normal,98.830000,mnist-checkpoints/cnn2_c16_c32_L[2]_strict_seed42_ablation_wd_l2_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,2,0,43,normal,98.840000,mnist-checkpoints/cnn2_c16_c32_L[2]_strict_seed43_ablation_wd_l2_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,2,0,44,normal,98.960000,mnist-checkpoints/cnn2_c16_c32_L[2]_strict_seed44_ablation_wd_l2_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,4,0,40,normal,98.980000,mnist-checkpoints/cnn2_c16_c32_L[4]_strict_seed40_ablation_wd_l4_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,4,0,41,normal,99.150000,mnist-checkpoints/cnn2_c16_c32_L[4]_strict_seed41_ablation_wd_l4_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,4,0,42,normal,98.940000,mnist-checkpoints/cnn2_c16_c32_L[4]_strict_seed42_ablation_wd_l4_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,4,0,43,normal,99.020000,mnist-checkpoints/cnn2_c16_c32_L[4]_strict_seed43_ablation_wd_l4_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,4,0,44,normal,99.000000,mnist-checkpoints/cnn2_c16_c32_L[4]_strict_seed44_ablation_wd_l4_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,8,0,40,normal,99.130000,mnist-checkpoints/cnn2_c16_c32_L[8]_strict_seed40_ablation_wd_l8_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,8,0,41,normal,99.150000,mnist-checkpoints/cnn2_c16_c32_L[8]_strict_seed41_ablation_wd_l8_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,8,0,42,normal,99.040000,mnist-checkpoints/cnn2_c16_c32_L[8]_strict_seed42_ablation_wd_l8_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,8,0,43,normal,99.060000,mnist-checkpoints/cnn2_c16_c32_L[8]_strict_seed43_ablation_wd_l8_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,8,0,44,normal,99.060000,mnist-checkpoints/cnn2_c16_c32_L[8]_strict_seed44_ablation_wd_l8_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,16,0,40,normal,99.080000,mnist-checkpoints/cnn2_c16_c32_L[16]_strict_seed40_ablation_wd_l16_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,16,0,41,normal,99.100000,mnist-checkpoints/cnn2_c16_c32_L[16]_strict_seed41_ablation_wd_l16_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,16,0,42,normal,99.040000,mnist-checkpoints/cnn2_c16_c32_L[16]_strict_seed42_ablation_wd_l16_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,16,0,43,normal,99.040000,mnist-checkpoints/cnn2_c16_c32_L[16]_strict_seed43_ablation_wd_l16_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,16,0,44,normal,99.140000,mnist-checkpoints/cnn2_c16_c32_L[16]_strict_seed44_ablation_wd_l16_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,32,0,40,normal,99.030000,mnist-checkpoints/cnn2_c16_c32_L[32]_strict_seed40_ablation_wd_l32_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,32,0,41,normal,99.060000,mnist-checkpoints/cnn2_c16_c32_L[32]_strict_seed41_ablation_wd_l32_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,32,0,42,normal,99.110000,mnist-checkpoints/cnn2_c16_c32_L[32]_strict_seed42_ablation_wd_l32_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,32,0,43,normal,99.020000,mnist-checkpoints/cnn2_c16_c32_L[32]_strict_seed43_ablation_wd_l32_cnn2_c16_c32.pth
cnn2,cnn2_c16_c32,c16c32,,16,32,weight_decay,32,0,44,normal,99.030000,mnist-checkpoints/cnn2_c16_c32_L[32]_strict_seed44_ablation_wd_l32_cnn2_c16_c32.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,2,0,40,normal,96.580000,mnist-checkpoints/cnn2_c2_c4_L[2]_strict_seed40_ablation_wd_l2_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,2,0,41,normal,95.690000,mnist-checkpoints/cnn2_c2_c4_L[2]_strict_seed41_ablation_wd_l2_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,2,0,42,normal,96.560000,mnist-checkpoints/cnn2_c2_c4_L[2]_strict_seed42_ablation_wd_l2_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,2,0,43,normal,96.470000,mnist-checkpoints/cnn2_c2_c4_L[2]_strict_seed43_ablation_wd_l2_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,2,0,44,normal,96.740000,mnist-checkpoints/cnn2_c2_c4_L[2]_strict_seed44_ablation_wd_l2_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,4,0,40,normal,97.500000,mnist-checkpoints/cnn2_c2_c4_L[4]_strict_seed40_ablation_wd_l4_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,4,0,41,normal,97.510000,mnist-checkpoints/cnn2_c2_c4_L[4]_strict_seed41_ablation_wd_l4_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,4,0,42,normal,97.490000,mnist-checkpoints/cnn2_c2_c4_L[4]_strict_seed42_ablation_wd_l4_cnn2_c2_c4.pth
