L,T,num_checkpoints,sigma_eff_mean,sigma_eff_min,sigma_eff_max,var_eff_mean
2,2,45,0.2318301179776882,0.00045563420545442323,0.559862138188208,0.08306917724655966
2,4,45,0.3084994503611304,0.007732348094789989,0.706137882458593,0.14356536088693708
2,8,45,0.4246611543970037,0.08742888727018713,0.945613069997495,0.2572891248000109
2,16,45,0.6259771387967218,0.14344247372161067,1.326855480305139,0.5093613366396827
4,2,3,0.5231926360480285,0.49547516644790596,0.5718976765529444,0.2749241734895857
4,4,3,0.6995923888584531,0.6660351068822037,0.7556037292485629,0.49101869260373815
4,8,3,0.9220928567215352,0.8808879761922755,0.9696080296893564,0.8515870209609658
4,16,3,1.2898424488632083,1.224811185398035,1.3800984158108165,1.6680307063772053
8,2,3,0.4479362172039412,0.4311273895884373,0.46425847933399644,0.20082991790725027
8,4,3,0.5935085254028211,0.5675551141421932,0.6205710528428451,0.3527214330878994
8,8,3,0.786318941692543,0.7407198682804685,0.8188374288908091,0.6194000878116144
8,16,3,1.060143357425524,1.0066585099359189,1.1051037589827477,1.1255555158926713
16,2,23,0.3729992280407036,0.19662169683073233,0.6640257707962346,0.15662938720504432
16,4,23,0.499061161008268,0.2584660703064775,0.8708247019660066,0.27440909988304474
16,8,23,0.6757320728703604,0.3558460045339795,1.222012512642639,0.5079235058685125
16,16,23,0.9133477658283257,0.47969302618392473,1.7230969307969168,0.9439368154133428
