checkpoint,L,T,schedule,activation_layer,noise_type,noise_variance,noise_sigma,sigma_eff,var_eff,rms_delta,n_delta_elements,repeats,max_batches
mnist-checkpoints/cnn2_L[16].pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.22878866585161808,0.05234425362216335,0.2290581001580267,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed44.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.1548224571192618,0.02396999322844566,0.15504578520028536,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed45.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.3135997863770035,0.09834482601570223,0.3136041429194029,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed46.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.10771547732731902,0.01160262405585218,0.10793629034316056,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed47.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.15928710947136174,0.025372383243741577,0.15999947268219913,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed48.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.35571162986918803,0.12653076362419421,0.3557117182456042,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed49.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.12990025277148123,0.016874075670094718,0.13016020112290105,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed50.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.1488470828044373,0.022155454059391008,0.14945689164969803,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed51.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.13485823115563317,0.01818674251042619,0.13506663868417082,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed52.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.12152220017747307,0.014767645135973837,0.12159396656146283,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed53.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.14186109193602953,0.02012456940528262,0.14234299972439013,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed54.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.17091928959188418,0.02921340355459437,0.1716674313948801,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed55.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.2701679690471909,0.07299073149908392,0.2702930947030318,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed56.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.1594654291627576,0.02542922309806246,0.16005292957584694,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed57.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.15754604840479283,0.024820757367965324,0.1581039470247981,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed58.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.14513732516542885,0.021064843156175427,0.14550827230240362,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed59.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.26217875679807506,0.06873770051618419,0.2623378552143025,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed60.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.21280630779739287,0.045286524638358715,0.2137707408478341,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed61.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.25714448484098856,0.06612328608413741,0.2573249577668242,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed62.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.17239930741685727,0.029721521197812063,0.17289847549603773,4816896,6,4
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed63.pth,16,0,normal,if1,gaussian,0.5,0.7071067811865476,0.23620473421476781,0.0557926764654691,0.2364419907422212,4816896,6,4
mnist-checkpoints/cnn2_L[2].pth,2,0,normal,if1,gaussian,0.5,0.7071067811865476,0.21790396945679366,0.04748213990502726,0.21812915838859692,4816896,6,4
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed44.pth,2,0,normal,if1,gaussian,0.5,0.7071067811865476,0.22581368386550346,0.05099181982090954,0.22607334708654742,4816896,6,4
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed45.pth,2,0,normal,if1,gaussian,0.5,0.7071067811865476,0.12935666247377672,0.016733146126354598,0.1293754586103188,4816896,6,4
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed46.pth,2,0,normal,if1,gaussian,0.5,0.7071067811865476,0.15668413074529386,0.024549916827408345,0.15673371263335273,4816896,6,4
