checkpoint,L,T,schedule,activation_layer,noise_type,noise_variance,noise_sigma,sigma_eff,var_eff,rms_delta,n_delta_elements,repeats,max_batches,checkpoint_name_T
mnist-checkpoints/cnn2_L[2].pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.3355293788888267,0.11257996409752184,0.33568898021552296,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed44.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.3547942723596452,0.1258789756992101,0.35500370805497317,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed45.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.1815252761304831,0.032951425874248146,0.18152894066190006,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed46.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.23108250378266634,0.053399123554466,0.2311071971573201,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed47.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.3643579195825635,0.13275669356253383,0.3645489764545446,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed48.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.559862138188208,0.313445613776672,0.5629038035319344,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed49.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.4986612414828341,0.24866303375720136,0.5009055727685306,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed50.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.36789481196642,0.13534659267180751,0.368170520700565,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed51.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.5096770289054964,0.25977067379393415,0.5113008132244208,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed52.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.24515536772693838,0.060101154325330385,0.24518415375434063,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed53.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.3130557688160269,0.0980039143889937,0.31319743071572326,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed54.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.42708780809863117,0.1824039958264932,0.42780611036668303,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed55.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.3042906589485275,0.09259280512332908,0.3043790274121027,4816896,6,4,0
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed56.pth,2,2,normal,if1,gaussian,0.5,0.7071067811865476,0.47928564925795797,0.2297147335846223,0.4804178694852959,4816896,6,4,0
