folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,sigma_eff,var_eff,rms_delta,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.5444744181487,2.3854012283157653,1.5444744293733355,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,pre_quant_if1_input,mean_over_time,1.0915889138100716,1.191566356753052,1.0915890349863138,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.7724676879944062,0.5967063289954234,0.7724677628898774,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.5466921530309989,0.2988723101856692,0.5466921918626263,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.3860399315297308,0.14902682873547926,0.3860399714061386,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.6990229847206788,2.8866791026091643,1.6990232791363529,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,pre_quant_if1_input,mean_over_time,1.2005770933072493,1.4413853569740833,1.200577099436479,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.8502795496469958,0.7229753125478979,0.8502796037410232,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.6010117628422414,0.3612151390747387,0.6010119361994459,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.4244578212733834,0.18016444204014748,0.4244578215412225,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.4001619775183556,1.9604535632881124,1.4001619964677712,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.9896419604865969,0.9793912099557551,0.9896419716990836,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.6998176291422534,0.48974471405828457,0.6998176370906837,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.494393552789645,0.24442498503996746,0.49439357244699716,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.3499112804143831,0.12243790416123303,0.3499113143221647,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.2270938496567003,1.5057593158653004,1.2270939086397743,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.8674730254170785,0.7525094498262593,0.8674734106794452,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.612323593392756,0.37494018302541715,0.6123236463262682,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.43340691181284474,0.187841551207147,0.4334069827672718,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.30610577770347336,0.09370074714344825,0.30610585288651876,0.5,0.7071067811865476,gaussian,6,4
