folder,checkpoint,checkpoint_name,L,T,if_mode,activation_layer,sigma_eff,var_eff,rms_delta,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,if2,0.33598196531612995,0.11288388101768916,0.33609072403459805,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,if2,0.3907264869755347,0.15266718762424267,0.3908109676372904,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,if2,0.4989469275599677,0.24894803652153166,0.49899380523438236,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,if2,0.7040364174896812,0.4956672771517046,0.7040588929167374,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,if2,0.33105970161426473,0.109600526032926,0.33116681064565373,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,if2,0.3454753553430024,0.11935322114937376,0.34548255020441815,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,if2,0.48222481922157767,0.23254077627328326,0.482288794685958,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,if2,0.8172638235291028,0.6679201572494083,0.8174786765663954,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,if2,0.45289387460717057,0.2051128616566955,0.45355683665481006,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,if2,0.5209564735341001,0.2713956473170856,0.5212308485149982,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,if2,0.6046186734831087,0.365563740324474,0.6046707731167492,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,if2,0.926636770521994,0.8586557044834306,0.9268923757554124,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,if2,0.4946047291334039,0.24463383808112787,0.49567185294772825,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,if2,0.5709304062320509,0.32596152876029466,0.5714420135370225,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,if2,0.9570233121924192,0.9158936200797486,0.9586577051326773,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,if2,1.7661481864670723,3.119279416560928,1.7697360090391672,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,if2,0.27536666096494666,0.07582679797098388,0.2753960432265996,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,if2,0.3358498304905851,0.11279510864055473,0.33585104895869383,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,if2,0.49050752143958637,0.2405976285888063,0.49055359273167876,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,if2,0.7960149260113247,0.6336397624328148,0.7964190233777438,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,if2,0.28520547295590515,0.08134216180400154,0.2852622498039983,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,if2,0.33691869868375973,0.11351420952275809,0.33706142448869497,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,if2,0.5225688590707162,0.27307821247047,0.5229087945825446,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,if2,0.9103541609443809,0.8287446983487478,0.912537638948976,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,if2,0.2709269439182411,0.07340140894087778,0.2709455432327564,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,if2,0.3111766871060756,0.09683093059831246,0.3111818500712654,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,if2,0.4832794337048977,0.2335590110421266,0.483341080426547,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,if2,0.8836305389132479,0.7808029293001171,0.8846148991099047,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,if2,0.25451648823624395,0.06477864278411011,0.2545755218116438,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,if2,0.2928110407773091,0.08573830560109097,0.2928389558007359,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,if2,0.39454471469487096,0.15566553189365714,0.3946799394199598,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,if2,0.6841580725412413,0.4680722682233463,0.6854832971650221,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,if2,0.3278183753145267,0.10746488719385586,0.3278629602366712,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,if2,0.3689619238340732,0.13613290123934046,0.36896782406470996,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,if2,0.5237875867019675,0.2743534359830711,0.523787617841764,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,if2,0.8250542642093073,0.6807145388899615,0.8251243929046931,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,if2,0.3632315259370204,0.13193714143453633,0.3633113935358179,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,if2,0.40981805063849036,0.16795083462913224,0.40981837901850654,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,if2,0.6641466002870685,0.44109070667287115,0.664658099840973,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,if2,1.183689968997437,1.4011219427051533,1.187389656914496,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,if2,0.37045763417009164,0.13723885871490143,0.3708456978431019,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,if2,0.4134363812074314,0.17092964130589655,0.41377485877690307,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,if2,0.6521951839714649,0.42535855799557293,0.6533601441421663,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,if2,1.2548961140430355,1.5747642570403109,1.2606890536564566,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,if2,0.38879522033809194,0.15116172335774544,0.38913966114270077,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,if2,0.42791929176526605,0.18311492026488688,0.4285888668327249,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,if2,0.730811905402214,0.5340860410776146,0.7344949933177658,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,if2,1.5697164539176869,2.4640097456999177,1.5881345446503172,0.5,0.7071067811865476,gaussian,6,4
