folder,checkpoint,checkpoint_name,L,T,if_mode,sigma_eff,var_eff,rms_delta,activation_layer,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,0.3226919962251923,0.10413012442779951,0.3228261124608508,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,0.4139480024490709,0.17135294873157597,0.4142289246470401,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,0.5380705985852867,0.2895199690619288,0.5384644551020917,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,0.715438173720026,0.5118517804158461,0.7159072770148684,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,0.5625500612949432,0.3164625714629443,0.5647523611805187,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,0.7618281814145714,0.5803821779974331,0.7619064421862285,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,1.0123723150052284,1.0248977041890452,1.0124008472542552,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,1.4594678242199142,2.13004632993321,1.4594740347547155,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,0.41953720285726503,0.17601146458129796,0.42015481965367246,if1,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,0.5999421382223972,0.35993056921486194,0.6018414531798428,if1,0.5,0.7071067811865476,gaussian,6,4
