arch,c1,c2,size_label,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.0,94.87,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.05,94.92,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.1,95.03,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.15,94.93,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.2,95.01,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.25,95.05,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.3,95.3,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.35,95.04,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.4,95.26,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c2_c4,2,4,c2c4,mne_l2,40,16,16,rate_uniform,0.45,94.93,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c2_c4_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c2_c4/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
