arch,c1,c2,size_label,regularizer,sigma,acc_mean,acc_std,n_seeds
cnn2_c2_c4,2,4,c2c4,mne_l2,0.0,93.678000,2.390830,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.1,93.350000,2.794450,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.2,92.502000,4.044709,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.3,92.218000,4.609086,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.4,92.306000,4.547959,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.5,92.170000,4.648048,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.6,92.166000,4.550190,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.7,92.062000,4.594548,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.8,92.156000,4.406663,5
cnn2_c2_c4,2,4,c2c4,mne_l2,0.9,92.022000,4.251708,5
cnn2_c2_c4,2,4,c2c4,mne_l2,1.0,92.068000,4.205933,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.0,95.902000,1.666184,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.1,88.748000,11.400946,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.2,84.660000,16.645167,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.3,82.070000,19.940426,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.4,80.702000,21.399816,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.5,80.012000,21.933917,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.6,79.532000,22.148198,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.7,78.752000,22.205565,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.8,78.280000,22.178999,5
cnn2_c2_c4,2,4,c2c4,weight_decay,0.9,77.536000,22.295729,5
cnn2_c2_c4,2,4,c2c4,weight_decay,1.0,76.990000,22.100233,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.0,95.384000,2.164574,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.1,88.622000,11.713619,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.2,82.176000,23.213077,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.3,80.294000,25.255695,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.4,79.352000,25.856785,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.5,78.724000,26.200922,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.6,78.104000,26.471935,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.7,77.532000,26.753508,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.8,76.794000,26.882977,5
cnn2_c2_c4,2,4,c2c4,no_regularization,0.9,76.190000,26.898577,5
cnn2_c2_c4,2,4,c2c4,no_regularization,1.0,75.468000,26.913141,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.0,96.140000,0.559509,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.1,96.152000,0.562779,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.2,96.142000,0.544537,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.3,96.176000,0.567477,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.4,96.186000,0.610188,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.5,96.074000,0.564562,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.6,96.092000,0.436543,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.7,96.026000,0.463390,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.8,95.992000,0.539416,5
cnn2_c4_c8,4,8,c4c8,mne_l2,0.9,95.904000,0.608671,5
