arch,method,DRS_mean,DRS_std,DRS_sem,AUC_RS_mean,AUC_RS_std,n_seeds
cnn2_c2_c4,weight_decay,0.833739,0.223074,0.099762,0.848155,0.188108,5
cnn2_c2_c4,mne_l2,0.993930,0.007427,0.003322,0.986129,0.019662,5
cnn2_c2_c4,no_regularization,0.800096,0.304108,0.136001,0.838757,0.230020,5
cnn2_c4_c8,weight_decay,0.961883,0.067830,0.030335,0.941773,0.084466,5
cnn2_c4_c8,mne_l2,0.999413,0.000179,0.000080,0.999133,0.001317,5
cnn2_c4_c8,no_regularization,0.956649,0.046104,0.020618,0.930755,0.071644,5
cnn2_c8_c16,weight_decay,0.934328,0.062831,0.028099,0.942251,0.043507,5
cnn2_c8_c16,mne_l2,0.998265,0.001849,0.000827,0.992244,0.007253,5
cnn2_c8_c16,no_regularization,0.976206,0.041018,0.018344,0.952276,0.062904,5
cnn2_c16_c32,weight_decay,0.952639,0.008600,0.003846,0.955197,0.007132,5
cnn2_c16_c32,mne_l2,0.999641,0.000168,0.000075,0.997994,0.001139,5
cnn2_c16_c32,no_regularization,0.994490,0.002201,0.000984,0.977100,0.007946,5
