experiment,dataset,arch,hidden_size,method,regularizer,DRS_mean,DRS_std,DRS_sem,AUC_RS_mean,AUC_RS_std,n_seeds
new_fc3_three_regs,mnist,fc3rev_h128,128,mne_l2,mne_l2,0.999742,0.000098,0.000044,0.998388,0.000330,5
new_fc3_three_regs,mnist,fc3rev_h128,128,no_regularization,no_regularization,0.999658,0.000120,0.000054,0.997276,0.001610,5
new_fc3_three_regs,mnist,fc3rev_h128,128,weight_decay,weight_decay,0.999787,0.000086,0.000038,0.998396,0.000441,5
new_fc3_three_regs,mnist,fc3rev_h16,16,mne_l2,mne_l2,0.999307,0.000310,0.000139,0.997732,0.000574,5
new_fc3_three_regs,mnist,fc3rev_h16,16,no_regularization,no_regularization,0.994931,0.000741,0.000332,0.984744,0.002533,5
new_fc3_three_regs,mnist,fc3rev_h16,16,weight_decay,weight_decay,0.998953,0.000339,0.000152,0.994425,0.001245,5
new_fc3_three_regs,mnist,fc3rev_h256,256,mne_l2,mne_l2,0.999757,0.000077,0.000035,0.998668,0.000572,5
new_fc3_three_regs,mnist,fc3rev_h256,256,no_regularization,no_regularization,0.999643,0.000174,0.000078,0.998177,0.000956,5
new_fc3_three_regs,mnist,fc3rev_h256,256,weight_decay,weight_decay,0.999691,0.000093,0.000042,0.998526,0.000604,5
new_fc3_three_regs,mnist,fc3rev_h32,32,mne_l2,mne_l2,0.999591,0.000074,0.000033,0.998083,0.000400,5
new_fc3_three_regs,mnist,fc3rev_h32,32,no_regularization,no_regularization,0.998953,0.000715,0.000320,0.994382,0.001768,5
new_fc3_three_regs,mnist,fc3rev_h32,32,weight_decay,weight_decay,0.999714,0.000077,0.000034,0.997740,0.000453,5
new_fc3_three_regs,mnist,fc3rev_h4,4,mne_l2,mne_l2,0.997329,0.002366,0.001058,0.993212,0.004466,5
new_fc3_three_regs,mnist,fc3rev_h4,4,no_regularization,no_regularization,0.877664,0.056101,0.025089,0.855960,0.062203,5
new_fc3_three_regs,mnist,fc3rev_h4,4,weight_decay,weight_decay,0.948094,0.052736,0.023584,0.938230,0.051541,5
new_fc3_three_regs,mnist,fc3rev_h64,64,mne_l2,mne_l2,0.999696,0.000061,0.000027,0.998202,0.000484,5
new_fc3_three_regs,mnist,fc3rev_h64,64,no_regularization,no_regularization,0.999558,0.000195,0.000087,0.998012,0.000709,5
new_fc3_three_regs,mnist,fc3rev_h64,64,weight_decay,weight_decay,0.999730,0.000185,0.000083,0.998403,0.000593,5
new_fc3_three_regs,mnist,fc3rev_h8,8,mne_l2,mne_l2,0.999007,0.000524,0.000234,0.997014,0.000638,5
new_fc3_three_regs,mnist,fc3rev_h8,8,no_regularization,no_regularization,0.971066,0.012686,0.005673,0.953521,0.014253,5
new_fc3_three_regs,mnist,fc3rev_h8,8,weight_decay,weight_decay,0.988228,0.009069,0.004056,0.976370,0.010822,5
new_fc3.1_three_regs,mnist,fc3rev_h128,128,mne_l2,mne_l2,0.999774,0.000126,0.000057,0.999067,0.000287,5
new_fc3.1_three_regs,mnist,fc3rev_h128,128,no_regularization,no_regularization,0.999530,0.000055,0.000025,0.997718,0.000212,5
new_fc3.1_three_regs,mnist,fc3rev_h128,128,weight_decay,weight_decay,0.999768,0.000058,0.000026,0.998958,0.000554,5
new_fc3.1_three_regs,mnist,fc3rev_h16,16,mne_l2,mne_l2,0.999262,0.000585,0.000262,0.997585,0.000555,5
new_fc3.1_three_regs,mnist,fc3rev_h16,16,no_regularization,no_regularization,0.996500,0.002413,0.001079,0.989850,0.004740,5
new_fc3.1_three_regs,mnist,fc3rev_h16,16,weight_decay,weight_decay,0.998900,0.000699,0.000313,0.995828,0.002126,5
new_fc3.1_three_regs,mnist,fc3rev_h256,256,mne_l2,mne_l2,0.999775,0.000048,0.000021,0.998810,0.000500,5
new_fc3.1_three_regs,mnist,fc3rev_h256,256,no_regularization,no_regularization,0.999522,0.000181,0.000081,0.998135,0.000515,5
new_fc3.1_three_regs,mnist,fc3rev_h256,256,weight_decay,weight_decay,0.999695,0.000266,0.000119,0.998949,0.000608,5
new_fc3.1_three_regs,mnist,fc3rev_h32,32,mne_l2,mne_l2,0.999698,0.000143,0.000064,0.998333,0.000379,5
new_fc3.1_three_regs,mnist,fc3rev_h32,32,no_regularization,no_regularization,0.998826,0.000609,0.000272,0.995524,0.001203,5
new_fc3.1_three_regs,mnist,fc3rev_h32,32,weight_decay,weight_decay,0.999590,0.000181,0.000081,0.998371,0.000754,5
new_fc3.1_three_regs,mnist,fc3rev_h4,4,mne_l2,mne_l2,0.985314,0.017915,0.008012,0.978630,0.016603,5
new_fc3.1_three_regs,mnist,fc3rev_h4,4,no_regularization,no_regularization,0.984252,0.024661,0.011029,0.975756,0.029574,5
new_fc3.1_three_regs,mnist,fc3rev_h4,4,weight_decay,weight_decay,0.994446,0.006722,0.003006,0.987850,0.014630,5
new_fc3.1_three_regs,mnist,fc3rev_h64,64,mne_l2,mne_l2,0.999691,0.000056,0.000025,0.998228,0.000268,5
new_fc3.1_three_regs,mnist,fc3rev_h64,64,no_regularization,no_regularization,0.999309,0.000295,0.000132,0.996071,0.000739,5
new_fc3.1_three_regs,mnist,fc3rev_h64,64,weight_decay,weight_decay,0.999771,0.000111,0.000050,0.998817,0.000211,5
new_fc3.1_three_regs,mnist,fc3rev_h8,8,mne_l2,mne_l2,0.998630,0.000477,0.000213,0.995300,0.000946,5
new_fc3.1_three_regs,mnist,fc3rev_h8,8,no_regularization,no_regularization,0.992841,0.004403,0.001969,0.981077,0.005735,5
new_fc3.1_three_regs,mnist,fc3rev_h8,8,weight_decay,weight_decay,0.996708,0.003298,0.001475,0.990721,0.007682,5
new_fc3.2_three_regs,mnist,fc3rev_h128,128,mne_l2,mne_l2,0.999774,0.000126,0.000057,0.999067,0.000287,5
new_fc3.2_three_regs,mnist,fc3rev_h128,128,no_regularization,no_regularization,0.999658,0.000120,0.000054,0.997276,0.001610,5
new_fc3.2_three_regs,mnist,fc3rev_h128,128,weight_decay,weight_decay,0.999787,0.000086,0.000038,0.998396,0.000441,5
new_fc3.2_three_regs,mnist,fc3rev_h16,16,mne_l2,mne_l2,0.999262,0.000585,0.000262,0.997585,0.000555,5
new_fc3.2_three_regs,mnist,fc3rev_h16,16,no_regularization,no_regularization,0.994931,0.000741,0.000332,0.984744,0.002533,5
new_fc3.2_three_regs,mnist,fc3rev_h16,16,weight_decay,weight_decay,0.998953,0.000339,0.000152,0.994425,0.001245,5
new_fc3.2_three_regs,mnist,fc3rev_h256,256,mne_l2,mne_l2,0.999775,0.000048,0.000021,0.998810,0.000500,5
new_fc3.2_three_regs,mnist,fc3rev_h256,256,no_regularization,no_regularization,0.999643,0.000174,0.000078,0.998177,0.000956,5
new_fc3.2_three_regs,mnist,fc3rev_h256,256,weight_decay,weight_decay,0.999691,0.000093,0.000042,0.998526,0.000604,5
new_fc3.2_three_regs,mnist,fc3rev_h32,32,mne_l2,mne_l2,0.999698,0.000143,0.000064,0.998333,0.000379,5
new_fc3.2_three_regs,mnist,fc3rev_h32,32,no_regularization,no_regularization,0.998953,0.000715,0.000320,0.994382,0.001768,5
new_fc3.2_three_regs,mnist,fc3rev_h32,32,weight_decay,weight_decay,0.999714,0.000077,0.000034,0.997740,0.000453,5
