arch,regularizer,DRS_mean,DRS_std,DRS_sem,AUC_RS_mean,n_seeds
fc3_h128,mne_l2,0.999775,0.000068,0.000030,0.998575,5
fc3_h128,no_regularization,0.993486,0.006242,0.002792,0.985461,5
fc3_h128,weight_decay,0.999681,0.000065,0.000029,0.998402,5
fc3_h16,mne_l2,0.999244,0.000170,0.000076,0.997223,5
fc3_h16,no_regularization,0.920649,0.034419,0.015392,0.908335,5
fc3_h16,weight_decay,0.994006,0.003850,0.001722,0.981985,5
fc3_h32,mne_l2,0.999458,0.000142,0.000063,0.997713,5
fc3_h32,no_regularization,0.997865,0.001501,0.000671,0.991179,5
fc3_h32,weight_decay,0.999534,0.000190,0.000085,0.997202,5
fc3_h4,mne_l2,0.996894,0.002591,0.001159,0.991974,5
fc3_h4,no_regularization,0.699901,0.074922,0.033506,0.660140,5
fc3_h4,weight_decay,0.751656,0.126491,0.056568,0.724915,5
fc3_h64,mne_l2,0.999599,0.000095,0.000043,0.998071,5
fc3_h64,no_regularization,0.998152,0.001353,0.000605,0.991500,5
fc3_h64,weight_decay,0.999680,0.000209,0.000094,0.998434,5
fc3_h8,mne_l2,0.997853,0.002102,0.000940,0.994500,5
fc3_h8,no_regularization,0.696829,0.119203,0.053309,0.668273,5
fc3_h8,weight_decay,0.870052,0.139011,0.062168,0.852440,5
