arch,regularizer,DRS_mean,DRS_std,DRS_sem,AUC_RS_mean,AUC_RS_std,n_seeds
fc3rev_h128,mne_l2,0.999774,0.000126,0.000057,0.999067,0.000287,5
fc3rev_h128,no_regularization,0.999658,0.000120,0.000054,0.997276,0.001610,5
fc3rev_h128,weight_decay,0.999787,0.000086,0.000038,0.998396,0.000441,5
fc3rev_h16,mne_l2,0.999262,0.000585,0.000262,0.997585,0.000555,5
fc3rev_h16,no_regularization,0.994931,0.000741,0.000332,0.984744,0.002533,5
fc3rev_h16,weight_decay,0.998953,0.000339,0.000152,0.994425,0.001245,5
fc3rev_h256,mne_l2,0.999775,0.000048,0.000021,0.998810,0.000500,5
fc3rev_h256,no_regularization,0.999643,0.000174,0.000078,0.998177,0.000956,5
fc3rev_h256,weight_decay,0.999691,0.000093,0.000042,0.998526,0.000604,5
fc3rev_h32,mne_l2,0.999698,0.000143,0.000064,0.998333,0.000379,5
fc3rev_h32,no_regularization,0.998953,0.000715,0.000320,0.994382,0.001768,5
fc3rev_h32,weight_decay,0.999714,0.000077,0.000034,0.997740,0.000453,5
fc3rev_h4,mne_l2,0.985314,0.017915,0.008012,0.978630,0.016603,5
fc3rev_h4,no_regularization,0.877664,0.056101,0.025089,0.855960,0.062203,5
fc3rev_h4,weight_decay,0.948094,0.052736,0.023584,0.938230,0.051541,5
fc3rev_h64,mne_l2,0.999691,0.000056,0.000025,0.998228,0.000268,5
fc3rev_h64,no_regularization,0.999558,0.000195,0.000087,0.998012,0.000709,5
fc3rev_h64,weight_decay,0.999730,0.000185,0.000083,0.998403,0.000593,5
fc3rev_h8,mne_l2,0.998630,0.000477,0.000213,0.995300,0.000946,5
fc3rev_h8,no_regularization,0.971066,0.012686,0.005673,0.953521,0.014253,5
fc3rev_h8,weight_decay,0.988228,0.009069,0.004056,0.976370,0.010822,5
