method,label,sigma,acc_mean,acc_std,n_seeds
weight_decay,weight_decay,0.0,64.640000,0.219317,5
weight_decay,weight_decay,0.1,64.674000,0.248455,5
weight_decay,weight_decay,0.1,64.630000,0.258554,5
weight_decay,weight_decay,0.1,64.672000,0.220159,5
weight_decay,weight_decay,0.2,64.502000,0.231236,5
weight_decay,weight_decay,0.2,64.306000,0.308513,5
weight_decay,weight_decay,0.3,63.744000,0.246232,5
weight_decay,weight_decay,0.3,62.566000,0.389718,5
weight_decay,weight_decay,0.4,61.060000,0.566127,5
weight_decay,weight_decay,0.5,58.900000,0.688912,5
weight_decay,weight_decay,0.5,55.600000,1.019142,5
weight_decay,weight_decay,0.6,51.824000,1.794305,5
weight_decay,weight_decay,0.6,46.934000,2.508422,5
weight_decay,weight_decay,0.7,41.088000,3.093230,5
weight_decay,weight_decay,0.7,34.720000,3.653060,5
weight_decay,weight_decay,0.8,28.096000,4.062066,5
weight_decay,weight_decay,0.8,21.710000,3.934482,5
weight_decay,weight_decay,0.8,16.450000,3.286130,5
weight_decay,weight_decay,0.9,12.122000,2.421915,5
weight_decay,weight_decay,0.9,9.010000,1.659503,5
weight_decay,weight_decay,1.0,6.798000,1.460229,5
mne_l2,mne_l2 rc=1e-4,0.0,59.730000,0.254460,5
mne_l2,mne_l2 rc=1e-4,0.1,59.810000,0.233024,5
mne_l2,mne_l2 rc=1e-4,0.1,59.732000,0.275264,5
mne_l2,mne_l2 rc=1e-4,0.1,59.818000,0.312362,5
mne_l2,mne_l2 rc=1e-4,0.2,59.736000,0.298044,5
mne_l2,mne_l2 rc=1e-4,0.2,59.708000,0.213354,5
mne_l2,mne_l2 rc=1e-4,0.3,59.712000,0.187803,5
mne_l2,mne_l2 rc=1e-4,0.3,59.712000,0.304746,5
mne_l2,mne_l2 rc=1e-4,0.4,59.742000,0.278962,5
mne_l2,mne_l2 rc=1e-4,0.5,59.716000,0.154370,5
mne_l2,mne_l2 rc=1e-4,0.5,59.680000,0.262583,5
mne_l2,mne_l2 rc=1e-4,0.6,59.700000,0.223271,5
mne_l2,mne_l2 rc=1e-4,0.6,59.702000,0.275445,5
mne_l2,mne_l2 rc=1e-4,0.7,59.602000,0.340176,5
mne_l2,mne_l2 rc=1e-4,0.7,59.636000,0.330878,5
mne_l2,mne_l2 rc=1e-4,0.8,59.538000,0.272617,5
mne_l2,mne_l2 rc=1e-4,0.8,59.622000,0.178101,5
mne_l2,mne_l2 rc=1e-4,0.8,59.436000,0.263685,5
mne_l2,mne_l2 rc=1e-4,0.9,59.340000,0.319609,5
mne_l2,mne_l2 rc=1e-4,0.9,59.366000,0.316354,5
mne_l2,mne_l2 rc=1e-4,1.0,59.312000,0.186735,5
no_regularization,no regularization,0.0,58.578000,0.321434,5
no_regularization,no regularization,0.1,58.560000,0.366811,5
no_regularization,no regularization,0.1,58.632000,0.272892,5
no_regularization,no regularization,0.1,58.648000,0.375593,5
no_regularization,no regularization,0.2,58.546000,0.289966,5
no_regularization,no regularization,0.2,58.632000,0.308010,5
no_regularization,no regularization,0.3,58.642000,0.299282,5
no_regularization,no regularization,0.3,58.638000,0.307116,5
no_regularization,no regularization,0.4,58.688000,0.231991,5
no_regularization,no regularization,0.5,58.814000,0.304352,5
no_regularization,no regularization,0.5,58.746000,0.247245,5
no_regularization,no regularization,0.6,58.840000,0.269444,5
no_regularization,no regularization,0.6,58.838000,0.340397,5
no_regularization,no regularization,0.7,58.866000,0.128957,5
no_regularization,no regularization,0.7,58.956000,0.233838,5
no_regularization,no regularization,0.8,58.960000,0.272213,5
no_regularization,no regularization,0.8,58.914000,0.204890,5
no_regularization,no regularization,0.8,59.052000,0.217761,5
no_regularization,no regularization,0.9,59.062000,0.242837,5
no_regularization,no regularization,0.9,59.050000,0.226053,5
no_regularization,no regularization,1.0,59.124000,0.246130,5
