dataset,arch,variant,variant_label,regularizer,reg_coeff,hinge_tau,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,90.700000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.05,90.650000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.1,90.690000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.15,90.370000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.2,90.360000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,90.090000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.3,89.740000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.35,89.000000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.4,87.930000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.45,86.520000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_all_params_l1_l2_mne_seed42/cifar10/mneablate_cifar10_manual_l2_all_rc0p00025_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
