dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0,1,85.320000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.05,1,85.380000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.1,1,85.200000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.15,1,85.410000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.2,1,85.250000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.25,1,85.390000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.3,1,85.090000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.35,1,85.170000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.4,1,85.410000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.45,1,85.410000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.5,1,85.250000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.55,1,85.330000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.6,1,85.410000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.65,1,85.320000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.7,1,85.460000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.75,1,85.340000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.8,1,85.490000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.85,1,85.200000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.9,1,85.420000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,0.95,1,85.060000,0.000000
cifar10,l1_all,l1_all_parameters,l1_all,2e-05,none,1,1,85.010000,0.000000
