dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0,1,91.120000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.25,1,91.150000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.5,1,91.130000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.75,1,91.030000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1,1,90.800000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.25,1,90.830000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.5,1,90.060000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.75,1,89.390000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2,1,88.270000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.25,1,86.610000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.5,1,84.240000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.75,1,80.540000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,3,1,75.470000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0,1,90.500000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.25,1,90.400000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.5,1,90.500000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.75,1,90.400000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1,1,90.470000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.25,1,90.170000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.5,1,89.920000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.75,1,89.510000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2,1,89.140000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.25,1,88.680000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.5,1,88.140000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.75,1,87.430000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3,1,86.530000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0,1,91.170000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.25,1,91.190000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.5,1,91.110000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.75,1,91.090000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1,1,90.800000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.25,1,90.410000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.5,1,90.010000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.75,1,89.300000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2,1,88.360000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.25,1,86.560000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.5,1,84.220000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.75,1,80.630000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3,1,75.630000,0.000000
