arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.00,78.940000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.05,78.860000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.10,78.840000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.15,78.740000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.20,79.000000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.25,78.710000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.30,78.540000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.35,78.570000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.40,78.560000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.45,78.440000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.50,78.610000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.55,78.780000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.60,78.270000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
